"('0.', '', '-1')"
"('Read.', '', '-Export')"
"('Read.', '', '-Forms')"
"('Read.', '', '-InboundFlow')"
"('Read.', '', '-LifeCycleInfo')"
"('Read.', '', '-Microsoft365Install')"
"('Read.', '', '-Microsoft365Web')"
"('Read.', '', '-Monitor')"
"('Read.', '', '-OneDrive')"
"('Read.', '', '-OutboundFlow')"
"('Read.', '', '-PstnCalls')"
"('Read.', '', '-Reading')"
"('Read.', '', '-ReferenceDefinition')"
"('Read.', '', '-Reflect')"
"('Read.', '', '-Reports')"
"('Read.', '', '-Restore')"
"('Read.', '', '-Run')"
"('Read.', '', '-Search')"
"('Read.', '', '-SharePoint')"
"('Read.', '', '-SourceSystem')"
"('Read.', '', '-Teams')"
"('Read.', '', '-TimePeriod')"
"('Read.', '', '-Todo')"
"('Read.', '', '-UserMetric')"
"('ReadAnonymous.', '', '-Reading')"
"('ReadAnonymous.', '', '-Reflect')"
"('ReadApprove.', '', '')"
"('ReadBasic.', '', '')"
"('ReadForChat.', '', '')"
"('ReadForTeam.', '', '')"
"('ReadForUser.', '', '')"
"('ReadWrite.', '', '')"
"('ReadWrite.', '', '-Anon')"
"('ReadWrite.', '', '-AppsAndServices')"
"('ReadWrite.', '', '-Configuration')"
"('ReadWrite.', '', '-ConvertToInternal')"
"('ReadWrite.', '', '-DataConnector')"
"('ReadWrite.', '', '-DynamicsVoice')"
"('ReadWrite.', '', '-Export')"
"('ReadWrite.', '', '-Forms')"
"('ReadWrite.', '', '-InboundFlow')"
"('ReadWrite.', '', '-LifeCycleInfo')"
"('ReadWrite.', '', '-Microsoft365Install')"
"('ReadWrite.', '', '-OutboundFlow')"
"('ReadWrite.', '', '-ReferenceDefinition')"
"('ReadWrite.', '', '-RemoteDesktopConfig')"
"('ReadWrite.', '', '-Restore')"
"('ReadWrite.', '', '-SourceSystem')"
"('ReadWrite.', '', '-TimePeriod')"
"('ReadWrite.', '', '-Todo')"
"('ReadWrite.', '', '-WorkingTime')"
"('ReadWriteAndConsentForChat.', '', '')"
"('ReadWriteAndConsentForTeam.', '', '')"
"('ReadWriteAndConsentForUser.', '', '')"
"('ReadWriteAndConsentSelfForChat.', '', '')"
"('ReadWriteAndConsentSelfForTeam.', '', '')"
"('ReadWriteAndConsentSelfForUser.', '', '')"
"('ReadWriteBasic.', '', '')"
"('ReadWriteForChat.', '', '')"
"('ReadWriteForTeam.', '', '')"
"('ReadWriteForUser.', '', '')"
"('ReadWriteNonOwnerRole.', '', '')"
"('ReadWriteSelfForChat.', '', '')"
"('ReadWriteSelfForTeam.', '', '')"
"('ReadWriteSelfForUser.', '', '')"
"('Receive.', '', '')"
"('ResourceSpecificPermissionGrant.', '', '')"
"('RevokeSessions.', '', '')"
"('SMTP.', '', '')"
"('SelectedOperations.', '', '')"
"('Send.', '', '')"
"('ServiceMessageViewpoint.', '', '')"
"('ShortNotes.', '', '')"
"('Sign.', '', '')"
"('Sites.', '', '')"
"('SynchronizationData-User.', '', '-User')"
"('Tasks.', '', '')"
"('Team.', '', '')"
"('TeamTemplates.', '', '')"
"('TeamsActivity.', '', '')"
"('TeamsAppInstallation.', '', '')"
"('TeamsTab.', '', '')"
"('TeamworkTag.', '', '')"
"('ThreatSubmission.', '', '')"
"('UpdatePolicyViolation.', '', '')"
"('User.', '', '')"
"('UserAuthenticationMethod.', '', '')"
"('UserTeamwork.', '', '')"
"('VirtualAppointment.', '', '')"
"('VirtualAppointmentNotification.', '', '')"
"('VirtualEvent.', '', '')"
"('Write.', '', '')"
"('action.', '', '')"
"('app.', '', '')"
"('applications.', '', '')"
"('argparse.', '', '')"
"('args.', '', '')"
"('assign.', '', '')"
"('assignment.', '', '')"
"('assignments.', '', '')"
"('attachment.', '', '')"
"('autodiscover.', '', '')"
"('azure.', '', '')"
"('azure.', '', '-com')"
"('ccrecipients.', '', '')"
"('certificate.', '', '')"
"('child.', '', '')"
"('choice.', '', '')"
"('cloudinfra.', '', '')"
"('command.', '', '')"
"('company.', '', '')"
"('config.', '', '')"
"('content.', '', '')"
"('cookies.', '', '')"
"('d.', '', '')"
"('data.', '', '')"
"('datetime.', '', '')"
"('directoryroles.', '', '')"
"('dns.', '', '')"
"('domain.', '', '')"
"('e.', '', '')"
"('elem.', '', '')"
"('email-body.', '', '-body')"
"('email.', '', '')"
"('emails.', '', '')"
"('etree.', '', '')"
"('exceptions.', '', '')"
"('existingperms.', '', '')"
"('f.', '', '')"
"('field.', '', '')"
"('file.', '', '')"
"('fingerprint.', '', '')"
"('github.', '', '')"
"('grantreq.', '', '')"
"('graph.', '', '')"
"('graphpermissions.', '', '')"
"('group.', '', '')"
"('h3.', '', '')"
"('hazmat.', '', '')"
"('headers.', '', '')"
"('hit.', '', '')"
"('html.', '', '')"
"('id.', '', '')"
"('item.', '', '')"
"('json.', '', '')"
"('jwt.', '', '')"
"('key.', '', '')"
"('kvURI.', '', '')"
"('line.', '', '')"
"('live.', '', '')"
"('member.', '', '')"
"('merill.', '', '')"
"('microsoft.', '', '')"
"('microsoftazuread-sso.', '', '-sso')"
"('microsoftonline.', '', '')"
"('msa.', '', '')"
"('mta-sts.', '', '-sts')"
"('mx.', '', '')"
"('name.', '', '')"
"('now.', '', '')"
"('oasis-open.', '', '-open')"
"('odata.', '', '')"
"('office.', '', '')"
"('office365.', '', '')"
"('office365.', '', '-dod')"
"('office365.', '', '-s')"
"('onmicrosoft.', '', '')"
"('outlook.', '', '')"
"('outlook.', '', '-s')"
"('patch.', '', '')"
"('path.', '', '')"
"('permissions.', '', '')"
"('policy.', '', '')"
"('primitives.', '', '')"
"('private.', '', '')"
"('privileged-label.', '', '-label')"
"('proton.', '', '')"
"('python.', '', '')"
"('request.', '', '')"
"('requests.', '', '')"
"('requirements.', '', '')"
"('resolver.', '', '')"
"('response.', '', '')"
"('result.', '', '')"
"('results.', '', '')"
"('roles.', '', '')"
"('scope.', '', '')"
"('select.', '', '')"
"('serialization.', '', '')"
"('session.', '', '')"
"('setting.', '', '')"
"('sharepoint.', '', '')"
"('skype.', '', '')"
"('sys.', '', '')"
"('systemcenterdudes.', '', '')"
"('table.', '', '')"
"('target.', '', '')"
"('text.', '', '')"
"('textwrap.', '', '')"
"('th.', '', '')"
"('time.', '', '')"
"('timezone.', '', '')"
"('torecipients.', '', '')"
"('tree.', '', '')"
"('urllib.', '', '')"
"('usage.', '', '')"
"('user.', '', '')"
"('utils.', '', '')"
"('value.', '', '')"
"('values.', '', '')"
"('w3.', '', '')"
"('writer.', '', '')"
"('x.', '', '')"
"('xmlsoap.', '', '')"
"('yammer.', '', '')"
