"('http://', 'ht', '', '/exchange/2010/Autodiscover', '/', 'exchange/2010/Autodiscover')"
"('https://', 'ht', 's', '/en-us/graph/api/resources/intune-devices-manageddevice?view=graph-rest-beta', '/', 'en-us/graph/api/resources/intune-devices-manageddevice?view=graph-rest-beta')"
"('https://', 'ht', 's', '/en-us/graph/api/user-update', '/', 'en-us/graph/api/user-update')"
"('https://', 'ht', 's', '/en-us/graph/permissions-reference', '/', 'en-us/graph/permissions-reference')"
"('https://', 'ht', 's', '/f-bader/TokenTacticsV2', '/', 'f-bader/TokenTacticsV2')"
"('https://', 'ht', 's', '/how-to-deploy-exe-applications-using-intune', '/', 'how-to-deploy-exe-applications-using-intune')"
"('https://', 'ht', 's', '/mlcsec/Graphpython', '/', 'mlcsec/Graphpython')"
"('https://', 'ht', 's', '/mlcsec/Graphpython.git', '/', 'mlcsec/Graphpython.git')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Commands', '/', 'mlcsec/Graphpython/wiki/Commands')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#add-applicationcertificate', '/', 'mlcsec/Graphpython/wiki/Demos#add-applicationcertificate')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#add-applicationpermission', '/', 'mlcsec/Graphpython/wiki/Demos#add-applicationpermission')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#add-exclusiongrouptopolicy', '/', 'mlcsec/Graphpython/wiki/Demos#add-exclusiongrouptopolicy')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#assign-privilegedrole', '/', 'mlcsec/Graphpython/wiki/Demos#assign-privilegedrole')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#authentication', '/', 'mlcsec/Graphpython/wiki/Demos#authentication')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#backdoor-script', '/', 'mlcsec/Graphpython/wiki/Demos#backdoor-script')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#cleanup', '/', 'mlcsec/Graphpython/wiki/Demos#cleanup')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#deploy-maliciousscript', '/', 'mlcsec/Graphpython/wiki/Demos#deploy-maliciousscript')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#deploy-maliciousweblink', '/', 'mlcsec/Graphpython/wiki/Demos#deploy-maliciousweblink')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#display-avpolicyrules', '/', 'mlcsec/Graphpython/wiki/Demos#display-avpolicyrules')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#find-dynamicgroups', '/', 'mlcsec/Graphpython/wiki/Demos#find-dynamicgroups')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#find-privilegedapplications', '/', 'mlcsec/Graphpython/wiki/Demos#find-privilegedapplications')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#find-privilegedroleusers', '/', 'mlcsec/Graphpython/wiki/Demos#find-privilegedroleusers')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#find-updatablegroups', '/', 'mlcsec/Graphpython/wiki/Demos#find-updatablegroups')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-application', '/', 'mlcsec/Graphpython/wiki/Demos#get-application')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-currentuser', '/', 'mlcsec/Graphpython/wiki/Demos#get-currentuser')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-devicecompliancepolicies', '/', 'mlcsec/Graphpython/wiki/Demos#get-devicecompliancepolicies')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-deviceconfigurationpolicies', '/', 'mlcsec/Graphpython/wiki/Demos#get-deviceconfigurationpolicies')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-domains', '/', 'mlcsec/Graphpython/wiki/Demos#get-domains')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-graphtokens', '/', 'mlcsec/Graphpython/wiki/Demos#get-graphtokens')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-group', '/', 'mlcsec/Graphpython/wiki/Demos#get-group')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-manageddevices', '/', 'mlcsec/Graphpython/wiki/Demos#get-manageddevices')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-scriptcontent', '/', 'mlcsec/Graphpython/wiki/Demos#get-scriptcontent')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-tenantid', '/', 'mlcsec/Graphpython/wiki/Demos#get-tenantid')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-user', '/', 'mlcsec/Graphpython/wiki/Demos#get-user')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-userdevices', '/', 'mlcsec/Graphpython/wiki/Demos#get-userdevices')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#get-userprivileges', '/', 'mlcsec/Graphpython/wiki/Demos#get-userprivileges')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invite-guestuser', '/', 'mlcsec/Graphpython/wiki/Demos#invite-guestuser')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-certtoaccesstoken', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-certtoaccesstoken')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-estscookietoaccesstoken', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-estscookietoaccesstoken')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-reconasoutsider', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-reconasoutsider')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-refreshtoazuremanagementtoken', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-refreshtoazuremanagementtoken')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-refreshtomsgraphtoken', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-refreshtomsgraphtoken')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-search', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-search')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#invoke-userenumerationasoutsider', '/', 'mlcsec/Graphpython/wiki/Demos#invoke-userenumerationasoutsider')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#list-recentonedrivefiles', '/', 'mlcsec/Graphpython/wiki/Demos#list-recentonedrivefiles')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#locate-directoryrole', '/', 'mlcsec/Graphpython/wiki/Demos#locate-directoryrole')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#locate-objectid', '/', 'mlcsec/Graphpython/wiki/Demos#locate-objectid')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#locate-permissionid', '/', 'mlcsec/Graphpython/wiki/Demos#locate-permissionid')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#locators', '/', 'mlcsec/Graphpython/wiki/Demos#locators')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#outsider', '/', 'mlcsec/Graphpython/wiki/Demos#outsider')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#post-auth-enumeration', '/', 'mlcsec/Graphpython/wiki/Demos#post-auth-enumeration')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#post-auth-exploitation', '/', 'mlcsec/Graphpython/wiki/Demos#post-auth-exploitation')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#post-auth-intune-enumeration', '/', 'mlcsec/Graphpython/wiki/Demos#post-auth-intune-enumeration')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#post-auth-intune-exploitation', '/', 'mlcsec/Graphpython/wiki/Demos#post-auth-intune-exploitation')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#remove-groupmember', '/', 'mlcsec/Graphpython/wiki/Demos#remove-groupmember')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos#spoof-owaemailmessage', '/', 'mlcsec/Graphpython/wiki/Demos#spoof-owaemailmessage')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Demos', '/', 'mlcsec/Graphpython/wiki/Demos')"
"('https://', 'ht', 's', '/mlcsec/Graphpython/wiki/Usage', '/', 'mlcsec/Graphpython/wiki/Usage')"
"('https://', 'ht', 's', '/owa', '/', 'owa')"
"('https://', 'ht', 's', '/rvrsh3ll/TokenTactics', '/', 'rvrsh3ll/TokenTactics')"
"('https://', 'ht', 's', '/v1.0', '/', 'v1.0')"
"('https://', 'ht', 's', '/v1.0/applications', '/', 'v1.0/applications')"
"('https://', 'ht', 's', '/v1.0/chats', '/', 'v1.0/chats')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/deviceCategories', '/', 'v1.0/deviceManagement/deviceCategories')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/deviceCompliancePolicies', '/', 'v1.0/deviceManagement/deviceCompliancePolicies')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/deviceCompliancePolicyDeviceStateSummary', '/', 'v1.0/deviceManagement/deviceCompliancePolicyDeviceStateSummary')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/deviceConfigurations', '/', 'v1.0/deviceManagement/deviceConfigurations')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/deviceEnrollmentConfigurations', '/', 'v1.0/deviceManagement/deviceEnrollmentConfigurations')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/managedDevices', '/', 'v1.0/deviceManagement/managedDevices')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/roleAssignments', '/', 'v1.0/deviceManagement/roleAssignments')"
"('https://', 'ht', 's', '/v1.0/deviceManagement/roleDefinitions', '/', 'v1.0/deviceManagement/roleDefinitions')"
"('https://', 'ht', 's', '/v1.0/devices', '/', 'v1.0/devices')"
"('https://', 'ht', 's', '/v1.0/directory/administrativeUnits', '/', 'v1.0/directory/administrativeUnits')"
"('https://', 'ht', 's', '/v1.0/directoryObjects', '/', 'v1.0/directoryObjects')"
"('https://', 'ht', 's', '/v1.0/directoryRoles', '/', 'v1.0/directoryRoles')"
"('https://', 'ht', 's', '/v1.0/domains', '/', 'v1.0/domains')"
"('https://', 'ht', 's', '/v1.0/external/connections', '/', 'v1.0/external/connections')"
"('https://', 'ht', 's', '/v1.0/groups', '/', 'v1.0/groups')"
"('https://', 'ht', 's', '/v1.0/identity/conditionalAccess/authenticationContextClassReferences', '/', 'v1.0/identity/conditionalAccess/authenticationContextClassReferences')"
"('https://', 'ht', 's', '/v1.0/identity/conditionalAccess/namedLocations', '/', 'v1.0/identity/conditionalAccess/namedLocations')"
"('https://', 'ht', 's', '/v1.0/identity/conditionalAccess/policies', '/', 'v1.0/identity/conditionalAccess/policies')"
"('https://', 'ht', 's', '/v1.0/invitations', '/', 'v1.0/invitations')"
"('https://', 'ht', 's', '/v1.0/me', '/', 'v1.0/me')"
"('https://', 'ht', 's', '/v1.0/me/activities', '/', 'v1.0/me/activities')"
"('https://', 'ht', 's', '/v1.0/me/appRoleAssignments', '/', 'v1.0/me/appRoleAssignments')"
"('https://', 'ht', 's', '/v1.0/me/authentication/methods', '/', 'v1.0/me/authentication/methods')"
"('https://', 'ht', 's', '/v1.0/me/chats', '/', 'v1.0/me/chats')"
"('https://', 'ht', 's', '/v1.0/me/contacts', '/', 'v1.0/me/contacts')"
"('https://', 'ht', 's', '/v1.0/me/drive/recent', '/', 'v1.0/me/drive/recent')"
"('https://', 'ht', 's', '/v1.0/me/drive/root/children', '/', 'v1.0/me/drive/root/children')"
"('https://', 'ht', 's', '/v1.0/me/drive/sharedWithMe', '/', 'v1.0/me/drive/sharedWithMe')"
"('https://', 'ht', 's', '/v1.0/me/drives', '/', 'v1.0/me/drives')"
"('https://', 'ht', 's', '/v1.0/me/joinedTeams', '/', 'v1.0/me/joinedTeams')"
"('https://', 'ht', 's', '/v1.0/me/mailFolders', '/', 'v1.0/me/mailFolders')"
"('https://', 'ht', 's', '/v1.0/me/memberOf', '/', 'v1.0/me/memberOf')"
"('https://', 'ht', 's', '/v1.0/me/messages', '/', 'v1.0/me/messages')"
"('https://', 'ht', 's', '/v1.0/me/oauth2PermissionGrants', '/', 'v1.0/me/oauth2PermissionGrants')"
"('https://', 'ht', 's', '/v1.0/me/onenote/notebooks', '/', 'v1.0/me/onenote/notebooks')"
"('https://', 'ht', 's', '/v1.0/me/permissionGrants', '/', 'v1.0/me/permissionGrants')"
"('https://', 'ht', 's', '/v1.0/me/sendMail', '/', 'v1.0/me/sendMail')"
"('https://', 'ht', 's', '/v1.0/me/transitiveMemberOf', '/', 'v1.0/me/transitiveMemberOf')"
"('https://', 'ht', 's', '/v1.0/myorganization/applications', '/', 'v1.0/myorganization/applications')"
"('https://', 'ht', 's', '/v1.0/organization', '/', 'v1.0/organization')"
"('https://', 'ht', 's', '/v1.0/policies/crossTenantAccessPolicy', '/', 'v1.0/policies/crossTenantAccessPolicy')"
"('https://', 'ht', 's', '/v1.0/policies/crossTenantAccessPolicy/templates/multiTenantOrganizationPartnerConfiguration', '/', 'v1.0/policies/crossTenantAccessPolicy/templates/multiTenantOrganizationPartnerConfiguration')"
"('https://', 'ht', 's', '/v1.0/roleManagement/directory/roleAssignments', '/', 'v1.0/roleManagement/directory/roleAssignments')"
"('https://', 'ht', 's', '/v1.0/search/query', '/', 'v1.0/search/query')"
"('https://', 'ht', 's', '/v1.0/servicePrincipals', '/', 'v1.0/servicePrincipals')"
"('https://', 'ht', 's', '/v1.0/sites', '/', 'v1.0/sites')"
"('https://', 'ht', 's', '/v1.0/sites/root', '/', 'v1.0/sites/root')"
"('https://', 'ht', 's', '/v1.0/tenantRelationships/multiTenantOrganization/tenants', '/', 'v1.0/tenantRelationships/multiTenantOrganization/tenants')"
"('https://', 'ht', 's', '/v1.0/users', '/', 'v1.0/users')"
"('www.', 'ht', '', '/2001/XMLSchema', '/', '2001/XMLSchema')"
"('www.', 'ht', '', '/2001/XMLSchema-instance', '/', '2001/XMLSchema-instance')"
"('www.', 'ht', '', '/2003/05/soap-envelope', '/', '2003/05/soap-envelope')"
"('www.', 'ht', '', '/2005/08/addressing', '/', '2005/08/addressing')"
"('www.', 'ht', '', '/2005/08/addressing/anonymous', '/', '2005/08/addressing/anonymous')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/deploy-microsoft-intune-win32-apps', '/', 'deploy-microsoft-intune-win32-apps')"
