"('ASP.', '', '')"
"('VisualState.', '', '')"
"('VisualStudio.', '', '')"
"('WebRequest.', '', '')"
"('ackup.', '', '')"
"('action.', '', '')"
"('aes.', '', '')"
"('aesgcm.', '', '')"
"('agent.', '', '')"
"('agentPair.', '', '')"
"('agentPairs.', '', '')"
"('agentProto.', '', '')"
"('agents.', '', '')"
"('answer.', '', '')"
"('apache.', '', '')"
"('arg.', '', '')"
"('args.', '', '')"
"('argument.', '', '')"
"('b.', '', '')"
"('bim.', '', '')"
"('binaryWriter.', '', '')"
"('btm.', '', '')"
"('btp.', '', '')"
"('build.', '', '')"
"('bytes.', '', '')"
"('c2Protocol.', '', '')"
"('cancelEventArgs.', '', '')"
"('cancellationToken.', '', '')"
"('candidates.', '', '')"
"('cipherStream.', '', '')"
"('cipherText.', '', '')"
"('cmd.', '', '')"
"('codegen.', '', '')"
"('columnName.', '', '')"
"('columnWidths.', '', '')"
"('command.', '', '')"
"('cryptography.', '', '')"
"('daemon.', '', '')"
"('daemons.', '', '')"
"('data.', '', '')"
"('dbproj.', '', '')"
"('die.', '', '')"
"('docker.', '', '')"
"('e.', '', '')"
"('encryptedBundle.', '', '')"
"('encryptionHelper.', '', '')"
"('entry.', '', '')"
"('ex.', '', '')"
"('extensions.', '', '')"
"('github.', '', '')"
"('icon.', '', '')"
"('int.', '', '')"
"('items.', '', '')"
"('launch.', '', '')"
"('local.', '', '')"
"('lock.', '', '')"
"('main.', '', '')"
"('matches.', '', '')"
"('maxLength.', '', '')"
"('md5.', '', '')"
"('message.', '', '')"
"('microsoft.', '', '')"
"('nuget.', '', '')"
"('odx.', '', '')"
"('packages.', '', '')"
"('packedFileName.', '', '')"
"('packedFilename.', '', '')"
"('paket.', '', '')"
"('parameters.', '', '')"
"('parser.', '', '')"
"('phrozen.', '', '')"
"('plainStream.', '', '')"
"('plainText.', '', '')"
"('process.', '', '')"
"('project.', '', '')"
"('randomGenerator.', '', '')"
"('rdl.', '', '')"
"('reader.', '', '')"
"('repositories.', '', '')"
"('request.', '', '')"
"('response.', '', '')"
"('responseShellCommand.', '', '')"
"('responses.', '', '')"
"('rptproj.', '', '')"
"('rsa.', '', '')"
"('settings.', '', '')"
"('sha1.', '', '')"
"('signature.', '', '')"
"('sln.', '', '')"
"('stdErrorTask.', '', '')"
"('stdOutputTask.', '', '')"
"('stream.', '', '')"
"('string.', '', '')"
"('table.', '', '')"
"('task.', '', '')"
"('taskCommand.', '', '')"
"('taskRequest.', '', '')"
"('taskShellCommand.', '', '')"
"('tasks.', '', '')"
"('this.', '', '')"
"('timeSpan.', '', '')"
"('title.', '', '')"
"('token.', '', '')"
"('twitter.', '', '')"
"('ublish.', '', '')"
"('uint.', '', '')"
"('unprotect.', '', '')"
"('value.', '', '')"
"('values.', '', '')"
"('wrappedResponse.', '', '')"
"('wrappedTask.', '', '')"
"('x.', '', '')"
"('xsd.', '', '')"
