"('', '', '', '', '', '', ' 0\n\t\t\t$MultiSessionObject', '', '0', 'MultiSessionObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Bytes\n$test', '', 'Bytes', 'test', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' CheckReachableHosts\n\t\t\t$UserDefinedTargets', '', 'CheckReachableHosts', 'UserDefinedTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Command $ShCommand', '', 'Command', 'ShCommand', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Creation\n\t$basePath', '', 'Creation', 'basePath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Dcom\n\t\t\t$cimSession', '', 'Dcom', 'cimSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DirectorySearcher\n        $ldapPath', '', 'DirectorySearcher', 'ldapPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Domains\n\t\t$FindCurrentDomain', '', 'Domains', 'FindCurrentDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Domains\n\t\t\t$FindCurrentDomain', '', 'Domains', 'FindCurrentDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Hash\n$shellcode', '', 'Hash', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Hidden\n\n\t$pipeServer', '', 'Hidden', 'pipeServer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Hidden\n\t$pipeClient', '', 'Hidden', 'pipeClient', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Hidden\n\t\n\t$pipeClient', '', 'Hidden', 'pipeClient', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ID\n\t$currentPID', '', 'ID', 'currentPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Microsoft.CSharp.CSharpCodeProvider\n\n    $results', '', 'Microsoft.CSharp.CSharpCodeProvider', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PID $processId', '', 'PID', 'processId', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SilentlyContinue\n\t$global', '', 'SilentlyContinue', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' StreamReader\n\t\t\t$output', '', 'StreamReader', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' StreamWriter\n\t\t\t$sw', '', 'StreamWriter', 'sw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.CodeDom.Compiler.CompilerParameters\n    $params', '', 'System.CodeDom.Compiler.CompilerParameters', 'params', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Core\n\n\t$PN', '', 'System.Core', 'PN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.DirectorySearcher\n        $searcher', '', 'System.DirectoryServices.DirectorySearcher', 'searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.IO.Pipes.PipeSecurity\n\t$everyone', '', 'System.IO.Pipes.PipeSecurity', 'everyone', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Net.Sockets.TcpClient\n\t\t$asyncResult', '', 'System.Net.Sockets.TcpClient', 'asyncResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Net.Sockets.TcpClient\n\t\t\t$asyncResult', '', 'System.Net.Sockets.TcpClient', 'asyncResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' TGTs\n\t\t\t\t$directory', '', 'TGTs', 'directory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [GLSet $OldGlobalPipeName', '', 'GLSet', 'OldGlobalPipeName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [System.Uri]$url', '', 'System.Uri', 'url', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [int]$choice', '', 'int', 'choice', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [int]$commandParts', '', 'int', 'commandParts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [r15]\n$shellcode', '', 'r15', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [r9]\n$shellcode', '', 'r9', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [rsi]\n$shellcode', '', 'rsi', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' and $pwd', '', 'and', 'pwd', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' array\n\t$session', '', 'array', 'session', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' attributes\n            $TrustAttributes', '', 'attributes', 'TrustAttributes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' block\n\t$scriptBlock', '', 'block', 'scriptBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' block\n\t\t\t\t$currentUrl', '', 'block', 'currentUrl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' bookmark $desiredIndex', '', 'bookmark', 'desiredIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' categories\n\t\t\t$directAdminEndIndex', '', 'categories', 'directAdminEndIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' class\n\t\t$cimInstance', '', 'class', 'cimInstance', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' cld\n$shellcode', '', 'cld', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' client\n\t$initialInfo', '', 'client', 'initialInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' complete\n    $runspacePool', '', 'complete', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' console\n\t\t$promptString', '', 'console', 'promptString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' count\n\t\t\t\t\t$bookmarkToRemove', '', 'count', 'bookmarkToRemove', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' create $ServiceName', '', 'create', 'ServiceName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' delete $ServiceName', '', 'delete', 'ServiceName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' delete $serviceToDelete', '', 'delete', 'serviceToDelete', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' direction\n            $Direction', '', 'direction', 'Direction', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domains\n\t\t$ReachableDomains', '', 'domains', 'ReachableDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domains\n\t\t\t$ReachableDomains', '', 'domains', 'ReachableDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' done\n        $runspace', '', 'done', 'runspace', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' done\n\t\t$cimSession', '', 'done', 'cimSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' downloaded\n\t\t\t$destinationFolder', '', 'downloaded', 'destinationFolder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ecx\n$shellcode', '', 'ecx', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' efficiency\n\t$scriptBlock', '', 'efficiency', 'scriptBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' efficiency\n\t\t$scriptBlock', '', 'efficiency', 'scriptBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' etc.\n\t\t\t\t\t$UserPath', '', 'etc.', 'UserPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' etc.\n\t\t\t\t\t$remotePath', '', 'etc.', 'remotePath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' execute\n\t\t\t\t$global', '', 'execute', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' execute\n\t\t\t\t\t$global', '', 'execute', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' exists\n\t\t\t$output', '', 'exists', 'output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' file\n\t\t\t$directory', '', 'file', 'directory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' file\n\t\t\t\t$directory', '', 'file', 'directory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' filename\n\t\t\t\t$counter', '', 'filename', 'counter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' format\n\t\t\t$sw', '', 'format', 'sw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' found $desiredIndex', '', 'found', 'desiredIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' from $AllDomains', '', 'from', 'AllDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' here\n\t\n\t$server', '', 'here', 'server', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hosts\n\t\t$Computers', '', 'hosts', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' identifier\n\t\t\t\t$identifierToRemove', '', 'identifier', 'identifierToRemove', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllDomains', '', 'in', 'AllDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ChildDomains', '', 'in', 'ChildDomains', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ComputerAccess', '', 'in', 'ComputerAccess', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Computers', '', 'in', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $FinalTargets', '', 'in', 'FinalTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $InjectOutput', '', 'in', 'InjectOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $JobObjects', '', 'in', 'JobObjects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $PossibleIPAddresses', '', 'in', 'PossibleIPAddresses', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TempUsernameGrab', '', 'in', 'TempUsernameGrab', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TrustAttributesMapping', '', 'in', 'TrustAttributesMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $TrustTargetNames', '', 'in', 'TrustTargetNames', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UserDefinedTargets', '', 'in', 'UserDefinedTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $allTargets', '', 'in', 'allTargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $chunks', '', 'in', 'chunks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $global', '', 'in', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $predefinedCommands', '', 'in', 'predefinedCommands', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $reachable_hosts', '', 'in', 'reachable_hosts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $results', '', 'in', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $runspaces', '', 'in', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $urls', '', 'in', 'urls', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' index\n    $index', '', 'index', 'index', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' index\n\t\t\t$bookmarkToRemove', '', 'index', 'bookmarkToRemove', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' input\n\t\t\t$desiredIndex', '', 'input', 'desiredIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' it\n\t$server', '', 'it', 'server', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' items\n\t$runspaces', '', 'items', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' items\n\t\t$runspaces', '', 'items', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' list\n\t$global', '', 'list', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' list\n\t$runspaces', '', 'list', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' list\n\t\t\t\t$indexToRemove', '', 'list', 'indexToRemove', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' listing\n\t    $Error', '', 'listing', 'Error', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' management\n\t$runspacePool', '', 'management', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' management\n\t\t$runspacePool', '', 'management', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' mapping\n    $TrustAttributesMapping', '', 'mapping', 'TrustAttributesMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' mutex\n\t\t\t$Mutex', '', 'mutex', 'Mutex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n        $hostname', '', 'name', 'hostname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' object\n            $trustInfo', '', 'object', 'trustInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on $ComputerName', '', 'on', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pipe\n\t$securityDescriptor', '', 'pipe', 'securityDescriptor', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n    $runspacePool', '', 'pool', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n\t$RunspacePool', '', 'pool', 'RunspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n\t$runspacePool', '', 'pool', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n\t\t$RunspacePool', '', 'pool', 'RunspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' pool\n\t\t$runspacePool', '', 'pool', 'runspacePool', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' prompt\n\t\t\t$sw', '', 'prompt', 'sw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' rax\n \n$shellcode', '', 'rax', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' rax\n$shellcode', '', 'rax', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' rcx\n$shellcode', '', 'rcx', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' rdx\n$shellcode', '', 'rdx', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' results\n\t$ComputerAccess', '', 'results', 'ComputerAccess', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' results\n\t$reachable_hosts', '', 'results', 'reachable_hosts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' results\n\t\t$reachable_hosts', '', 'results', 'reachable_hosts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ret\n$shellcode', '', 'ret', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' retrieval\n        $runspaces', '', 'retrieval', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' return $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' script\n\t$monitoringScript', '', 'script', 'monitoringScript', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' script\n\t\t\t$parentProcessId', '', 'script', 'parentProcessId', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' search\n        $results', '', 'search', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' search\n    $results', '', 'search', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' session\n\t\t\t\t\t$desiredIndex', '', 'session', 'desiredIndex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n\t\t\t\t$listenerMatch', '', 'sessions', 'listenerMatch', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n\t\t\t\t$multiListenerMatch', '', 'sessions', 'multiListenerMatch', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' set $computerNameOnly', '', 'set', 'computerNameOnly', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' setup.\n    $objSearcher', '', 'setup.', 'objSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' start $ServiceName', '', 'start', 'ServiceName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' strings\n\t\t\t$userdeftargets', '', 'strings', 'userdeftargets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' the $Computers', '', 'the', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' the $sessions', '', 'the', 'sessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' time\n\t\t\t\t\t$elapsedTime', '', 'time', 'elapsedTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $destinationFolder', '', 'to', 'destinationFolder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $fileName', '', 'to', 'fileName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $global', '', 'to', 'global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' type\n            $TrustType', '', 'type', 'TrustType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' user $userDir', '', 'user', 'userDir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' val\n$shellcode', '', 'val', 'shellcode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n        [string]$content,\n\t\t[string]$outputFile\n    )', '[string]$content,\n\t\t[string]$outputFile\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($Computer)', '$Computer', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($computer)', '$computer', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($computer, $Port)', '$computer, $Port', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($computer, $port)', '$computer, $port', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($sr)', '$sr', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ($sr, $sw)', '$sr, $sw', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ([string]$CmdInput)', '[string]$CmdInput', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ([string]$ShCommand)', '[string]$ShCommand', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ([string]$url)', '[string]$url', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param ([switch]$NoWait)', '[switch]$NoWait', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$ADCompDomain\n    )', '[string]$ADCompDomain\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$Command,\n\t\t[string]$Domain,\n\t\t[string]$DomainController,\n\t\t[string]$Targets,\n\t\t[string]$Timeout = ""30000"",\n\t\t[string]$GlobalPipeName,\n\t\t[string]$IP,\n\t\t[string]$UserName,\n\t\t[string]$Password,\n\t\t[switch]$SkipPortScan,\n\t\t[switch]$ScanMode,\n\t\t[switch]$CheckTargets,\n\t\t[switch]$Detached,\n\t\t[switch]$Night\n    )', '[string]$Command,\n\t\t[string]$Domain,\n\t\t[string]$DomainController,\n\t\t[string]$Targets,\n\t\t[string]$Timeout = ""30000"",\n\t\t[string]$GlobalPipeName,\n\t\t[string]$IP,\n\t\t[string]$UserName,\n\t\t[string]$Password,\n\t\t[switch]$SkipPortScan,\n\t\t[switch]$ScanMode,\n\t\t[switch]$CheckTargets,\n\t\t[switch]$Detached,\n\t\t[switch]$Night\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$SinglePipeName,\n\t\t[switch]$HidePayload\n    )', '[string]$SinglePipeName,\n\t\t[switch]$HidePayload\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$Targets,\n\t\t[string]$Command\n    )', '[string]$Targets,\n\t\t[string]$Command\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        [string]$command\n    )', '[string]$command\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n        \t[string]$Targets,\n\t\t[Parameter(Mandatory=$true)', '[string]$Targets,\n\t\t[Parameter(Mandatory=$true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n\t[Parameter(Mandatory = $true)', '[Parameter(Mandatory = $true', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n\t\t[string]$Command\n\t)', '[string]$Command\n\t', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n\t\t[string]$Domain,\n\t\t[string]$DomainController,\n\t\t[string]$Targets,\n\t\t[switch]$SkipPortScan\n    )', '[string]$Domain,\n\t\t[string]$DomainController,\n\t\t[string]$Targets,\n\t\t[switch]$SkipPortScan\n    ', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n\t\t[string]$PipeName,\n\t\t[string]$ComputerName,\n\t\t[string]$ServiceName,\n\t\t[string]$Command,\n\t\t[string]$Timeout = ""30000"",\n\t\t[switch]$Verbose\n\t)', '[string]$PipeName,\n\t\t[string]$ComputerName,\n\t\t[string]$ServiceName,\n\t\t[string]$Command,\n\t\t[string]$Timeout = ""30000"",\n\t\t[switch]$Verbose\n\t', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n\t\t[string]$PipeName,\n\t\t[string]$Target,\n\t\t[string]$ServiceName,\n\t\t[string]$Command,\n\t\t[string]$Timeout\n\t)', '[string]$PipeName,\n\t\t[string]$Target,\n\t\t[string]$ServiceName,\n\t\t[string]$Command,\n\t\t[string]$Timeout\n\t', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param (\n\t\t\t$Computer,\n\t\t\t$Method,\n\t\t\t$UserName,\n\t\t\t$Password\n\t\t)', '$Computer,\n\t\t\t$Method,\n\t\t\t$UserName,\n\t\t\t$Password\n\t\t', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($Computer, $Command, $Method, $cred, $Username, $Password, $WmiScript, $SmbScript)', '$Computer, $Command, $Method, $cred, $Username, $Password, $WmiScript, $SmbScript', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($Computer, $Command, $WmiScript)', '$Computer, $Command, $WmiScript', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($Computer, $PipeName)', '$Computer, $PipeName', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($Port, $Path)', '$Port, $Path', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($url, $destinationFolder)', '$url, $destinationFolder', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param($url, $destinationPath)', '$url, $destinationPath', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'param(\n        [Parameter(Mandatory = $false)', '[Parameter(Mandatory = $false', '', '', '', '', '', '')"
