"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'ShowAll')]\n        [Switch]\n        $ShowAll"", 'Switch', 'ShowAll', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipeline = $True, Mandatory = $True, ParameterSetName = 'ReferenceObject')]\n        [PSCustomObject]\n        $ReferenceObject"", 'PSCustomObject', 'ReferenceObject', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [System.Type]$Type"", 'System.Type', 'Type', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [int]$Position"", 'int', 'Position', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [string]$HelpMessage"", 'string', 'HelpMessage', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [string]$ParameterSetName"", 'string', 'ParameterSetName', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$AllowEmptyCollection"", 'switch', 'AllowEmptyCollection', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$AllowEmptyString"", 'switch', 'AllowEmptyString', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$AllowNull"", 'switch', 'AllowNull', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$DontShow"", 'switch', 'DontShow', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$Mandatory"", 'switch', 'Mandatory', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$ValidateNotNull"", 'switch', 'ValidateNotNull', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$ValidateNotNullOrEmpty"", 'switch', 'ValidateNotNullOrEmpty', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$ValueFromPipeline"", 'switch', 'ValueFromPipeline', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$ValueFromPipelineByPropertyName"", 'switch', 'ValueFromPipelineByPropertyName', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ValueFromPipelineByPropertyName = $true, ParameterSetName = 'DynamicParameter')]\n        [switch]$ValueFromRemainingArguments"", 'switch', 'ValueFromRemainingArguments', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' . $GetVar', '', '.', 'GetVar', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0 $ImageDosSignature', '', '0', 'ImageDosSignature', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                            $target_time_stamp', '', '0', 'target_time_stamp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                        $Top', '', '0', 'Top', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                        $root_or_link_guid_end', '', '0', 'root_or_link_guid_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                        $target_count_end', '', '0', 'target_count_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                    $SDDLObject', '', '0', 'SDDLObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                $Descriptor', '', '0', 'Descriptor', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                $LastAttribute', '', '0', 'LastAttribute', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                $ResumeHandle', '', '0', 'ResumeHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                $TotalRead', '', '0', 'TotalRead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n                $d', '', '0', 'd', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n            $RandNo', '', '0', 'RandNo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n            $ResumeHandle', '', '0', 'ResumeHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n            $TotalRead', '', '0', 'TotalRead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $DayCounter', '', '0', 'DayCounter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 0\n        $End', '', '0', 'End', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1 $SID_NAME_USE', '', '1', 'SID_NAME_USE', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1 $WTSConnectState', '', '1', 'WTSConnectState', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 10\n            $PtrInfo', '', '10', 'PtrInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 128\n\n    $ASREQ', '', '128', 'ASREQ', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1499\n                            $MemberRange', '', '1499', 'MemberRange', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1500\n                            $Null', '', '1500', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 15\n                        $root_or_link_guid', '', '15', 'root_or_link_guid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $server_name', '', '1', 'server_name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $server_name_end', '', '1', 'server_name_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $server_name_size', '', '1', 'server_name_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $server_name_size_end', '', '1', 'server_name_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $share_name', '', '1', 'share_name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $share_name_end', '', '1', 'share_name_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $share_name_size', '', '1', 'share_name_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $share_name_size_end', '', '1', 'share_name_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $target_state_end', '', '1', 'target_state_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $target_time_stamp_end', '', '1', 'target_time_stamp_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                            $target_type_end', '', '1', 'target_type_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $Name', '', '1', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $comment_end', '', '1', 'comment_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $comment_size', '', '1', 'comment_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $comment_size_end', '', '1', 'comment_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $comment_timestamp_end', '', '1', 'comment_timestamp_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $dfs_targetlist_blob', '', '1', 'dfs_targetlist_blob', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $dfs_targetlist_blob_end', '', '1', 'dfs_targetlist_blob_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $dfs_targetlist_blob_size_end', '', '1', 'dfs_targetlist_blob_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $prefix', '', '1', 'prefix', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $prefix_end', '', '1', 'prefix_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $prefix_size', '', '1', 'prefix_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $prefix_size_end', '', '1', 'prefix_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $prefix_timestamp_end', '', '1', 'prefix_timestamp_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $referral_ttl_end', '', '1', 'referral_ttl_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $reserved_blob', '', '1', 'reserved_blob', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $reserved_blob_end', '', '1', 'reserved_blob_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $reserved_blob_size_end', '', '1', 'reserved_blob_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $short_prefix', '', '1', 'short_prefix', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $short_prefix_end', '', '1', 'short_prefix_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $short_prefix_size', '', '1', 'short_prefix_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $short_prefix_size_end', '', '1', 'short_prefix_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $state_end', '', '1', 'state_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $state_timestamp_end', '', '1', 'state_timestamp_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $type_end', '', '1', 'type_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                        $version_end', '', '1', 'version_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $PtrInfo', '', '1', 'PtrInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $blob_data', '', '1', 'blob_data', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $blob_data_end', '', '1', 'blob_data_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $blob_data_size_end', '', '1', 'blob_data_size_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $blob_name', '', '1', 'blob_name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $blob_name_end', '', '1', 'blob_name_end', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $blob_name_size', '', '1', 'blob_name_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n                $dfs_pkt_properties', '', '1', 'dfs_pkt_properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n            $InitName', '', '1', 'InitName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 1\n            $PtrInfo', '', '1', 'PtrInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2 $DsDomainFlag', '', '2', 'DsDomainFlag', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2147483649\n                $ProxyServer', '', '2147483649', 'ProxyServer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2147483650\n\n            $WmiArguments', '', '2147483650', 'WmiArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2147483651\n\n            $WmiArguments', '', '2147483651', 'WmiArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2500\n        $BytesReceived', '', '2500', 'BytesReceived', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n                $PtrInfo', '', '2', 'PtrInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n            $InitName', '', '2', 'InitName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 2\n        $VbePosList', '', '2', 'VbePosList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                            $target_entry_size', '', '3', 'target_entry_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                            $target_state', '', '3', 'target_state', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                            $target_type', '', '3', 'target_type', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $dfs_targetlist_blob_size', '', '3', 'dfs_targetlist_blob_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $referral_ttl', '', '3', 'referral_ttl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $reserved_blob_size', '', '3', 'reserved_blob_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $state', '', '3', 'state', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $target_count', '', '3', 'target_count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $type', '', '3', 'type', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                        $version', '', '3', 'version', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n                $blob_data_size', '', '3', 'blob_data_size', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n            $InitName', '', '3', 'InitName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 3\n            $Searcher', '', '3', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 4 $DsDomainTrustType', '', '4', 'DsDomainTrustType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 4\n            $Result', '', '4', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 5 $DsDomainTrustAttributes', '', '5', 'DsDomainTrustAttributes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 63\n            $DomainCount', '', '63', 'DomainCount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 7\n                        $comment_timestamp', '', '7', 'comment_timestamp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 7\n                        $state_timestamp', '', '7', 'state_timestamp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 88\n    $Socket', '', '88', 'Socket', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 8\n                $Str', '', '8', 'Str', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ACL\n        $TemplatesACL', '', 'ACL', 'TemplatesACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' AdminACEs\n\n                    $Object_screen', '', 'AdminACEs', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Argument\n        $ACLSearcherArguments', '', 'Argument', 'ACLSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Argument\n        $SearcherArguments', '', 'Argument', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Computer $ComputerIdentity', '', 'Computer', 'ComputerIdentity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DFSRootOrLinkIDBlob\n                        $root_or_link_guid_start', '', 'DFSRootOrLinkIDBlob', 'root_or_link_guid_start', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DFSTargetListBlob\n                        $target_count_start', '', 'DFSTargetListBlob', 'target_count_start', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DS_DOMAIN_DIRECT_INBOUND\n            $Flags', '', 'DS_DOMAIN_DIRECT_INBOUND', 'Flags', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DS_DOMAIN_TRUSTS\n$DsDomainFlag', '', 'DS_DOMAIN_TRUSTS', 'DsDomainFlag', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DsEnumerateDomainTrusts\n            $PtrInfo', '', 'DsEnumerateDomainTrusts', 'PtrInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' FILETIME\n                        $prefix_timestamp', '', 'FILETIME', 'prefix_timestamp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Finding\n                $Value', '', 'Finding', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Found $Filecount', '', 'Found', 'Filecount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Guid $CommonPropertyGuidMapping', '', 'Guid', 'CommonPropertyGuidMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Guid $GUID', '', 'Guid', 'GUID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' HKEY_CURRENT_USER\n                $HKCU', '', 'HKEY_CURRENT_USER', 'HKCU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' HKEY_LOCAL_MACHINE\n            $HKLM', '', 'HKEY_LOCAL_MACHINE', 'HKLM', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' HKEY_USERS\n            $HKU', '', 'HKEY_USERS', 'HKU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Hint\n            $Value', '', 'Hint', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' HostName\n                                    $UserLocation', '', 'HostName', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Name\n                            $MemberDomain', '', 'Name', 'MemberDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Name\n                $Context', '', 'Name', 'Context', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Name\n            $ReferenceObjectClass', '', 'Name', 'ReferenceObjectClass', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NetLocalGroupEnum\n                $QueryLevel', '', 'NetLocalGroupEnum', 'QueryLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NetLocalGroupGetMembers\n                $QueryLevel', '', 'NetLocalGroupGetMembers', 'QueryLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NetSessionEnum\n            $QueryLevel', '', 'NetSessionEnum', 'QueryLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NetShareEnum\n            $QueryLevel', '', 'NetShareEnum', 'QueryLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NoteProperty $_', '', 'NoteProperty', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Noteproperty $Name', '', 'Noteproperty', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Noteproperty $Section', '', 'Noteproperty', 'Section', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' OUs\n                $SearcherArguments', '', 'OUs', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Object\n        $AesObject', '', 'Object', 'AesObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Object\n        $DomainName', '', 'Object', 'DomainName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Org.BouncyCastle.Asn1.DERGeneralString $Domain', '', 'Org.BouncyCastle.Asn1.DERGeneralString', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Org.BouncyCastle.Asn1.DERGeneralString $UserName', '', 'Org.BouncyCastle.Asn1.DERGeneralString', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Org.BouncyCastle.Asn1.DERSequence $PAElementDataSeq', '', 'Org.BouncyCastle.Asn1.DERSequence', 'PAElementDataSeq', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                                    $UserLocation', '', 'PSObject', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                                $FoundConnection', '', 'PSObject', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                                $InterestingACL', '', 'PSObject', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                                $MountedDrive', '', 'PSObject', 'MountedDrive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                                $ObjectGroupMember', '', 'PSObject', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                                $UserLocation', '', 'PSObject', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                            $FoundConnection', '', 'PSObject', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                            $IniObject', '', 'PSObject', 'IniObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                            $Member', '', 'PSObject', 'Member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                            $Object', '', 'PSObject', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                            $ObjectGroupMember', '', 'PSObject', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $DomainTrust', '', 'PSObject', 'DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $ForeignUser', '', 'PSObject', 'ForeignUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $GPOComputerLocalGroupMember', '', 'PSObject', 'GPOComputerLocalGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $GPOLocalGroupMapping', '', 'PSObject', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $InterestingACL', '', 'PSObject', 'InterestingACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $LocalGroup', '', 'PSObject', 'LocalGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $Member', '', 'PSObject', 'Member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $Out', '', 'PSObject', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                        $Output', '', 'PSObject', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $ForeignGroupMember', '', 'PSObject', 'ForeignGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $GPOGroup', '', 'PSObject', 'GPOGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $GPOLocalGroupMapping', '', 'PSObject', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $Group', '', 'PSObject', 'Group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $GroupMember', '', 'PSObject', 'GroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $GroupsXML', '', 'PSObject', 'GroupsXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $Object_screen', '', 'PSObject', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $Out', '', 'PSObject', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $Process', '', 'PSObject', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $RBCDObject', '', 'PSObject', 'RBCDObject', '', '', '', '', '', '', '', '')"
