"('http://', 'ht', '', '.0.1:443/api/v1/nodes', '', '.0.1:443/api/v1/nodes')"
"('https://', 'ht', 's', '/2019/dirty-sock', '/', '2019/dirty-sock')"
"('https://', 'ht', 's', '/2021/03/new-old-bugs-in-linux-kernel.html', '/', '2021/03/new-old-bugs-in-linux-kernel.html')"
"('https://', 'ht', 's', '/404tk', '/', '404tk')"
"('https://', 'ht', 's', '/404tk.png?size=40', '/', '404tk.png?size=40')"
"('https://', 'ht', 's', '/7868679/177925206-8d83dc95-0f2f-4d61-9a45-0d43b1b0468f.png', '/', '7868679/177925206-8d83dc95-0f2f-4d61-9a45-0d43b1b0468f.png')"
"('https://', 'ht', 's', '/AWSEC2/latest/UserGuide/instancedata-data-retrieval.html', '/', 'AWSEC2/latest/UserGuide/instancedata-data-retrieval.html')"
"('https://', 'ht', 's', '/AbsoZed/DockerPwn.py/blob/master/createContainer.py', '/', 'AbsoZed/DockerPwn.py/blob/master/createContainer.py')"
"('https://', 'ht', 's', '/Analysis-of-CVE-2019-18634', '/', 'Analysis-of-CVE-2019-18634')"
"('https://', 'ht', 's', '/Articles/543273', '/', 'Articles/543273')"
"('https://', 'ht', 's', '/CDK-TEAM/CDK', '/', 'CDK-TEAM/CDK')"
"('https://', 'ht', 's', '/CVE-2012-0056/about', '/', 'CVE-2012-0056/about')"
"('https://', 'ht', 's', '/CVE-2012-0056/plain/mempodipper.c', '/', 'CVE-2012-0056/plain/mempodipper.c')"
"('https://', 'ht', 's', '/Frichetten/CVE-2019-5736-PoC/blob/master/main.go', '/', 'Frichetten/CVE-2019-5736-PoC/blob/master/main.go')"
"('https://', 'ht', 's', '/GoogleCloudPlatform/k8s-cluster-bundle/blob/master/examples/cluster/kubernetes/kube-apiserver.yaml', '/', 'GoogleCloudPlatform/k8s-cluster-bundle/blob/master/examples/cluster/kubernetes/kube-apiserver.yaml')"
"('https://', 'ht', 's', '/Kabot/Unix-Privilege-Escalation-Exploits-Pack/raw/master/2009/CVE-2009-2698/katon.c', '/', 'Kabot/Unix-Privilege-Escalation-Exploits-Pack/raw/master/2009/CVE-2009-2698/katon.c')"
"('https://', 'ht', 's', '/PaloAltoNetworks/can-ctr-escape-cve-2022-0492/blob/main/can-ctr-escape-cve-2022-0492.sh', '/', 'PaloAltoNetworks/can-ctr-escape-cve-2022-0492/blob/main/can-ctr-escape-cve-2022-0492.sh')"
"('https://', 'ht', 's', '/_fel1x/status/1151487051986087936', '/', '_fel1x/status/1151487051986087936')"
"('https://', 'ht', 's', '/advisories/MySQL-Maria-Percona-PrivEscRace-CVE-2016-6663-5616-Exploit.html', '/', 'advisories/MySQL-Maria-Percona-PrivEscRace-CVE-2016-6663-5616-Exploit.html')"
"('https://', 'ht', 's', '/advisories/NM-VPNC-Privesc', '/', 'advisories/NM-VPNC-Privesc')"
"('https://', 'ht', 's', '/advisories/Nagios-Exploit-Root-PrivEsc-CVE-2016-9566.html', '/', 'advisories/Nagios-Exploit-Root-PrivEsc-CVE-2016-9566.html')"
"('https://', 'ht', 's', '/advisories/Nginx-Exploit-Deb-Root-PrivEsc-CVE-2016-1247.html', '/', 'advisories/Nginx-Exploit-Deb-Root-PrivEsc-CVE-2016-1247.html')"
"('https://', 'ht', 's', '/advisories/Tomcat-DebPkgs-Root-Privilege-Escalation-Exploit-CVE-2016-1240.html', '/', 'advisories/Tomcat-DebPkgs-Root-Privilege-Escalation-Exploit-CVE-2016-1240.html')"
"('https://', 'ht', 's', '/attachment.cgi?id=779110', '/', 'attachment.cgi?id=779110')"
"('https://', 'ht', 's', '/backup/CIS2020%20-%20Attack%20in%20a%20Service%20Mesh%20-%20Public.pdf', '/', 'backup/CIS2020%20-%20Attack%20in%20a%20Service%20Mesh%20-%20Public.pdf')"
"('https://', 'ht', 's', '/bcoles/kernel-exploits/master/CVE-2017-1000112/poc.c', '/', 'bcoles/kernel-exploits/master/CVE-2017-1000112/poc.c')"
"('https://', 'ht', 's', '/bcoles/kernel-exploits/master/CVE-2017-7308/poc.c', '/', 'bcoles/kernel-exploits/master/CVE-2017-7308/poc.c')"
"('https://', 'ht', 's', '/bcoles/kernel-exploits/master/CVE-2018-5333/cve-2018-5333.c', '/', 'bcoles/kernel-exploits/master/CVE-2018-5333/cve-2018-5333.c')"
"('https://', 'ht', 's', '/bcoles/kernel-exploits/master/CVE-2019-13272/poc.c', '/', 'bcoles/kernel-exploits/master/CVE-2019-13272/poc.c')"
"('https://', 'ht', 's', '/bcoles/kernel-exploits/master/CVE-2021-22555/exploit.c', '/', 'bcoles/kernel-exploits/master/CVE-2021-22555/exploit.c')"
"('https://', 'ht', 's', '/bcoles/local-exploits/master/CVE-2011-2921/ktsuss-lpe.sh', '/', 'bcoles/local-exploits/master/CVE-2011-2921/ktsuss-lpe.sh')"
"('https://', 'ht', 's', '/bcoles/local-exploits/master/CVE-2017-5899/exploit.sh', '/', 'bcoles/local-exploits/master/CVE-2017-5899/exploit.sh')"
"('https://', 'ht', 's', '/bcoles/local-exploits/master/CVE-2019-12181/SUroot', '/', 'bcoles/local-exploits/master/CVE-2019-12181/SUroot')"
"('https://', 'ht', 's', '/bcoles/local-exploits/raw/master/CVE-2019-18862/exploit.cron.sh', '/', 'bcoles/local-exploits/raw/master/CVE-2019-18862/exploit.cron.sh')"
"('https://', 'ht', 's', '/bcoles/local-exploits/raw/master/CVE-2019-18862/exploit.ldpreload.sh', '/', 'bcoles/local-exploits/raw/master/CVE-2019-18862/exploit.ldpreload.sh')"
"('https://', 'ht', 's', '/berdav/CVE-2021-4034/zip/main', '/', 'berdav/CVE-2021-4034/zip/main')"
"('https://', 'ht', 's', '/blasty/CVE-2021-3156/zip/main', '/', 'blasty/CVE-2021-3156/zip/main')"
"('https://', 'ht', 's', '/blog/2010/04/10/reiserfs-reiserfs_priv-vulnerability', '/', 'blog/2010/04/10/reiserfs-reiserfs_priv-vulnerability')"
"('https://', 'ht', 's', '/blog/2016/cve-2016-2384', '/', 'blog/2016/cve-2016-2384')"
"('https://', 'ht', 's', '/blog/cve-2016-0728-poc-not-working', '/', 'blog/cve-2016-0728-poc-not-working')"
"('https://', 'ht', 's', '/blog/ubuntu-centos-redhat-privesc', '/', 'blog/ubuntu-centos-redhat-privesc')"
"('https://', 'ht', 's', '/c0d3z3r0/sudo-CVE-2017-1000367/master/sudopwn.c', '/', 'c0d3z3r0/sudo-CVE-2017-1000367/master/sudopwn.c')"
"('https://', 'ht', 's', '/cdk-team/CDK', '/', 'cdk-team/CDK')"
"('https://', 'ht', 's', '/cdk-team/CDK/discussions', '/', 'cdk-team/CDK/discussions')"
"('https://', 'ht', 's', '/cdk-team/CDK/issues', '/', 'cdk-team/CDK/issues')"
"('https://', 'ht', 's', '/cdk-team/CDK/issues/37', '/', 'cdk-team/CDK/issues/37')"
"('https://', 'ht', 's', '/cdk-team/CDK/issues/77', '/', 'cdk-team/CDK/issues/77')"
"('https://', 'ht', 's', '/cdk-team/CDK/releases', '/', 'cdk-team/CDK/releases')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki', '/', 'cdk-team/CDK/wiki')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/CDK-Home-CN', '/', 'cdk-team/CDK/wiki/CDK-Home-CN')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-Cloud-Provider-Metadata-API', '/', 'cdk-team/CDK/wiki/Evaluate:-Cloud-Provider-Metadata-API')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-Commands-and-Capabilities', '/', 'cdk-team/CDK/wiki/Evaluate:-Commands-and-Capabilities')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-K8s-API-Server', '/', 'cdk-team/CDK/wiki/Evaluate:-K8s-API-Server')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-K8s-Service-Account', '/', 'cdk-team/CDK/wiki/Evaluate:-K8s-Service-Account')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-Mounts', '/', 'cdk-team/CDK/wiki/Evaluate:-Mounts')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-Net-Namespace', '/', 'cdk-team/CDK/wiki/Evaluate:-Net-Namespace')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-Sensitive-Files', '/', 'cdk-team/CDK/wiki/Evaluate:-Sensitive-Files')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-Services', '/', 'cdk-team/CDK/wiki/Evaluate:-Services')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-System-Info', '/', 'cdk-team/CDK/wiki/Evaluate:-System-Info')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-check-net.ipv4.conf.all.route_localnet', '/', 'cdk-team/CDK/wiki/Evaluate:-check-net.ipv4.conf.all.route_localnet')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Evaluate:-k8s-mitm-clusterip', '/', 'cdk-team/CDK/wiki/Evaluate:-k8s-mitm-clusterip')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-Container-Image-Registry-Brute', '/', 'cdk-team/CDK/wiki/Exploit:-Container-Image-Registry-Brute')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-abuse-unpriv-userns', '/', 'cdk-team/CDK/wiki/Exploit:-abuse-unpriv-userns')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-ak-leakage', '/', 'cdk-team/CDK/wiki/Exploit:-ak-leakage')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-cap-dac-read-search', '/', 'cdk-team/CDK/wiki/Exploit:-cap-dac-read-search')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-check-istio', '/', 'cdk-team/CDK/wiki/Exploit:-check-istio')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-check-ptrace', '/', 'cdk-team/CDK/wiki/Exploit:-check-ptrace')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-docker-api-pwn', '/', 'cdk-team/CDK/wiki/Exploit:-docker-api-pwn')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-docker-sock-check', '/', 'cdk-team/CDK/wiki/Exploit:-docker-sock-check')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-docker-sock-deploy', '/', 'cdk-team/CDK/wiki/Exploit:-docker-sock-deploy')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-docker-sock-pwn', '/', 'cdk-team/CDK/wiki/Exploit:-docker-sock-pwn')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-backdoor-daemonset', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-backdoor-daemonset')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-configmap-dump', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-configmap-dump')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-cronjob', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-cronjob')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-get-sa-token', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-get-sa-token')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-psp-dump', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-psp-dump')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-secret-dump', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-secret-dump')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-k8s-shadow-apiserver', '/', 'cdk-team/CDK/wiki/Exploit:-k8s-shadow-apiserver')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-lxcfs-rw', '/', 'cdk-team/CDK/wiki/Exploit:-lxcfs-rw')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-mount-cgroup', '/', 'cdk-team/CDK/wiki/Exploit:-mount-cgroup')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-mount-disk', '/', 'cdk-team/CDK/wiki/Exploit:-mount-disk')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-mount-procfs', '/', 'cdk-team/CDK/wiki/Exploit:-mount-procfs')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-reverse-shell', '/', 'cdk-team/CDK/wiki/Exploit:-reverse-shell')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-rewrite-cgroup-devices', '/', 'cdk-team/CDK/wiki/Exploit:-rewrite-cgroup-devices')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-service-probe', '/', 'cdk-team/CDK/wiki/Exploit:-service-probe')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-shim-pwn', '/', 'cdk-team/CDK/wiki/Exploit:-shim-pwn')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Exploit:-webshell-deploy', '/', 'cdk-team/CDK/wiki/Exploit:-webshell-deploy')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Release', '/', 'cdk-team/CDK/wiki/Release')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Run-Test', '/', 'cdk-team/CDK/wiki/Run-Test')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-dcurl', '/', 'cdk-team/CDK/wiki/Tool:-dcurl')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-ifconfig', '/', 'cdk-team/CDK/wiki/Tool:-ifconfig')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-kcurl', '/', 'cdk-team/CDK/wiki/Tool:-kcurl')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-nc', '/', 'cdk-team/CDK/wiki/Tool:-nc')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-probe', '/', 'cdk-team/CDK/wiki/Tool:-probe')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-ps', '/', 'cdk-team/CDK/wiki/Tool:-ps')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-ucurl', '/', 'cdk-team/CDK/wiki/Tool:-ucurl')"
"('https://', 'ht', 's', '/cdk-team/CDK/wiki/Tool:-vi', '/', 'cdk-team/CDK/wiki/Tool:-vi')"
"('https://', 'ht', 's', '/cdk-team/cdk/graphs/contributors', '/', 'cdk-team/cdk/graphs/contributors')"
"('https://', 'ht', 's', '/chompie1337/Linux_LPE_eBPF_CVE-2021-3490/zip/main', '/', 'chompie1337/Linux_LPE_eBPF_CVE-2021-3490/zip/main')"
"('https://', 'ht', 's', '/compute/docs/storing-retrieving-metadata', '/', 'compute/docs/storing-retrieving-metadata')"
"('https://', 'ht', 's', '/cve-2022-0492-cgroups', '/', 'cve-2022-0492-cgroups')"
"('https://', 'ht', 's', '/dirtycow/dirtycow.github.io/wiki/VulnerabilityDetails', '/', 'dirtycow/dirtycow.github.io/wiki/VulnerabilityDetails')"
"('https://', 'ht', 's', '/docs/concepts/policy/pod-security-policy', '/', 'docs/concepts/policy/pod-security-policy')"
"('https://', 'ht', 's', '/document/product/213/4934', '/', 'document/product/213/4934')"
"('https://', 'ht', 's', '/duasynt/xfrm_poc/raw/master/lucky0', '/', 'duasynt/xfrm_poc/raw/master/lucky0')"
"('https://', 'ht', 's', '/en-us/azure/virtual-machines/windows/instance-metadata-service', '/', 'en-us/azure/virtual-machines/windows/instance-metadata-service')"
"('https://', 'ht', 's', '/engine/api/v1.24', '/', 'engine/api/v1.24')"
"('https://', 'ht', 's', '/engine/api/v1.24/#31-containers', '/', 'engine/api/v1.24/#31-containers')"
"('https://', 'ht', 's', '/events/details/cncf-kcd-china-presents-kubernetes-community-days-china', '/', 'events/details/cncf-kcd-china-presents-kubernetes-community-days-china')"
"('https://', 'ht', 's', '/exploits/CVE-2016-1247/nginxed-root.sh', '/', 'exploits/CVE-2016-1247/nginxed-root.sh')"
"('https://', 'ht', 's', '/exploits/CVE-2016-9566/nagios-root-privesc.sh', '/', 'exploits/CVE-2016-9566/nagios-root-privesc.sh')"
"('https://', 'ht', 's', '/exploits/vnik_v1.c', '/', 'exploits/vnik_v1.c')"
"('https://', 'ht', 's', '/files/dirtypipez.c', '/', 'files/dirtypipez.c')"
"('https://', 'ht', 's', '/files/team-edward.py', '/', 'files/team-edward.py')"
"('https://', 'ht', 's', '/golang/go/issues/12125', '/', 'golang/go/issues/12125')"
"('https://', 'ht', 's', '/golang/go/issues/22283', '/', 'golang/go/issues/22283')"
"('https://', 'ht', 's', '/golang/go/issues/50098', '/', 'golang/go/issues/50098')"
"('https://', 'ht', 's', '/google/security-research/master/pocs/linux/cve-2021-22555/exploit.c', '/', 'google/security-research/master/pocs/linux/cve-2021-22555/exploit.c')"
"('https://', 'ht', 's', '/grimm-co/NotQuite0DayFriday/zip/trunk', '/', 'grimm-co/NotQuite0DayFriday/zip/trunk')"
"('https://', 'ht', 's', '/guywhataguy/CVE-2019-12181/master/servu-pe-cve-2019-12181.c', '/', 'guywhataguy/CVE-2019-12181/master/servu-pe-cve-2019-12181.c')"
"('https://', 'ht', 's', '/hitbsecconf2021ams/sessions/attacking-cloud-native-kubernetes-with-cdk', '/', 'hitbsecconf2021ams/sessions/attacking-cloud-native-kubernetes-with-cdk')"
"('https://', 'ht', 's', '/image?repo=cdk-team/cdk', '/', 'image?repo=cdk-team/cdk')"
"('https://', 'ht', 's', '/index.php/Ext4_Disk_Layout', '/', 'index.php/Ext4_Disk_Layout')"
"('https://', 'ht', 's', '/initstring/dirty_sock/archive/master.zip', '/', 'initstring/dirty_sock/archive/master.zip')"
"('https://', 'ht', 's', '/jiguangin/netcat', '/', 'jiguangin/netcat')"
"('https://', 'ht', 's', '/kingkaki', '/', 'kingkaki')"
"('https://', 'ht', 's', '/kingkaki.png?size=40', '/', 'kingkaki.png?size=40')"
"('https://', 'ht', 's', '/knowledge_detail/49122.html', '/', 'knowledge_detail/49122.html')"
"('https://', 'ht', 's', '/knownsec/404StarLink-Project/raw/master/logo.png', '/', 'knownsec/404StarLink-Project/raw/master/logo.png')"
"('https://', 'ht', 's', '/knownsec/404StarLink2.0-Galaxy#community', '/', 'knownsec/404StarLink2.0-Galaxy#community')"
"('https://', 'ht', 's', '/knownsec/404StarLink2.0-Galaxy', '/', 'knownsec/404StarLink2.0-Galaxy')"
"('https://', 'ht', 's', '/kubernetes-client/python/blob/b79ad6837b2f5326c7dad488a64eed7c3987e856/kubernetes/README.md', '/', 'kubernetes-client/python/blob/b79ad6837b2f5326c7dad488a64eed7c3987e856/kubernetes/README.md')"
"('https://', 'ht', 's', '/kubernetes/client-go/blob/66db2540991da169fb60fce735064a55bfc52b71/rest/config.go#L483', '/', 'kubernetes/client-go/blob/66db2540991da169fb60fce735064a55bfc52b71/rest/config.go#L483')"
"('https://', 'ht', 's', '/kubernetes/dns/blob/master/docs/specification.md', '/', 'kubernetes/dns/blob/master/docs/specification.md')"
"('https://', 'ht', 's', '/kubernetes/kubernetes/issues/92315', '/', 'kubernetes/kubernetes/issues/92315')"
"('https://', 'ht', 's', '/linux/man-pages/man5/proc.5.html', '/', 'linux/man-pages/man5/proc.5.html')"
"('https://', 'ht', 's', '/linux/man-pages/man7/user_namespaces.7.html', '/', 'linux/man-pages/man7/user_namespaces.7.html')"
"('https://', 'ht', 's', '/linux/v5.16.13/source/kernel/fork.c#L2957', '/', 'linux/v5.16.13/source/kernel/fork.c#L2957')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/bpf_syscall.md', '/', 'mzet-/les-res/blob/master/features/bpf_syscall.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/bug.md', '/', 'mzet-/les-res/blob/master/features/bug.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/bug_on_data_corruption.md', '/', 'mzet-/les-res/blob/master/features/bug_on_data_corruption.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/debug_credentials.md', '/', 'mzet-/les-res/blob/master/features/debug_credentials.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/debug_list.md', '/', 'mzet-/les-res/blob/master/features/debug_list.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/debug_notifiers.md', '/', 'mzet-/les-res/blob/master/features/debug_notifiers.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/debug_sg.md', '/', 'mzet-/les-res/blob/master/features/debug_sg.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/devkmem.md', '/', 'mzet-/les-res/blob/master/features/devkmem.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/devmem.md', '/', 'mzet-/les-res/blob/master/features/devmem.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/dmesg_restrict.md', '/', 'mzet-/les-res/blob/master/features/dmesg_restrict.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/fortify_source.md', '/', 'mzet-/les-res/blob/master/features/fortify_source.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/hardened_usercopy.md', '/', 'mzet-/les-res/blob/master/features/hardened_usercopy.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/io_strict_devmem.md', '/', 'mzet-/les-res/blob/master/features/io_strict_devmem.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/kaslr.md', '/', 'mzet-/les-res/blob/master/features/kaslr.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/lkrg.md', '/', 'mzet-/les-res/blob/master/features/lkrg.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/mmap_min_addr.md', '/', 'mzet-/les-res/blob/master/features/mmap_min_addr.md')"
"('https://', 'ht', 's', '/mzet-/les-res/blob/master/features/page_poisoning.md', '/', 'mzet-/les-res/blob/master/features/page_poisoning.md')"
