"('', '', '', '', '', '', ' 0\n\t\t\t$timeout', '', '0', 'timeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $Password', '', 'AND', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AND $_', '', 'AND', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'AutoSize\n\t\t\t\t$FinalResults', '', 'AutoSize', 'FinalResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CimInstance $cimInstance', '', 'CimInstance', 'cimInstance', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CimSession $cimSession', '', 'CimSession', 'cimSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Class $ClassID', '', 'Class', 'ClassID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ClassID\n\t\t\t$createNewClass', '', 'ClassID', 'createNewClass', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ClassName $ClassID', '', 'ClassName', 'ClassID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CmdInput $Command', '', 'CmdInput', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'CmdInput $inputFromUser', '', 'CmdInput', 'inputFromUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Command $Command', '', 'Command', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ComputerName $Computer', '', 'ComputerName', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ComputerName $ComputerName', '', 'ComputerName', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Credential $cred', '', 'Credential', 'cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'DnsName $Computer', '', 'DnsName', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Domain $Domain', '', 'Domain', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'EncodedCommand $base64Input', '', 'EncodedCommand', 'base64Input', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ExpandProperty $KeyID', '', 'ExpandProperty', 'KeyID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'False\n    \t\t$TempHostname', '', 'False', 'TempHostname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'File $pwd', '', 'File', 'pwd', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Force\n\t\t$cred', '', 'Force', 'cred', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Host.UI.RawUI.BackgroundColor\n\t$currentTextColor', '', 'Host.UI.RawUI.BackgroundColor', 'currentTextColor', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Host.UI.RawUI.ForegroundColor\n \t$stopwatch', '', 'Host.UI.RawUI.ForegroundColor', 'stopwatch', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'HostName $TargetHost', '', 'HostName', 'TargetHost', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n            $wmiDataOutput', '', 'Null', 'wmiDataOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n\t$GuidOutput', '', 'Null', 'GuidOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $finalResult', '', 'Output', 'finalResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Password $Password', '', 'Password', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Targets', '', 'Path', 'Targets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $KeyID', '', 'Property', 'KeyID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SecureString $Password', '', 'SecureString', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SessionOption $sessionOptions', '', 'SessionOption', 'sessionOptions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Targets\n\t\t\t$Computers', '', 'Targets', 'Computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName $UserName', '', 'UserName', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName $tempusername', '', 'UserName', 'tempusername', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserName\n\t\t\t\t$connectionOptions', '', 'UserName', 'connectionOptions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'UserSession\n\t\t\t\t$FinalResults', '', 'UserSession', 'FinalResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[1]\n\t\t$TargetHost', '', '1', 'TargetHost', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $entry', '', 'return', 'entry', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $false', '', 'return', 'false', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $resultData', '', 'return', 'resultData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]$Command', '', 'string', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]$ComputerName', '', 'string', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        return $false', '', 'return', 'false', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        return $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n    return $allcomputers', '', 'return', 'allcomputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[String]\n\t\t$Domain', '', 'String', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[String]\n\t\t$DomainController', '', 'String', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[String]\n\t\t$Hunt', '', 'String', 'Hunt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[String]\n\t\t$Password', '', 'String', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[String]\n\t\t$Targets', '', 'String', 'Targets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[String]\n\t\t$UserName', '', 'String', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$CheckAsAdmin', '', 'Switch', 'CheckAsAdmin', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$IncludeLocalHost', '', 'Switch', 'IncludeLocalHost', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$Match', '', 'Switch', 'Match', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$NoPortScan', '', 'Switch', 'NoPortScan', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$RawResults', '', 'Switch', 'RawResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$Servers', '', 'Switch', 'Servers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$ShowAll', '', 'Switch', 'ShowAll', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[Switch]\n\t\t$Workstations', '', 'Switch', 'Workstations', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[int]\n\t\t$Timeout', '', 'int', 'Timeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[string]$Password', '', 'string', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t[string]$UserName', '', 'string', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t\t\t\treturn $computer', '', 'return', 'computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t\treturn $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\t\t\treturn $results', '', 'return', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '_ldap._tcp.dc._msdcs.$Domain', '', '_ldap._tcp.dc._msdcs.', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $_', '', 'and', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'currentDomain.DomainControllers\n\t\t$DomainController', '', 'currentDomain.DomainControllers', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'currentTextColor\n\t$Host', '', 'currentTextColor', 'Host', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $True', '', 'eq', 'True', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n\t\t\t\t$Process', '', 'false', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n\t\t\t\t\t$Process', '', 'false', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ldapFilter\n    $searcher', '', 'ldapFilter', 'searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $timeout', '', 'lt', 'timeout', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'match $pattern', '', 'match', 'pattern', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $TempCurrentUser', '', 'ne', 'TempCurrentUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $TempHostname', '', 'ne', 'TempHostname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $UserName', '', 'ne', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ne $null', '', 'ne', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $CheckSessionsAsAdmin', '', 'not', 'CheckSessionsAsAdmin', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $ErrorCheckpoint', '', 'not', 'ErrorCheckpoint', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $classExists', '', 'not', 'classExists', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n        $base64Input', '', 'null', 'base64Input', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n    $result', '', 'null', 'result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n   \t\t\t$AdminStatus', '', 'null', 'AdminStatus', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t$wmiDataOutput', '', 'null', 'wmiDataOutput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t$DomainController', '', 'null', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t$Result', '', 'null', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t$remoteRegistry', '', 'null', 'remoteRegistry', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t$user', '', 'null', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t$userKeys', '', 'null', 'userKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t$userTranslation', '', 'null', 'userTranslation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t\t$Command', '', 'null', 'Command', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t\t$Result', '', 'null', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'null\n\t\t\t\t\t\t$userTranslation', '', 'null', 'userTranslation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'return $False', '', 'return', 'False', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'return $True', '', 'return', 'True', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'return $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'runspacePool\n\t\n\t\t\t$runspaces', '', 'runspacePool', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'runspacePool\n\t\t$runspaces', '', 'runspacePool', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'runspacePool\n\t\t\t$runspaces', '', 'runspacePool', 'runspaces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'stopwatch.Elapsed\n\n \t$userInfo', '', 'stopwatch.Elapsed', 'userInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n\t\t\t\t$Process', '', 'true', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n\t\t\t\t\t$Process', '', 'true', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'wmiDataOutput.OutputData\n\t\t\t$wmiDataOutput', '', 'wmiDataOutput.OutputData', 'wmiDataOutput', '', '', '', '', '', '', '', '')"
