"('https://', 'ht', 's', '/golang/dep/releases/download/v0.5.0/dep-linux-amd64', '/', 'golang/dep/releases/download/v0.5.0/dep-linux-amd64')"
"('https://', 'ht', 's', '/howeyc/fsnotify/issues/40', '/', 'howeyc/fsnotify/issues/40')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/pull/73', '/', 'fsnotify/fsnotify/pull/73')"
"('https://', 'ht', 's', '/fsnotify/fsnotify/issues/36', '/', 'fsnotify/fsnotify/issues/36')"
"('https://', 'ht', 's', '/github.com/fatih/color', '/', 'github.com/fatih/color')"
"('https://', 'ht', 's', '/fatih/color', '/', 'fatih/color')"
"('https://', 'ht', 's', '/fatih', '/', 'fatih')"
"('https://', 'ht', 's', '/fatih/color/blob/master/LICENSE.md', '/', 'fatih/color/blob/master/LICENSE.md')"
"('https://', 'ht', 's', '/c1JI0lA.png', '/', 'c1JI0lA.png')"
"('https://', 'ht', 's', '/travis/fatih/color.svg?style=flat-square', '/', 'travis/fatih/color.svg?style=flat-square')"
"('https://', 'ht', 's', '/mattn/go-colorable', '/', 'mattn/go-colorable')"
"('https://', 'ht', 's', '/github.com/fatih/color?status.svg', '/', 'github.com/fatih/color?status.svg')"
"('http://', 'ht', '', '/wiki/ANSI_escape_code#Colors', '/', 'wiki/ANSI_escape_code#Colors')"
"('https://', 'ht', 's', '/golang/dep/blob/master/docs/Gopkg.toml.md', '/', 'golang/dep/blob/master/docs/Gopkg.toml.md')"
"('www.', 'ht', '', '/software/libc/manual/html_node/Argument-Syntax.html', '/', 'software/libc/manual/html_node/Argument-Syntax.html')"
