"('', '', '', '', '', '', ' OneEventToDict $event', '', 'OneEventToDict', 'event', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                GetServers $SIDRegPath', '', 'GetServers', 'SIDRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                [array]$Output', '', 'array', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            GetDefaultServers $SIDefaultRegPath', '', 'GetDefaultServers', 'SIDefaultRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            GetServers $SIDRegPath', '', 'GetServers', 'SIDRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            [array]$Output', '', 'array', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        return $ret', '', 'return', 'ret', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n    ren $EventLogPath', '', 'ren', 'EventLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n    [System.Collections.ArrayList]$results', '', 'System.Collections.ArrayList', 'results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n    [xml]$xmldoc', '', 'xml', 'xmldoc', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host  $evtx', '', 'host', 'evtx', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $DefaultServerRegPath', '', 'host', 'DefaultServerRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $EventLogPath', '', 'host', 'EventLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $EventType', '', 'host', 'EventType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $RdpDefault', '', 'host', 'RdpDefault', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $RegPathName', '', 'host', 'RegPathName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $RegPathValue', '', 'host', 'RegPathValue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $ServerRegPath', '', 'host', 'ServerRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'host $TempLogPath', '', 'host', 'TempLogPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'i]\n            $datas', '', 'i', 'datas', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lf\n\n    $xmlEvent', '', 'lf', 'xmlEvent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $data', '', 'lt', 'data', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $eventXML', '', 'lt', 'eventXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $xmlEvent', '', 'lt', 'xmlEvent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'path $EventLogRegPath', '', 'path', 'EventLogRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'path $RdpDefault', '', 'path', 'RdpDefault', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'path $TSConnectionRegPath', '', 'path', 'TSConnectionRegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $MaxSize', '', 'value', 'MaxSize', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $RdpDefaultDelIp', '', 'value', 'RdpDefaultDelIp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'value $fDenyTSConnections', '', 'value', 'fDenyTSConnections', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'xmlEvent\n        $datas', '', 'xmlEvent', 'datas', '', '', '', '', '', '', '', '')"
