"(""/"",""%4"""
"(@ids, script_resource(""./powershell/RegfDenyTSConnections.ps1"""
"(@ids,""Clearn $EventType Eventlog """
"(@ids,""ClearnEventRecordID $EventType $EventTypeFlag $EventRecordID"""
"(@ids,""ClearnIpAddress $EventType $EventTypeFlag $IpAddress"""
"(@ids,""ClearnRegName \""$1\"""""
"(@ids,""ClearnRegValue \""$RegPath\"" $RegValue"""
"(@ids,""Delete EventLog where EventType = $EventType & EventRecordID = $EventRecordID"""
"(@ids,""Delete EventLog where EventType = $EventType & IpAddress = $IpAddress"""
"(@ids,""Delete Reg where RegPath = $RegPath & RegValue = $RegValue"""
"(@ids,""EventLogFailed"""
"(@ids,""EventLogSuccessWevtutil"""
"(@ids,""Reg Delete with powershell"""
"(@ids,""Reg Delete: $1 /f"""
"(@ids,""RegSecMaxSize $EventLogType $MaxSize"""
"(@ids,""RegfDenyTSConnections $fDenyTSConnections"""
"(@ids,""Sec_.evtx"""
"(@ids,""for /f %i in (\'wevtutil el\'"
"(@ids,""reg add \""$1\"""""
"(@ids,""reg delete \""$1\"" /f"""
"(@ids,""wevtutil cl \""$EventType\"""""
"(@ids,""wevtutil cl \""Windows PowerShell\"""""
"(@ids,""wevtutil epl Security ./Sec_.evtx /ow:true"""
"(@ids,script_resource(""./powershell/ClearnEventRecordID.ps1"""
"(@ids,script_resource(""./powershell/ClearnIpAddress.ps1"""
"(@ids,script_resource(""./powershell/ClearnRegName.ps1"""
"(@ids,script_resource(""./powershell/ClearnRegValue.ps1"""
"(Data[@Name='IpAddress']!='""$IpAddress""'"
"(EventRecordID!='""$EventRecordID""'"
"(Strings, 19, '|'"
"(Strings, 20, '|'"
"(wevtutil cl \""%i\"""
($1
($CertHash
($ClientHostName
($Event in $Events
($EventLogRegValue/1024/1024
($EventLogRegValueCheck/1024/1024
($EventLogType -eq 'LocalSessionManager'
($EventLogType -eq 'RemoteConnectionManager'
($EventLogType -eq 'Security'
($EventType -eq 'ClientActiveXCore'
($EventType -eq 'LocalSessionManager'
($EventType -eq 'RdpCoreTS'
($EventType -eq 'RemoteConnectionManager'
($EventType -eq 'Security'
($EventType eq 'AllEvent'
($EventType eq 'ClientActiveXCore'
($EventType eq 'LocalSessionManager'
($EventType eq 'RdpCoreTS'
($EventType eq 'RemoteConnectionManager'
($MaxSize -eq '100'
($MaxSize -eq '1000'
($MaxSize -eq '20'
($MaxSize -eq '200'
($MaxSize -eq '50'
($Name in $UserSID
($OutputFormat
($OutputFormat='yyyy-MM-dd HH:mm:ss fff'
($Server in $Servers
($ServerName
($ServerName in $ServerNames
($ServerName in $ServerNames.Property
($dialog
($fDenyTSConnections eq 'close'
($fDenyTSConnections eq 'open'
($i=0; $i -lt $data.Count; $i++
($i=0; $i -lt $eventXML.Event.EventData.Data.Count; $i++
($i=0; $i -lt $xmlEvent.Count; $i++
($j in $eventXML.Event.System.ChildNodes
($null
($xmlEvent.Count
('$bid'
('-'
('4625'
('\d+.\d+.\d+.\d+'
((New-Object PSObject -Property $datas
() -Value $eventXML.Event.System.($j.ToString(
(0 open / 1 close
(4>M 
(Data[@Name='LogonType']='10'
(Data[@Name='LogonType']='3'
(EventID !='1024'
(EventID !='1149'
(EventID !='131'
(EventID !='140'
(EventID !='21'
(EventID !='22'
(EventID !='24'
(EventID !='25'
(EventID=131
(EventID=140
(EventID=21
(EventID=22
(EventID=24
(EventID=25
(EventID=4624
(Get-Content $RdpDefault
(Get-Item $evtx
(Get-ItemProperty -Path $EventLogRegPath -ErrorAction Stop
(Get-ItemProperty -Path $RegPath -ErrorAction Stop
(Get-ItemProperty -Path $RegPath$Server -ErrorAction Stop
(Get-ItemProperty -Path $SecurityRegPath -ErrorAction Stop
(Get-ItemProperty -Path $ServerRegPath$ServerName
(Get-ItemProperty -Path $ServerRegPath$ServerName -ErrorAction Stop
(Get-ItemProperty -Path $TSConnectionRegPath -ErrorAction Stop
(Qh
(SourceIP
([DateTime]$_
(c
(echo.%j
(}
