"(""SQLITE_AFF_REAL     'e'"", '//')"
"('MEM_Ephem     0x1000   /* Mem.z points to an ephemeral string */', '//')"
"('MEM_Int       0x0004   /* Value is an integer */', '//')"
"('MEM_Null      0x0001   /* Value is NULL */', '//')"
"('MEM_Real      0x0008   /* Value is a real number */', '//')"
"('MEM_RowSet    0x0020   /* Value is a RowSet object */', '//')"
"('MEM_Static    0x0800   /* Mem.z points to a static string */', '//')"
"('MEM_Str       0x0002   /* Value is a string */', '//')"
"('MEM_Term      0x0200   /* String rep is nul terminated */', '//')"
"('MEM_Zero      0x4000   /* Mem.i contains count of 0s appended to blob */', '//')"
"('MEM_Zero 0x0000', '//')"
"('MemSetTypeFlag(p, f) \\', '//')"
"('OPFLAG_APPEND    8    /* This is likely to be an append */', '//')"
"('OPFLAG_ISUPDATE  4    /* This OP_Insert is an sql UPDATE */', '//')"
"('OPFLAG_LASTROWID 2    /* Set to update db->lastRowid */', '//')"
"('OPFLAG_NCHANGE   1    /* Set to update db->nChange */', '//')"
"('OPFLG_IN1             0x0004  /* in1:   P1 is an input */', '//')"
"('OPFLG_IN2             0x0008  /* in2:   P2 is an input */', '//')"
"('OPFLG_IN3             0x0010  /* in3:   P3 is an input */', '//')"
"('OPFLG_JUMP            0x0001  /* jump:  P2 holds jmp target */', '//')"
"('OPFLG_OUT2_PRERELEASE 0x0002  /* out2-prerelease: */', '//')"
"('OP_Add                                 84   /* same as TK_PLUS     */', '//')"
"('OP_AddImm                              42', '//')"
"('OP_Affinity                             2', '//')"
"('OP_AggFinal                            92', '//')"
"('OP_AggStep                            100', '//')"
"('OP_And                                 67   /* same as TK_AND      */', '//')"
"('OP_AutoCommit                          15', '//')"
"('OP_BitAnd                              80   /* same as TK_BITAND   */', '//')"
"('OP_BitNot                              93   /* same as TK_BITNOT   */', '//')"
"('OP_BitOr                               81   /* same as TK_BITOR    */', '//')"
"('OP_Blob                               121', '//')"
"('OP_Clear                               98', '//')"
"('OP_Close                               33', '//')"
"('OP_CollSeq                             12', '//')"
"('OP_Column                               3', '//')"
"('OP_Compare                             95', '//')"
"('OP_Concat                              89   /* same as TK_CONCAT   */', '//')"
"('OP_ContextPop                         105', '//')"
"('OP_ContextPush                         59', '//')"
"('OP_Copy                                20', '//')"
"('OP_Count                              107', '//')"
"('OP_CreateIndex                         34', '//')"
"('OP_CreateTable                         53', '//')"
"('OP_Delete                              91', '//')"
"('OP_Destroy                            111', '//')"
"('OP_Divide                              87   /* same as TK_SLASH    */', '//')"
"('OP_DropIndex                           62', '//')"
"('OP_DropTable                           69', '//')"
"('OP_DropTrigger                         61', '//')"
"('OP_Eq                                  74   /* same as TK_EQ       */', '//')"
"('OP_Expire                              14', '//')"
"('OP_Explain                            115', '//')"
"('OP_Found                              128', '//')"
"('OP_Function                            22', '//')"
"('OP_Ge                                  78   /* same as TK_GE       */', '//')"
"('OP_Gosub                               47', '//')"
"('OP_Goto                                96', '//')"
"('OP_Gt                                  75   /* same as TK_GT       */', '//')"
"('OP_Halt                                39', '//')"
"('OP_HaltIfNull                         116', '//')"
"('OP_IdxDelete                           64', '//')"
"('OP_IdxGE                               63', '//')"
"('OP_IdxInsert                          108', '//')"
"('OP_IdxLT                               41', '//')"
"('OP_IdxRowid                            57', '//')"
"('OP_If                                  11', '//')"
"('OP_IfNeg                               23', '//')"
"('OP_IfNot                               68', '//')"
"('OP_IfPos                              129', '//')"
"('OP_IfZero                             126', '//')"
"('OP_IncrVacuum                          56', '//')"
"('OP_Insert                             110', '//')"
"('OP_Int64                               37', '//')"
"('OP_Integer                             48', '//')"
"('OP_IntegrityCk                         17', '//')"
"('OP_IsNull                              71   /* same as TK_ISNULL   */', '//')"
"('OP_IsUnique                            35', '//')"
"('OP_Jump                               132', '//')"
"('OP_Last                                54', '//')"
"('OP_Le                                  76   /* same as TK_LE       */', '//')"
"('OP_LoadAnalysis                       114', '//')"
"('OP_Lt                                  77   /* same as TK_LT       */', '//')"
"('OP_MakeRecord                          79', '//')"
"('OP_MemMax                              45', '//')"
"('OP_Move                               120', '//')"
"('OP_Multiply                            86   /* same as TK_STAR     */', '//')"
"('OP_MustBeInt                           38', '//')"
"('OP_Ne                                  73   /* same as TK_NE       */', '//')"
"('OP_NewRowid                            26', '//')"
"('OP_Next                               106', '//')"
"('OP_Noop                                24', '//')"
"('OP_Not                                 19   /* same as TK_NOT      */', '//')"
"('OP_NotExists                           46', '//')"
"('OP_NotFound                            36', '//')"
"('OP_NotNull                             72   /* same as TK_NOTNULL  */', '//')"
"('OP_NotUsed_134                        134', '//')"
"('OP_NotUsed_135                        135', '//')"
"('OP_NotUsed_136                        136', '//')"
"('OP_NotUsed_137                        137', '//')"
"('OP_NotUsed_138                        138', '//')"
"('OP_NotUsed_139                        139', '//')"
"('OP_Null                               119', '//')"
"('OP_NullRow                            131', '//')"
"('OP_OpenEphemeral                      118', '//')"
"('OP_OpenPseudo                         117', '//')"
"('OP_OpenRead                            13', '//')"
"('OP_OpenWrite                           10', '//')"
"('OP_Or                                  66   /* same as TK_OR       */', '//')"
"('OP_Pagecount                           16', '//')"
"('OP_ParseSchema                         31', '//')"
"('OP_Prev                                49', '//')"
"('OP_ReadCookie                         112', '//')"
"('OP_Real                               130   /* same as TK_FLOAT    */', '//')"
"('OP_RealAffinity                        29', '//')"
"('OP_Remainder                           88   /* same as TK_REM      */', '//')"
"('OP_ResetCount                          58', '//')"
"('OP_ResultRow                           90', '//')"
"('OP_Return                              25', '//')"
"('OP_Rewind                             122', '//')"
"('OP_RowData                             44', '//')"
"('OP_RowKey                               8', '//')"
"('OP_RowSetAdd                           51', '//')"
"('OP_RowSetRead                          50', '//')"
"('OP_RowSetTest                         113', '//')"
"('OP_Rowid                               40', '//')"
"('OP_SCopy                                9', '//')"
"('OP_Savepoint                            7', '//')"
"('OP_Seek                                 5', '//')"
"('OP_SeekGe                             109', '//')"
"('OP_SeekGt                             123', '//')"
"('OP_SeekLe                              55', '//')"
"('OP_SeekLt                              70', '//')"
"('OP_Sequence                             6', '//')"
"('OP_SetCookie                            4', '//')"
"('OP_SetNumColumns                      101', '//')"
"('OP_ShiftLeft                           82   /* same as TK_LSHIFT   */', '//')"
"('OP_ShiftRight                          83   /* same as TK_RSHIFT   */', '//')"
"('OP_Sort                                18', '//')"
"('OP_Statement                           43', '//')"
"('OP_String                              28', '//')"
"('OP_String8                             94   /* same as TK_STRING   */', '//')"
"('OP_Subtract                            85   /* same as TK_MINUS    */', '//')"
"('OP_TableLock                           97', '//')"
"('OP_ToBlob                             142   /* same as TK_TO_BLOB  */', '//')"
"('OP_ToInt                              144   /* same as TK_TO_INT   */', '//')"
"('OP_ToNumeric                          143   /* same as TK_TO_NUMERIC*/', '//')"
"('OP_ToReal                             145   /* same as TK_TO_REAL  */', '//')"
"('OP_ToText                             141   /* same as TK_TO_TEXT  */', '//')"
"('OP_Trace                               21', '//')"
"('OP_Transaction                        102', '//')"
"('OP_VBegin                             124', '//')"
"('OP_VColumn                             52', '//')"
"('OP_VCreate                            127', '//')"
"('OP_VDestroy                           104', '//')"
"('OP_VFilter                            103', '//')"
"('OP_VNext                                1', '//')"
"('OP_VOpen                               32', '//')"
"('OP_VRename                             30', '//')"
"('OP_VUpdate                            125', '//')"
"('OP_Vacuum                              65', '//')"
"('OP_Variable                            27', '//')"
"('OP_VerifyCookie                        99', '//')"
"('OP_Yield                               60', '//')"
"('OSTRACE1(X)', '//')"
"('OSTRACE2(X,Y)', '//')"
"('OSTRACE3(X,Y,Z)', '//')"
"('OSTRACE4(X,Y,Z,A)', '//')"
"('OSTRACE5(X,Y,Z,A,B)', '//')"
"('OSTRACE6(X,Y,Z,A,B,C)', '//')"
"('PAGER_JOURNALMODE_DELETE      0   /* Commit by deleting journal file */', '//')"
"('PAGER_JOURNALMODE_OFF         2   /* Journal omitted.  */', '//')"
"('PAGER_JOURNALMODE_PERSIST     1   /* Commit by zeroing journal header */', '//')"
"('PAGER_JOURNALMODE_QUERY      -1', '//')"
"('PAGER_JOURNALMODE_TRUNCATE    3   /* Commit by truncating journal */', '//')"
"('PAGER_LOCKINGMODE_NORMAL      0', '//')"
"('PAGER_LOCKINGMODE_QUERY      -1', '//')"
"('PAGER_OMIT_JOURNAL  0x0001    /* Do not use a rollback journal */', '//')"
"('PGHDR_DIRTY             0x002  /* Page has changed */', '//')"
"('PGHDR_NEED_READ         0x008  /* Content is unread */', '//')"
"('PGHDR_NEED_SYNC         0x004  /* Fsync the rollback journal before', '//')"
"('PGHDR_REUSE_UNLIKELY    0x010  /* A hint that reuse is unlikely */', '//')"
"('PTRMAP_FREEPAGE 2', '//')"
"('PTRMAP_OVERFLOW1 3', '//')"
"('PTRMAP_OVERFLOW2 4', '//')"
"('PTRMAP_ROOTPAGE 1', '//')"
"('READ_LOCK     1', '//')"
"('READ_UTF16BE(zIn, c){                                         \\', '//')"
"('READ_UTF16LE(zIn, c){                                         \\', '//')"
"('READ_UTF8(zIn, zTerm, c)                           \\', '//')"
"('ROWSET_ENTRY_PER_CHUNK  \\', '//')"
"('SF_Aggregate       0x0004  /* Contains aggregate functions */', '//')"
"('SF_Distinct        0x0001  /* Output should be DISTINCT */', '//')"
"('SF_Expanded        0x0010  /* sqlite3SelectExpand() called on this */', '//')"
"('SF_Resolved        0x0002  /* Identifiers have been resolved */', '//')"
"('SF_UsesEphemeral   0x0008  /* Uses the OpenEphemeral opcode */', '//')"
"('SQLITE_ABORT        4   /* Callback routine requested an abort */', '//')"
"('SQLITE_ACCESS_EXISTS    0', '//')"
"('SQLITE_ACCESS_READWRITE 1', '//')"
"('SQLITE_ALTER_TABLE          26   /* Database Name   Table Name      */', '//')"
"('SQLITE_ANALYZE              28   /* Table Name      NULL            */', '//')"
"('SQLITE_ANY            5    /* sqlite3_create_function only */', '//')"
"('SQLITE_ATTACH               24   /* Filename        NULL            */', '//')"
"('SQLITE_AUTH        23   /* Authorization denied */', '//')"
"('SQLITE_BLOB     4', '//')"
"('SQLITE_BUSY         5   /* The database file is locked */', '//')"
"('SQLITE_CANTOPEN    14   /* Unable to open the database file */', '//')"
"('SQLITE_CONFIG_GETMALLOC     5  /* sqlite3_mem_methods* */', '//')"
"('SQLITE_CONFIG_GETMUTEX     11  /* sqlite3_mutex_methods* */', '//')"
"('SQLITE_CONFIG_HEAP          8  /* void*, int nByte, int min */', '//')"
"('SQLITE_CONFIG_LOOKASIDE    13  /* int int */', '//')"
"('SQLITE_CONFIG_MALLOC        4  /* sqlite3_mem_methods* */', '//')"
"('SQLITE_CONFIG_MEMSTATUS     9  /* boolean */', '//')"
"('SQLITE_CONFIG_MULTITHREAD   2  /* nil */', '//')"
"('SQLITE_CONFIG_MUTEX        10  /* sqlite3_mutex_methods* */', '//')"
"('SQLITE_CONFIG_PAGECACHE     7  /* void*, int sz, int N */', '//')"
"('SQLITE_CONFIG_PCACHE       14  /* sqlite3_pcache_methods* */', '//')"
"('SQLITE_CONFIG_SCRATCH       6  /* void*, int sz, int N */', '//')"
"('SQLITE_CONFIG_SERIALIZED    3  /* nil */', '//')"
"('SQLITE_CONFIG_SINGLETHREAD  1  /* nil */', '//')"
"('SQLITE_CONSTRAINT  19   /* Abort due to constraint violation */', '//')"
"('SQLITE_CORRUPT     11   /* The database disk image is malformed */', '//')"
"('SQLITE_CREATE_INDEX          1   /* Index Name      Table Name      */', '//')"
"('SQLITE_CREATE_TABLE          2   /* Table Name      NULL            */', '//')"
"('SQLITE_CREATE_TEMP_INDEX     3   /* Index Name      Table Name      */', '//')"
"('SQLITE_CREATE_TEMP_TABLE     4   /* Table Name      NULL            */', '//')"
"('SQLITE_CREATE_TEMP_TRIGGER   5   /* Trigger Name    Table Name      */', '//')"
"('SQLITE_CREATE_TEMP_VIEW      6   /* View Name       NULL            */', '//')"
"('SQLITE_CREATE_TRIGGER        7   /* Trigger Name    Table Name      */', '//')"
"('SQLITE_CREATE_VIEW           8   /* View Name       NULL            */', '//')"
"('SQLITE_CREATE_VTABLE        29   /* Table Name      Module Name     */', '//')"
"('SQLITE_CountRows      0x00000080  /* Count rows changed by INSERT, */', '//')"
"('SQLITE_DELETE                9   /* Table Name      NULL            */', '//')"
"('SQLITE_DENY   1   /* Abort the SQL statement with an error */', '//')"
"('SQLITE_DEPRECATED', '//')"
"('SQLITE_DETACH               25   /* Database Name   NULL            */', '//')"
"('SQLITE_DROP_INDEX           10   /* Index Name      Table Name      */', '//')"
"('SQLITE_DROP_TABLE           11   /* Table Name      NULL            */', '//')"
"('SQLITE_DROP_TEMP_INDEX      12   /* Index Name      Table Name      */', '//')"
"('SQLITE_DROP_TEMP_TABLE      13   /* Table Name      NULL            */', '//')"
"('SQLITE_DROP_TEMP_TRIGGER    14   /* Trigger Name    Table Name      */', '//')"
"('SQLITE_DROP_TEMP_VIEW       15   /* View Name       NULL            */', '//')"
"('SQLITE_DROP_TRIGGER         16   /* Trigger Name    Table Name      */', '//')"
"('SQLITE_DROP_VIEW            17   /* View Name       NULL            */', '//')"
"('SQLITE_DROP_VTABLE          30   /* Table Name      Module Name     */', '//')"
"('SQLITE_DYNAMIC   ((sqlite3_destructor_type)', '//')"
"('SQLITE_EMPTY       16   /* Database is empty */', '//')"
"('SQLITE_ERROR        1   /* SQL error or missing database */', '//')"
"('SQLITE_EXTENSION_INIT1     const sqlite3_api_routines *sqlite3_api = 0;', '//')"
"('SQLITE_FCNTL_LOCKSTATE        1', '//')"
"('SQLITE_FLOAT    2', '//')"
"('SQLITE_FORMAT      24   /* Auxiliary database format error */', '//')"
"('SQLITE_FULL        13   /* Insertion failed because database is full */', '//')"
"('SQLITE_FUNCTION             31   /* NULL            Function Name   */', '//')"
"('SQLITE_FUNC_CASE     0x02  /* Case-sensitive LIKE-type function */', '//')"
"('SQLITE_FUNC_EPHEM    0x04  /* Ephemeral.  Delete with VDBE */', '//')"
"('SQLITE_FUNC_LIKE     0x01  /* Candidate for the LIKE optimization */', '//')"
"('SQLITE_FUNC_NEEDCOLL 0x08 /* sqlite3GetFuncCollSeq() might be called */', '//')"
"('SQLITE_FUNC_PRIVATE  0x10 /* Allowed for internal use only */', '//')"
"('SQLITE_GET_LOCKPROXYFILE      2', '//')"
"('SQLITE_INDEX_CONSTRAINT_EQ    2', '//')"
"('SQLITE_INDEX_CONSTRAINT_GE    32', '//')"
"('SQLITE_INDEX_CONSTRAINT_GT    4', '//')"
"('SQLITE_INDEX_CONSTRAINT_LE    8', '//')"
"('SQLITE_INDEX_CONSTRAINT_LT    16', '//')"
"('SQLITE_INSERT               18   /* Table Name      NULL            */', '//')"
"('SQLITE_INTEGER  1', '//')"
"('SQLITE_INTERNAL     2   /* Internal logic error in SQLite */', '//')"
"('SQLITE_INTERRUPT    9   /* Operation terminated by sqlite3_interrupt()*/', '//')"
"('SQLITE_IOCAP_ATOMIC          0x00000001', '//')"
"('SQLITE_IOCAP_ATOMIC16K       0x00000040', '//')"
"('SQLITE_IOCAP_ATOMIC1K        0x00000004', '//')"
"('SQLITE_IOCAP_ATOMIC2K        0x00000008', '//')"
"('SQLITE_IOCAP_ATOMIC32K       0x00000080', '//')"
"('SQLITE_IOCAP_ATOMIC4K        0x00000010', '//')"
"('SQLITE_IOCAP_ATOMIC512       0x00000002', '//')"
"('SQLITE_IOCAP_ATOMIC64K       0x00000100', '//')"
"('SQLITE_IOCAP_ATOMIC8K        0x00000020', '//')"
"('SQLITE_IOCAP_SAFE_APPEND     0x00000200', '//')"
"('SQLITE_IOERR       10   /* Some kind of disk I/O error occurred */', '//')"
"('SQLITE_IOERR_ACCESS            (SQLITE_IOERR | (13<<8))', '//')"
"('SQLITE_IOERR_BLOCKED           (SQLITE_IOERR | (11<<8))', '//')"
"('SQLITE_IOERR_CHECKRESERVEDLOCK (SQLITE_IOERR | (14<<8))', '//')"
"('SQLITE_IOERR_CLOSE             (SQLITE_IOERR | (16<<8))', '//')"
"('SQLITE_IOERR_DELETE            (SQLITE_IOERR | (10<<8))', '//')"
"('SQLITE_IOERR_DIR_CLOSE         (SQLITE_IOERR | (17<<8))', '//')"
"('SQLITE_IOERR_DIR_FSYNC         (SQLITE_IOERR | (5<<8))', '//')"
"('SQLITE_IOERR_FSTAT             (SQLITE_IOERR | (7<<8))', '//')"
"('SQLITE_IOERR_FSYNC             (SQLITE_IOERR | (4<<8))', '//')"
"('SQLITE_IOERR_LOCK              (SQLITE_IOERR | (15<<8))', '//')"
"('SQLITE_IOERR_NOMEM             (SQLITE_IOERR | (12<<8))', '//')"
"('SQLITE_IOERR_RDLOCK            (SQLITE_IOERR | (9<<8))', '//')"
"('SQLITE_IOERR_READ              (SQLITE_IOERR | (1<<8))', '//')"
"('SQLITE_IOERR_SHORT_READ        (SQLITE_IOERR | (2<<8))', '//')"
"('SQLITE_IOERR_TRUNCATE          (SQLITE_IOERR | (6<<8))', '//')"
"('SQLITE_IOERR_UNLOCK            (SQLITE_IOERR | (8<<8))', '//')"
"('SQLITE_IOERR_WRITE             (SQLITE_IOERR | (3<<8))', '//')"
"('SQLITE_LIMIT_ATTACHED                  7', '//')"
"('SQLITE_LIMIT_COLUMN                    2', '//')"
"('SQLITE_LIMIT_COMPOUND_SELECT           4', '//')"
"('SQLITE_LIMIT_EXPR_DEPTH                3', '//')"
"('SQLITE_LIMIT_FUNCTION_ARG              6', '//')"
"('SQLITE_LIMIT_LENGTH                    0', '//')"
"('SQLITE_LIMIT_LIKE_PATTERN_LENGTH       8', '//')"
"('SQLITE_LIMIT_SQL_LENGTH                1', '//')"
"('SQLITE_LIMIT_VDBE_OP                   5', '//')"
"('SQLITE_LOCKED       6   /* A table in the database is locked */', '//')"
"('SQLITE_LOCK_NONE          0', '//')"
"('SQLITE_LOCK_PENDING       3', '//')"
"('SQLITE_LOCK_RESERVED      2', '//')"
"('SQLITE_LOCK_SHARED        1', '//')"
"('SQLITE_MISMATCH    20   /* Data type mismatch */', '//')"
"('SQLITE_MISUSE      21   /* Library used incorrectly */', '//')"
"('SQLITE_MUTEX_FAST             0', '//')"
"('SQLITE_MUTEX_RECURSIVE        1', '//')"
"('SQLITE_MUTEX_STATIC_LRU       6  /* lru page list */', '//')"
"('SQLITE_MUTEX_STATIC_MASTER    2', '//')"
"('SQLITE_MUTEX_STATIC_MEM       3  /* sqlite3_malloc() */', '//')"
"('SQLITE_MUTEX_STATIC_MEM2      4  /* NOT USED */', '//')"
"('SQLITE_MUTEX_STATIC_OPEN      4  /* sqlite3BtreeOpen() */', '//')"
"('SQLITE_MUTEX_STATIC_PRNG      5  /* sqlite3_random() */', '//')"
"('SQLITE_NOLFS       22   /* Uses OS features not supported on host */', '//')"
"('SQLITE_NOMEM        7   /* A malloc() failed */', '//')"
"('SQLITE_NOTADB      26   /* File opened that is not a database file */', '//')"
"('SQLITE_NOTFOUND    12   /* NOT USED. Table or record not found */', '//')"
"('SQLITE_NULL     5', '//')"
"('SQLITE_NoReadlock     0x00001000  /* Readlocks are omitted when', '//')"
"('SQLITE_NullCallback   0x00000100  /* Invoke the callback once if the */', '//')"
"('SQLITE_OK           0   /* Successful result */', '//')"
"('SQLITE_OPEN_CREATE           0x00000004  /* Ok for sqlite3_open_v2() */', '//')"
"('SQLITE_OPEN_DELETEONCLOSE    0x00000008  /* VFS only */', '//')"
"('SQLITE_OPEN_EXCLUSIVE        0x00000010  /* VFS only */', '//')"
"('SQLITE_OPEN_MAIN_DB          0x00000100  /* VFS only */', '//')"
"('SQLITE_OPEN_MAIN_JOURNAL     0x00000800  /* VFS only */', '//')"
"('SQLITE_OPEN_MASTER_JOURNAL   0x00004000  /* VFS only */', '//')"
"('SQLITE_OPEN_NOMUTEX          0x00008000  /* Ok for sqlite3_open_v2() */', '//')"
"('SQLITE_OPEN_READONLY         0x00000001  /* Ok for sqlite3_open_v2() */', '//')"
"('SQLITE_OPEN_READWRITE        0x00000002  /* Ok for sqlite3_open_v2() */', '//')"
"('SQLITE_OPEN_SUBJOURNAL       0x00002000  /* VFS only */', '//')"
"('SQLITE_OPEN_TEMP_DB          0x00000200  /* VFS only */', '//')"
"('SQLITE_OPEN_TEMP_JOURNAL     0x00001000  /* VFS only */', '//')"
"('SQLITE_OPEN_TRANSIENT_DB     0x00000400  /* VFS only */', '//')"
"('SQLITE_PERM         3   /* Access permission denied */', '//')"
"('SQLITE_PRAGMA               19   /* Pragma Name     1st arg or NULL */', '//')"
"('SQLITE_PROTOCOL    15   /* NOT USED. Database lock protocol error */', '//')"
"('SQLITE_RANGE       25   /* 2nd parameter to sqlite3_bind out of range */', '//')"
"('SQLITE_READ                 20   /* Table Name      Column Name     */', '//')"
"('SQLITE_READONLY     8   /* Attempt to write a readonly database */', '//')"
"('SQLITE_REINDEX              27   /* Index Name      NULL            */', '//')"
"('SQLITE_ROW         100  /* sqlite3_step() has another row ready */', '//')"
"('SQLITE_SAVEPOINT            32   /* Operation       Savepoint Name  */', '//')"
"('SQLITE_SCHEMA      17   /* The database schema changed */', '//')"
"('SQLITE_SELECT               21   /* NULL            NULL            */', '//')"
"('SQLITE_SET_LOCKPROXYFILE      3', '//')"
"('SQLITE_SKIP_UTF8(zIn) {                        \\', '//')"
"('SQLITE_STATIC      ((sqlite3_destructor_type)0)', '//')"
"('SQLITE_STATUS_MALLOC_SIZE          5', '//')"
"('SQLITE_STATUS_MEMORY_USED          0', '//')"
"('SQLITE_STATUS_PAGECACHE_OVERFLOW   2', '//')"
"('SQLITE_STATUS_PAGECACHE_SIZE       7', '//')"
"('SQLITE_STATUS_PAGECACHE_USED       1', '//')"
"('SQLITE_STATUS_PARSER_STACK         6', '//')"
"('SQLITE_STATUS_SCRATCH_OVERFLOW     4', '//')"
"('SQLITE_STATUS_SCRATCH_USED         3', '//')"
"('SQLITE_STMTSTATUS_FULLSCAN_STEP     1', '//')"
"('SQLITE_SYNC_FULL          0x00003', '//')"
"('SQLITE_SYNC_NORMAL        0x00002', '//')"
"('SQLITE_TESTCTRL_ALWAYS                  13', '//')"
"('SQLITE_TESTCTRL_ASSERT                  12', '//')"
"('SQLITE_TESTCTRL_BENIGN_MALLOC_HOOKS     10', '//')"
"('SQLITE_TESTCTRL_BITVEC_TEST              8', '//')"
"('SQLITE_TESTCTRL_FAULT_INSTALL            9', '//')"
"('SQLITE_TESTCTRL_PENDING_BYTE            11', '//')"
"('SQLITE_TESTCTRL_PRNG_RESET               7', '//')"
"('SQLITE_TESTCTRL_PRNG_RESTORE             6', '//')"
"('SQLITE_TESTCTRL_PRNG_SAVE                5', '//')"
"('SQLITE_TOOBIG      18   /* String or BLOB exceeds size limit */', '//')"
"('SQLITE_TRANSACTION          22   /* Operation       NULL            */', '//')"
"('SQLITE_UPDATE               23   /* Table Name      Column Name     */', '//')"
"('SQLITE_UTF16          4    /* Use native byte order */', '//')"
"('SQLITE_UTF16BE        3', '//')"
"('SQLITE_UTF16LE        2', '//')"
"('SQLITE_UTF8           1', '//')"
"('SQLITE_VERSION         ""3.6.17""', '//')"
"('SQLITE_WSD const', '//')"
"('SQLITE_WSD', '//')"
"('STRICMP(x, y) (\\', '//')"
"('STR_FUNCTION(zName, nArg, pArg, bNC, xFunc) \\', '//')"
"('SimulateDiskfullError(CODE) \\', '//')"
"('SimulateIOError(A)', '//')"
"('SimulateIOError(CODE)  \\', '//')"
"('SimulateIOErrorBenign(X)', '//')"
"('Stringify(P, enc) \\', '//')"
"('TERM_ANDINFO    0x20   /* Need to free the WhereTerm.u.pAndInfo obj */', '//')"
"('TERM_CODED      0x04   /* This term is already coded */', '//')"
"('TERM_COPIED     0x08   /* Has a child */', '//')"
"('TERM_DYNAMIC    0x01   /* Need to call sqlite3ExprDelete(db, ref pExpr) */', '//')"
"('TERM_ORINFO     0x10   /* Need to free the WhereTerm.u.pOrInfo object */', '//')"
"('TERM_VIRTUAL    0x02   /* Added by the optimizer.  Do not code */', '//')"
"('TF_Autoincrement   0x08    /* Integer primary key is autoincrement */', '//')"
"('TF_Ephemeral       0x02    /* An ephemeral table */', '//')"
"('TF_HasPrimaryKey   0x04    /* Table has a primary key */', '//')"
"('TF_Readonly        0x01    /* Read-only system table */', '//')"
