"('', '', '', '', '', '', ' System.Diagnostics.ProcessStartInfo\n            $pinfo', '', 'System.Diagnostics.ProcessStartInfo', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SidToName $acl', '', 'SidToName', 'acl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TemplateName\n    $Request', '', 'TemplateName', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'VSCArgs\n            $p', '', 'VSCArgs', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'VSCArgs\n    $p', '', 'VSCArgs', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $ACEs', '', 'Value', 'ACEs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $CertificateNameFlag', '', 'Value', 'CertificateNameFlag', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $EnrollmentFlag', '', 'Value', 'EnrollmentFlag', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $False', '', 'Value', 'False', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $PrivateKeyFlag', '', 'Value', 'PrivateKeyFlag', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $false', '', 'Value', 'false', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $t', '', 'Value', 't', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Verbose $stderr', '', 'Verbose', 'stderr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Warning $stderr', '', 'Warning', 'stderr', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Hashtable]\n        $Properties', '', 'Hashtable', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $DeviceID', '', 'String', 'DeviceID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $Filter', '', 'String', 'Filter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $Identity', '', 'String', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $Name', '', 'String', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [String]\n        $TemplateName', '', 'String', 'TemplateName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Switch]\n        $Force', '', 'Switch', 'Force', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Switch]\n        $IncludeACL', '', 'Switch', 'IncludeACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Switch]\n        $NoSmartcard', '', 'Switch', 'NoSmartcard', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Switch]\n        $Raw', '', 'Switch', 'Raw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [Switch]\n        $ResolveFlags', '', 'Switch', 'ResolveFlags', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]\n        $Attribute', '', 'string', 'Attribute', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]\n        $Flag', '', 'string', 'Flag', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]\n        $Value', '', 'string', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n.EXAMPLE\n\n$Properties', '', '.EXAMPLE', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'b52272dec8a1\n\n$Result', '', 'b52272dec8a1', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $DeviceID', '', 'eq', 'DeviceID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'eq $t', '', 'eq', 't', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'f465e8949667\n\n$Result', '', 'f465e8949667', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'fa8c53507ae1\n\n$Result', '', 'fa8c53507ae1', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n            $pinfo', '', 'false', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n    $pinfo', '', 'false', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'false\n\n$user', '', 'false', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $Force', '', 'not', 'Force', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $Global', '', 'not', 'Global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $STOPERROR', '', 'not', 'STOPERROR', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $TargetUPN', '', 'not', 'TargetUPN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $VSC', '', 'not', 'VSC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $user', '', 'not', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'object $keyusage', '', 'object', 'keyusage', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'pinfo\n            $p', '', 'pinfo', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'pinfo\n    $p', '', 'pinfo', 'p', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 't.pkiextendedkeyusage.Count\n            $t', '', 't.pkiextendedkeyusage.Count', 't', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n            $pinfo', '', 'true', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'true\n    $pinfo', '', 'true', 'pinfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'v.DeviceID\n\n            $pinfo', '', 'v.DeviceID', 'pinfo', '', '', '', '', '', '', '', '')"
