"('croc-entrypoint.', '', '-entrypoint')"
"('fstat.', '', '')"
"('IP.', '', '')"
"('file.', '', '')"
"('filepath.', '', '')"
"('scanner.', '', '')"
"('Body.', '', '')"
"('archive.', '', '')"
"('highwayhash.', '', '')"
"('zip.', '', '')"
"('dstFile.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('fstats.', '', '')"
"('f1.', '', '')"
"('stackoverflow.', '', '')"
"('resp.', '', '')"
"('reader.', '', '')"
"('big.', '', '')"
"('log.', '', '')"
"('unicode.', '', '')"
"('writer.', '', '')"
"('os.', '', '')"
"('imohash.', '', '')"
"('http.', '', '')"
"('mnemonicode.', '', '')"
"('fileInArchive.', '', '')"
"('buf.', '', '')"
"('path.', '', '')"
"('xxhash.', '', '')"
"('err.', '', '')"
"('f.', '', '')"
"('bufio.', '', '')"
"('net.', '', '')"
"('strings.', '', '')"
"('ipnet.', '', '')"
"('rand.', '', '')"
"('conn.', '', '')"
"('block.', '', '')"
"('sha.', '', '')"
"('time.', '', '')"
"('md5.', '', '')"
"('golang.', '', '')"
"('du.', '', '')"
"('stat.', '', '')"
"('unix.', '', '')"
"('kernel32.', '', '')"
"('windows.', '', '')"
"('h.', '', '')"
"('unsafe.', '', '')"
"('golang.', '', '')"
"('c.', '', '')"
"('du.', '', '')"
"('usage.', '', '')"
"('fmt.', '', '')"
"('utils.', '', '')"
"('croc.', '', '')"
"('stat.', '', '')"
"('strconv.', '', '')"
"('cli.', '', '')"
"('file3.', '', '')"
"('io.', '', '')"
"('app.', '', '')"
"('file.', '', '')"
"('filepath.', '', '')"
"('receive.', '', '')"
"('rememberedOptions.', '', '')"
"('Stdin.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('comm.', '', '')"
"('file2.', '', '')"
"('l.', '', '')"
"('log.', '', '')"
"('pake.', '', '')"
"('cr.', '', '')"
"('os.', '', '')"
"('c.', '', '')"
"('send.', '', '')"
"('mnemonicode.', '', '')"
"('runtime.', '', '')"
"('path.', '', '')"
"('file1.', '', '')"
"('readline.', '', '')"
"('f.', '', '')"
"('crocOptions.', '', '')"
"('strings.', '', '')"
"('errors.', '', '')"
"('json.', '', '')"
"('tcp.', '', '')"
"('time.', '', '')"
"('archive.', '', '')"
"('tothink.', '', '')"
"('github.', '', '')"
"('hishome.', '', '')"
"('archive.', '', '')"
"('tothink.', '', '')"
"('github.', '', '')"
"('hishome.', '', '')"
"('t.', '', '')"
"('assert.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('rand.', '', '')"
"('b.', '', '')"
"('log.', '', '')"
"('github.', '', '')"
"('bytes.', '', '')"
"('flate.', '', '')"
"('io.', '', '')"
"('decompressor.', '', '')"
"('deCompressedData.', '', '')"
"('compressedData.', '', '')"
"('compressor.', '', '')"
"('utils.', '', '')"
"('bytes.', '', '')"
"('connectproxy.', '', '')"
"('io.', '', '')"
"('url.', '', '')"
"('fmt.', '', '')"
"('github.', '', '')"
"('comm.', '', '')"
"('log.', '', '')"
"('connection.', '', '')"
"('c.', '', '')"
"('proxy.', '', '')"
"('dialer.', '', '')"
"('err.', '', '')"
"('golang.', '', '')"
"('net.', '', '')"
"('header.', '', '')"
"('strings.', '', '')"
"('binary.', '', '')"
"('time.', '', '')"
"('log.', '', '')"
"('assert.', '', '')"
"('server.', '', '')"
"('github.', '', '')"
"('connection.', '', '')"
"('net.', '', '')"
"('c.', '', '')"
"('a.', '', '')"
"('rand.', '', '')"
"('time.', '', '')"
"('t.', '', '')"
