"('', '', '', '', '', '', ' .SMB\n      $pkt', '', '.SMB', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 4\n      $pkt', '', '4', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 4\n\n      $pkt', '', '4', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 4\n\n\t\t$CallResult', '', '4', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 5.0\n    $pkt', '', '5.0', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' 6 $payload_hdr_pkt', '', '6', 'payload_hdr_pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' AndXOffset\n     $pkt', '', 'AndXOffset', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' AndXOffset\n    $pkt', '', 'AndXOffset', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' AndX\n     $pkt', '', 'AndX', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' AndX\n    $pkt', '', 'AndX', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Buffer\n    $pkt', '', 'Buffer', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Capabilities\n    $pkt', '', 'Capabilities', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Count\n     $pkt', '', 'Count', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Count\n    $pkt', '', 'Count', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Dialects\n      $pkt', '', 'Dialects', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Directory $OutputDirectory', '', 'Directory', 'OutputDirectory', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DownloadAndExtractFromRemoteRegistry $File', '', 'DownloadAndExtractFromRemoteRegistry', 'File', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Echo\n    $pkt', '', 'Echo', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Flags2\n    $pkt', '', 'Flags2', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Flags\n     $pkt', '', 'Flags', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Flags\n    $pkt', '', 'Flags', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' High\n    $pkt', '', 'High', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ID\n    $pkt', '', 'ID', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' INPUT\n\t\t$InputObject', '', 'INPUT', 'InputObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Int\n\t\t\n\t\t\t$CallResult', '', 'Int', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' KEYBDINPUT\n\t\t$KeyboardInput', '', 'KEYBDINPUT', 'KeyboardInput', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' LANMAN1.0\n\n      $pkt', '', 'LANMAN1.0', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' LM1.2X002\n\n      $pkt', '', 'LM1.2X002', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Length\n     $pkt', '', 'Length', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Length\n\n      $pkt', '', 'Length', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Message_Type\n      $pkt', '', 'Message_Type', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' MultiplexID\n\n    $pkt', '', 'MultiplexID', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' MultiplexIDs\n\n    $pkt', '', 'MultiplexIDs', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Number\n    $pkt', '', 'Number', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Offset\n    $pkt', '', 'Offset', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PID\n    $pkt', '', 'PID', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PROCESS_INFORMATION\n            \n            $GetCurrentPath', '', 'PROCESS_INFORMATION', 'GetCurrentPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PROCESS_INFORMATION\n        $GetCurrentPath', '', 'PROCESS_INFORMATION', 'GetCurrentPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PROCESS_INFORMATION\n\t\t$GetCurrentPath', '', 'PROCESS_INFORMATION', 'GetCurrentPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n\n      $ArrayOfWinSCPSessions', '', 'PSObject', 'ArrayOfWinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Password\n     $pkt', '', 'Password', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Protocol\n      $pkt', '', 'Protocol', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Reserved\n     $pkt', '', 'Reserved', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Reserved\n    $pkt', '', 'Reserved', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Reserved\n\n    $pkt', '', 'Reserved', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SMB1\n    $pkt', '', 'SMB1', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SQOS\n        $SQOS', '', 'SQOS', 'SQOS', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' STARTUPINFO\n        $StartupInfo', '', 'STARTUPINFO', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' STARTUPINFO\n\t\t$StartupInfo', '', 'STARTUPINFO', 'StartupInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SUCCESS\n    $pkt', '', 'SUCCESS', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SYSTEM_MODULE_INFORMATION\n\t\t$SYSTEM_MODULE_INFORMATION', '', 'SYSTEM_MODULE_INFORMATION', 'SYSTEM_MODULE_INFORMATION', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Service\n    $EventlogSvchostPID', '', 'Service', 'EventlogSvchostPID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Service\n\n\n    $len', '', 'Service', 'len', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Signature1\n    $pkt', '', 'Signature1', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Signature2\n    $pkt', '', 'Signature2', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Size\n\n            $ProcessInfo', '', 'Size', 'ProcessInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Size\n\t\t$ProcessInfo', '', 'Size', 'ProcessInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Stop\n        $SuccessResults', '', 'Stop', 'SuccessResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Success\n    $pkt', '', 'Success', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n        $ArrayOfFileZillaSessions', '', 'System.Collections.ArrayList', 'ArrayOfFileZillaSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n        $ArrayOfRDPSessions', '', 'System.Collections.ArrayList', 'ArrayOfRDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n        $ArrayOfSuperPuTTYSessions', '', 'System.Collections.ArrayList', 'ArrayOfSuperPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n        $ArrayOfWinSCPSessions', '', 'System.Collections.ArrayList', 'ArrayOfWinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n        $ArrayofRDPFiles', '', 'System.Collections.ArrayList', 'ArrayofRDPFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n        $ArrayofsdtidFiles', '', 'System.Collections.ArrayList', 'ArrayofsdtidFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $ArrayOfFileZillaSessions', '', 'System.Collections.ArrayList', 'ArrayOfFileZillaSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $ArrayOfPPKFiles', '', 'System.Collections.ArrayList', 'ArrayOfPPKFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $ArrayOfPuTTYSessions', '', 'System.Collections.ArrayList', 'ArrayOfPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $ArrayOfRDPFiles', '', 'System.Collections.ArrayList', 'ArrayOfRDPFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $ArrayOfRDPSessions', '', 'System.Collections.ArrayList', 'ArrayOfRDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $ArrayOfSuperPuTTYSessions', '', 'System.Collections.ArrayList', 'ArrayOfSuperPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $RDPExtensionFilesINodes', '', 'System.Collections.ArrayList', 'RDPExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n      $sdtidExtensionFilesINodes', '', 'System.Collections.ArrayList', 'sdtidExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n\n        $FilePathsFound', '', 'System.Collections.ArrayList', 'FilePathsFound', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.ArrayList\n\n      $objUser', '', 'System.Collections.ArrayList', 'objUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.DirectoryEntry\n  $objSearcher', '', 'System.DirectoryServices.DirectoryEntry', 'objSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.DirectorySearcher\n  $objSearcher', '', 'System.DirectoryServices.DirectorySearcher', 'objSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Timeouts\n    $pkt', '', 'Timeouts', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Trans\n    $pkt', '', 'Trans', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Trans\n\n    $sock', '', 'Trans', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' TreeID\n    $pkt', '', 'TreeID', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' UserID\n    $pkt', '', 'UserID', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' UserObject\n  $UserObject', '', 'UserObject', 'UserObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' VK_ESCAPE\n\t\t$CallResult', '', 'VK_ESCAPE', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' VK_MENU\n\t\t$CallResult', '', 'VK_MENU', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' VK_SHIFT\n\t\t$CallResult', '', 'VK_SHIFT', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' VK_TAB\n\t\t\t$CallResult', '', 'VK_TAB', 'CallResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [char]$values', '', 'char', 'values', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$ProcessInfo', '', 'ref', 'ProcessInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$SysTokenHandle', '', 'ref', 'SysTokenHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$SystemInformationLength', '', 'ref', 'SystemInformationLength', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$hDuplicateTokenHandle', '', 'ref', 'hDuplicateTokenHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$hTokenHandle', '', 'ref', 'hTokenHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$sqos', '', 'ref', 'sqos', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [xml]$_', '', 'xml', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' addreses\n    $pkt', '', 'addreses', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' address\n    $pkt', '', 'address', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' addresses\n      $pkt', '', 'addresses', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' addresses\n    $pkt', '', 'addresses', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' bytes\n    $parsed_header', '', 'bytes', 'parsed_header', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' client\n        $AllPuTTYSessions', '', 'client', 'AllPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' client\n        $AllRDPSessions', '', 'client', 'AllRDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' client\n        $AllWinSCPSessions', '', 'client', 'AllWinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' commands\n     $pkt', '', 'commands', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' commands\n    $pkt', '', 'commands', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' count\n    $pkt', '', 'count', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' data\n      $FileZillaSessionHash', '', 'data', 'FileZillaSessionHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' dialet_buffer_format\n      $pkt', '', 'dialet_buffer_format', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' dir $RegPath', '', 'dir', 'RegPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' directory\n    $Reader', '', 'directory', 'Reader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n    $pkt', '', 'domain', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' epl $EventLogName', '', 'epl', 'EventLogName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' flags2\n      $pkt', '', 'flags2', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' flags2\n    $pkt', '', 'flags2', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' flags\n      $pkt', '', 'flags', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' flags\n    $pkt', '', 'flags', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' generated\n    $pkt', '', 'generated', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hive\n  $HKLM', '', 'hive', 'HKLM', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hive\n  $HKU', '', 'hive', 'HKU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllDrives', '', 'in', 'AllDrives', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllPuTTYSessions', '', 'in', 'AllPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllRDPSessions', '', 'in', 'AllRDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllUser', '', 'in', 'AllUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllWinSCPSessions', '', 'in', 'AllWinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ArrayOfFileZillaSessions', '', 'in', 'ArrayOfFileZillaSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Dirs', '', 'in', 'Dirs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $FilePathsFound', '', 'in', 'FilePathsFound', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $FileZillaXML', '', 'in', 'FileZillaXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $PPKExtensionFilesINodes', '', 'in', 'PPKExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $PuTTYSessions', '', 'in', 'PuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $QueryPath', '', 'in', 'QueryPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $RDPExtensionFilesINodes', '', 'in', 'RDPExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $RDPSessions', '', 'in', 'RDPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Reader', '', 'in', 'Reader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SIDs', '', 'in', 'SIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SuperPuTTYSessions', '', 'in', 'SuperPuTTYSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SuperPuTTYXML', '', 'in', 'SuperPuTTYXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ThreadArray', '', 'in', 'ThreadArray', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $UserHives', '', 'in', 'UserHives', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $WinSCPSessions', '', 'in', 'WinSCPSessions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $colPropList', '', 'in', 'colPropList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $groom_socks', '', 'in', 'groom_socks', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $sdtidExtensionFilesINodes', '', 'in', 'sdtidExtensionFilesINodes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' information. \n      $UserObject', '', 'information.', 'UserObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' int\n    $pkt', '', 'int', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' is\n    $PPKFileObject', '', 'is', 'PPKFileObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' kev\n\n     $pkt', '', 'kev', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' key\n      $PuTTYPath', '', 'key', 'PuTTYPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' key\n    $pkt', '', 'key', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' length\n    $pkt', '', 'length', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' load $Path', '', 'load', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' location\n  $fullregistrypath', '', 'location', 'fullregistrypath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' make_kernel_shellcode\n    $sc', '', 'make_kernel_shellcode', 'sc', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' make_smb1_anonymous_login_packet\n    $sock', '', 'make_smb1_anonymous_login_packet', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' make_smb1_echo_packet $smbheader', '', 'make_smb1_echo_packet', 'smbheader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' make_smb1_nt_trans_packet $smbheader', '', 'make_smb1_nt_trans_packet', 'smbheader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' make_smb1_trans2_exploit_packet $smbheader', '', 'make_smb1_trans2_exploit_packet', 'smbheader', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' make_smb2_payload_headers_packet\n    $payload_body_pkt', '', 'make_smb2_payload_headers_packet', 'payload_body_pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' message\n    $pkt', '', 'message', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ms16135\n\t\t$hAtom', '', 'ms16135', 'hAtom', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' multiplex_id\n\n      $pkt', '', 'multiplex_id', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n                  $FileZillaSessionHash', '', 'name', 'FileZillaSessionHash', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' name\n    $pkt', '', 'name', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' negotiate_proto_request\n    $sock', '', 'negotiate_proto_request', 'sock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' nt_status\n      $pkt', '', 'nt_status', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' object\n        $RemoteComputer', '', 'object', 'RemoteComputer', '', '', '', '', '', '', '', '')"
