"('0', '0', '0', '0')"
"('2', '5', '4', '18')"
"('2', '5', '4', '19')"
"('2', '5', '4', '2')"
"('2', '5', '4', '20')"
"('2', '5', '4', '21')"
"('2', '5', '4', '22')"
"('2', '5', '4', '23')"
"('2', '5', '4', '24')"
"('2', '5', '4', '25')"
"('2', '5', '4', '26')"
"('2', '5', '4', '27')"
"('2', '5', '4', '28')"
"('2', '5', '4', '29')"
"('2', '5', '4', '3')"
"('2', '5', '4', '30')"
"('2', '5', '4', '31')"
"('2', '5', '4', '32')"
"('2', '5', '4', '33')"
"('2', '5', '4', '34')"
"('2', '5', '4', '35')"
"('2', '5', '4', '36')"
"('2', '5', '4', '37')"
"('2', '5', '4', '38')"
"('2', '5', '4', '39')"
"('2', '5', '4', '4')"
"('2', '5', '4', '40')"
"('2', '5', '4', '42')"
"('2', '5', '4', '43')"
"('2', '5', '4', '44')"
"('2', '5', '4', '45')"
"('2', '5', '4', '49')"
"('2', '5', '4', '5')"
"('2', '5', '4', '50')"
"('2', '5', '4', '51')"
"('2', '5', '4', '53')"
"('2', '5', '4', '58')"
"('2', '5', '4', '6')"
"('2', '5', '4', '7')"
"('2', '5', '4', '8')"
"('2', '5', '4', '9')"
"('30', '3', '1', '1')"
"('30', '3', '1', '2')"
"('30', '3', '1', '216')"
"('30', '3', '1', '34')"
"('30', '3', '1', '35')"
"('30', '3', '1', '36')"
"('30', '3', '1', '39')"
"('36', '75', '75', '75')"
"('4', '1', '250', '1')"
"('49', '1', '9', '2')"
"('49', '1', '9', '8')"
"('5', '2', '3', '4')"
"('5', '2', '3', '5')"
"('5', '2', '7', '2')"
"('5', '5', '7', '3')"
"('5', '5', '8', '2')"
"('56', '1', '2', '1')"
"('56', '1', '2', '102')"
"('56', '1', '2', '104')"
"('56', '1', '2', '115')"
"('56', '1', '2', '118')"
"('56', '1', '2', '120')"
"('56', '1', '2', '121')"
"('56', '1', '2', '13')"
"('56', '1', '2', '131')"
"('56', '1', '2', '135')"
"('56', '1', '2', '14')"
"('56', '1', '2', '141')"
"('56', '1', '2', '146')"
"('56', '1', '2', '15')"
"('56', '1', '2', '16')"
"('56', '1', '2', '169')"
"('56', '1', '2', '18')"
"('56', '1', '2', '19')"
"('56', '1', '2', '194')"
"('56', '1', '2', '2')"
"('56', '1', '2', '21')"
"('56', '1', '2', '210')"
"('56', '1', '2', '212')"
"('56', '1', '2', '214')"
"('56', '1', '2', '218')"
"('56', '1', '2', '22')"
"('56', '1', '2', '226')"
"('56', '1', '2', '227')"
"('56', '1', '2', '231')"
"('56', '1', '2', '24')"
"('56', '1', '2', '25')"
"('56', '1', '2', '255')"
"('56', '1', '2', '26')"
"('56', '1', '2', '27')"
"('56', '1', '2', '28')"
"('56', '1', '2', '3')"
"('56', '1', '2', '30')"
"('56', '1', '2', '32')"
"('56', '1', '2', '33')"
"('56', '1', '2', '34')"
"('56', '1', '2', '35')"
"('56', '1', '2', '36')"
"('56', '1', '2', '37')"
"('56', '1', '2', '38')"
"('56', '1', '2', '40')"
"('56', '1', '2', '43')"
"('56', '1', '2', '44')"
"('56', '1', '2', '45')"
"('56', '1', '2', '46')"
"('56', '1', '2', '47')"
"('56', '1', '2', '48')"
"('56', '1', '2', '49')"
"('56', '1', '2', '50')"
"('56', '1', '2', '52')"
"('56', '1', '2', '54')"
"('56', '1', '2', '55')"
"('56', '1', '2', '59')"
"('56', '1', '2', '61')"
"('56', '1', '2', '7')"
"('56', '1', '2', '74')"
"('56', '1', '2', '76')"
"('56', '1', '2', '8')"
"('56', '1', '2', '81')"
"('56', '1', '2', '83')"
"('56', '1', '2', '9')"
"('56', '1', '2', '91')"
"('56', '1', '4', '1')"
"('56', '1', '4', '100')"
"('56', '1', '4', '101')"
"('56', '1', '4', '103')"
"('56', '1', '4', '105')"
"('56', '1', '4', '107')"
"('56', '1', '4', '108')"
"('56', '1', '4', '109')"
"('56', '1', '4', '11')"
"('56', '1', '4', '111')"
"('56', '1', '4', '112')"
"('56', '1', '4', '113')"
"('56', '1', '4', '114')"
"('56', '1', '4', '115')"
"('56', '1', '4', '117')"
"('56', '1', '4', '118')"
"('56', '1', '4', '119')"
"('56', '1', '4', '12')"
"('56', '1', '4', '120')"
"('56', '1', '4', '121')"
"('56', '1', '4', '122')"
"('56', '1', '4', '123')"
"('56', '1', '4', '124')"
"('56', '1', '4', '125')"
"('56', '1', '4', '129')"
"('56', '1', '4', '13')"
"('56', '1', '4', '130')"
"('56', '1', '4', '131')"
"('56', '1', '4', '132')"
"('56', '1', '4', '133')"
"('56', '1', '4', '134')"
"('56', '1', '4', '135')"
"('56', '1', '4', '136')"
"('56', '1', '4', '137')"
"('56', '1', '4', '138')"
"('56', '1', '4', '139')"
"('56', '1', '4', '14')"
"('56', '1', '4', '140')"
"('56', '1', '4', '141')"
"('56', '1', '4', '142')"
"('56', '1', '4', '143')"
"('56', '1', '4', '144')"
"('56', '1', '4', '145')"
"('56', '1', '4', '146')"
"('56', '1', '4', '148')"
"('56', '1', '4', '149')"
"('56', '1', '4', '15')"
"('56', '1', '4', '150')"
"('56', '1', '4', '151')"
"('56', '1', '4', '152')"
"('56', '1', '4', '153')"
"('56', '1', '4', '154')"
"('56', '1', '4', '155')"
"('56', '1', '4', '156')"
"('56', '1', '4', '157')"
"('56', '1', '4', '158')"
"('56', '1', '4', '159')"
"('56', '1', '4', '16')"
"('56', '1', '4', '160')"
"('56', '1', '4', '162')"
"('56', '1', '4', '163')"
"('56', '1', '4', '164')"
"('56', '1', '4', '166')"
"('56', '1', '4', '167')"
"('56', '1', '4', '168')"
"('56', '1', '4', '169')"
"('56', '1', '4', '170')"
"('56', '1', '4', '171')"
"('56', '1', '4', '172')"
"('56', '1', '4', '178')"
"('56', '1', '4', '179')"
"('56', '1', '4', '180')"
"('56', '1', '4', '181')"
"('56', '1', '4', '182')"
"('56', '1', '4', '183')"
"('56', '1', '4', '184')"
"('56', '1', '4', '185')"
"('56', '1', '4', '186')"
"('56', '1', '4', '187')"
"('56', '1', '4', '189')"
"('56', '1', '4', '19')"
"('56', '1', '4', '191')"
"('56', '1', '4', '192')"
"('56', '1', '4', '193')"
"('56', '1', '4', '194')"
"('56', '1', '4', '195')"
"('56', '1', '4', '196')"
"('56', '1', '4', '197')"
"('56', '1', '4', '198')"
"('56', '1', '4', '199')"
"('56', '1', '4', '2')"
"('56', '1', '4', '20')"
"('56', '1', '4', '200')"
"('56', '1', '4', '201')"
"('56', '1', '4', '202')"
"('56', '1', '4', '203')"
"('56', '1', '4', '204')"
"('56', '1', '4', '205')"
"('56', '1', '4', '206')"
"('56', '1', '4', '207')"
"('56', '1', '4', '208')"
"('56', '1', '4', '209')"
"('56', '1', '4', '21')"
"('56', '1', '4', '210')"
"('56', '1', '4', '211')"
"('56', '1', '4', '212')"
"('56', '1', '4', '213')"
"('56', '1', '4', '214')"
"('56', '1', '4', '215')"
"('56', '1', '4', '216')"
"('56', '1', '4', '217')"
"('56', '1', '4', '218')"
"('56', '1', '4', '219')"
"('56', '1', '4', '220')"
"('56', '1', '4', '221')"
"('56', '1', '4', '222')"
"('56', '1', '4', '223')"
"('56', '1', '4', '224')"
"('56', '1', '4', '228')"
"('56', '1', '4', '229')"
"('56', '1', '4', '230')"
"('56', '1', '4', '231')"
"('56', '1', '4', '232')"
"('56', '1', '4', '233')"
"('56', '1', '4', '234')"
"('56', '1', '4', '235')"
"('56', '1', '4', '237')"
"('56', '1', '4', '238')"
"('56', '1', '4', '24')"
"('56', '1', '4', '240')"
"('56', '1', '4', '241')"
"('56', '1', '4', '242')"
"('56', '1', '4', '243')"
"('56', '1', '4', '246')"
"('56', '1', '4', '247')"
"('56', '1', '4', '249')"
"('56', '1', '4', '25')"
"('56', '1', '4', '250')"
"('56', '1', '4', '251')"
"('56', '1', '4', '253')"
"('56', '1', '4', '254')"
"('56', '1', '4', '255')"
"('56', '1', '4', '26')"
"('56', '1', '4', '27')"
"('56', '1', '4', '28')"
"('56', '1', '4', '29')"
"('56', '1', '4', '3')"
"('56', '1', '4', '30')"
"('56', '1', '4', '31')"
"('56', '1', '4', '32')"
"('56', '1', '4', '33')"
"('56', '1', '4', '34')"
"('56', '1', '4', '35')"
"('56', '1', '4', '36')"
"('56', '1', '4', '37')"
"('56', '1', '4', '38')"
"('56', '1', '4', '39')"
"('56', '1', '4', '4')"
"('56', '1', '4', '40')"
"('56', '1', '4', '41')"
"('56', '1', '4', '42')"
"('56', '1', '4', '43')"
"('56', '1', '4', '44')"
"('56', '1', '4', '45')"
"('56', '1', '4', '47')"
"('56', '1', '4', '48')"
"('56', '1', '4', '49')"
"('56', '1', '4', '50')"
"('56', '1', '4', '51')"
"('56', '1', '4', '52')"
"('56', '1', '4', '53')"
"('56', '1', '4', '54')"
"('56', '1', '4', '55')"
"('56', '1', '4', '56')"
"('56', '1', '4', '57')"
"('56', '1', '4', '58')"
"('56', '1', '4', '59')"
"('56', '1', '4', '60')"
"('56', '1', '4', '61')"
"('56', '1', '4', '62')"
"('56', '1', '4', '63')"
"('56', '1', '4', '64')"
"('56', '1', '4', '65')"
"('56', '1', '4', '66')"
"('56', '1', '4', '67')"
"('56', '1', '4', '68')"
"('56', '1', '4', '69')"
"('56', '1', '4', '70')"
"('56', '1', '4', '71')"
"('56', '1', '4', '72')"
"('56', '1', '4', '73')"
"('56', '1', '4', '74')"
"('56', '1', '4', '75')"
"('56', '1', '4', '76')"
"('56', '1', '4', '77')"
"('56', '1', '4', '78')"
"('56', '1', '4', '79')"
"('56', '1', '4', '8')"
"('56', '1', '4', '80')"
"('56', '1', '4', '81')"
"('56', '1', '4', '82')"
"('56', '1', '4', '83')"
"('56', '1', '4', '84')"
"('56', '1', '4', '85')"
"('56', '1', '4', '86')"
"('56', '1', '4', '87')"
"('56', '1', '4', '88')"
"('56', '1', '4', '89')"
"('56', '1', '4', '90')"
"('56', '1', '4', '91')"
"('56', '1', '4', '92')"
"('56', '1', '4', '93')"
"('56', '1', '4', '94')"
"('56', '1', '4', '95')"
"('56', '1', '4', '96')"
"('56', '1', '4', '97')"
"('56', '1', '4', '98')"
"('56', '1', '4', '99')"
"('56', '1', '6', '13')"
"('56', '1', '6', '18')"
"('66', '101', '119', '3')"
