"('https://', 'ht', 's', '', '', '')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-addauditaccessobjectace', '/', 'en-us/windows/win32/api/securitybaseapi/nf-securitybaseapi-addauditaccessobjectace')"
"('https://', 'ht', 's', '/en-us/windows/win32/api/winnt/ns-winnt-access_allowed_object_ace', '/', 'en-us/windows/win32/api/winnt/ns-winnt-access_allowed_object_ace')"
"('https://', 'ht', 's', '/ly4k/Certipy', '/', 'ly4k/Certipy')"
"('https://', 'ht', 's', '/ly4k/Certipy/blob/main/certipy/commands/find.py#L688', '/', 'ly4k/Certipy/blob/main/certipy/commands/find.py#L688')"
"('https://', 'ht', 's', '/ly4k/Certipy/blob/main/certipy/lib/certificate.py', '/', 'ly4k/Certipy/blob/main/certipy/lib/certificate.py')"
"('https://', 'ht', 's', '/npm/@alpinejs/collapse@3.x.x/dist/cdn.min.js', '/', 'npm/@alpinejs/collapse@3.x.x/dist/cdn.min.js')"
"('https://', 'ht', 's', '/npm/@alpinejs/focus@3.x.x/dist/cdn.min.js', '/', 'npm/@alpinejs/focus@3.x.x/dist/cdn.min.js')"
"('https://', 'ht', 's', '/npm/@alpinejs/mask@3.x.x/dist/cdn.min.js', '/', 'npm/@alpinejs/mask@3.x.x/dist/cdn.min.js')"
"('https://', 'ht', 's', '/npm/alpinejs@3.x.x/dist/cdn.min.js', '/', 'npm/alpinejs@3.x.x/dist/cdn.min.js')"
"('https://', 'ht', 's', '/project/pycryptodomex', '/', 'project/pycryptodomex')"
"('https://', 'ht', 's', '/questions/14591168/argparse-dont-show-usage-on-h', '/', 'questions/14591168/argparse-dont-show-usage-on-h')"
"('https://', 'ht', 's', '/questions/28029872/retrieving-security-descriptor-and-getting-number-for-filesystemrights', '/', 'questions/28029872/retrieving-security-descriptor-and-getting-number-for-filesystemrights')"
"('https://', 'ht', 's', '/sigmaris/python-gssapi', '/', 'sigmaris/python-gssapi')"
"('https://', 'ht', 's', '/skelsec/PyKerberoast', '/', 'skelsec/PyKerberoast')"
"('https://', 'ht', 's', '/summit/hackfest2014/PDFs/Kicking%20the%20Guard%20Dog%20of%20Hades%20-%20Attacking%20Microsoft%20Kerberos%20%20-%20Tim%20Medin', '/', 'summit/hackfest2014/PDFs/Kicking%20the%20Guard%20Dog%20of%20Hades%20-%20Attacking%20Microsoft%20Kerberos%20%20-%20Tim%20Medin')"
"('https://', 'ht', 's', '/the-useless-one/pywerview', '/', 'the-useless-one/pywerview')"
"('https://', 'ht', 's', '/the-useless-one/pywerview/blob/master/pywerview/requester.py#L90', '/', 'the-useless-one/pywerview/blob/master/pywerview/requester.py#L90')"
"('https://', 'ht', 's', '/user-attachments/assets/15bcd3e3-0693-4b0c-9c58-c8f36d899486', '/', 'user-attachments/assets/15bcd3e3-0693-4b0c-9c58-c8f36d899486')"
"('https://', 'ht', 's', '/user-attachments/assets/286de18a-d0a4-4211-87c2-3736bb1e3005', '/', 'user-attachments/assets/286de18a-d0a4-4211-87c2-3736bb1e3005')"
"('https://', 'ht', 's', '/user-attachments/assets/4f219920-0cb0-4e81-ab6f-b6c94381a95f', '/', 'user-attachments/assets/4f219920-0cb0-4e81-ab6f-b6c94381a95f')"
"('https://', 'ht', 's', '/venaxyt/fade', '/', 'venaxyt/fade')"
"('https://', 'ht', 's', '/wiki/Common%20Active%20Directory%20Bind%20Errors', '/', 'wiki/Common%20Active%20Directory%20Bind%20Errors')"
"('www.', 'ht', '', '/1999/xlink', '/', '1999/xlink')"
"('www.', 'ht', '', '/2000/svg', '/', '2000/svg')"
"('www.', 'ht', 's', '', '', '')"
"('www.', 'ht', 's', '/object-identifiers-oid-in-pki', '/', 'object-identifiers-oid-in-pki')"
