"(""'"", '--no-admin-check', '', '', '', '', '', '', '', '', '')"
"(""'"", '-TargetIdentity', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Template', '', '', '', '', '', '', '', '', '')"
"(""'"", '-TrustedToAuth', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Unconstrained', '', '', '', '', '', '', '', '', '')"
"(""'"", '-UserName', '', '', '', '', '', '', '', '', '')"
"(""'"", '-UserPass', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Value', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Vulnerable', '', '', '', '', '', '', '', '', '')"
"(""'"", '-Where', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ZoneName', '', '', '', '', '', '', '', '', '')"
"(""'"", '-d', '', '', '', '', '', '', '', '', '')"
"(""'"", '-ns', '', '', '', '', '', '', '', '', '')"
"(""'"", '-p', '', '', '', '', '', '', '', '', '')"
"(""'"", '-q', '', '', '', '', '', '', '', '', '')"
"(""'"", '-v', '', '', '', '', '', '', '', '', '')"
"(""'"", 'target', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', "" 'identity', None)"", ')', '')"
"('', '', '', '', '', '', '', '', "" 'searchbase', self.root_dn)"", ')', '')"
"('', '', '', '', '', '', '', '', "" 'security_identifier', None)"", ')', '')"
"('', '', '', '', '', '', '', '', ' full_method_name, None)', ')', '')"
"('', '', '', '', '', '', '', '', ' method_name, None)', ')', '')"
"('', '', '', '', '', '', '', '', '', '', 'basedn, args')"
"('', '', '', '', '', '', '', '', '', '', 'computername, args')"
"('', '', '', '', '', '', '', '', '', '', 'computername, pv_args.computerpass, basedn')"
"('', '', '', '', '', '', '', '', '', '', 'computerpass ')"
"('', '', '', '', '', '', '', '', '', '', 'dc_ip ')"
"('', '', '', '', '', '', '', '', '', '', 'description, basedn')"
"('', '', '', '', '', '', '', '', '', '', 'destination_dn, args')"
"('', '', '', '', '', '', '', '', '', '', 'enforced, args')"
"('', '', '', '', '', '', '', '', '', '', 'guid, targetidentity')"
"('', '', '', '', '', '', '', '', '', '', 'hashes ')"
"('', '', '', '', '', '', '', '', '', '', 'identity ')"
"('', '', '', '', '', '', '', '', '', '', 'identity, args')"
"('', '', '', '', '', '', '', '', '', '', 'identity, basedn')"
"('', '', '', '', '', '', '', '', '', '', 'identity, description')"
"('', '', '', '', '', '', '', '', '', '', 'identity, destination_dn')"
"('', '', '', '', '', '', '', '', '', '', 'identity, options')"
"('', '', '', '', '', '', '', '', '', '', 'identity, properties')"
"('', '', '', '', '', '', '', '', '', '', 'identity, pv_args.accountpassword, oldpassword')"
"('', '', '', '', '', '', '', '', '', '', 'identity, pv_args.delegatefrom, args')"
"('', '', '', '', '', '', '', '', '', '', 'identity})(distinguishedName')"
"('', '', '', '', '', '', '', '', '', '', 'identity})(dnsHostName')"
"('', '', '', '', '', '', '', '', '', '', 'identity})(sAMAccountName')"
"('', '', '', '', '', '', '', '', '', '', 'k ')"
"('', '', '', '', '', '', '', '', '', '', 'ldap_address ')"
"('', '', '', '', '', '', '', '', '', '', 'ldap_address, nameserver')"
"('', '', '', '', '', '', '', '', '', '', 'link_enabled, enforced')"
"('', '', '', '', '', '', '', '', '', '', 'module.casefold() ')"
"('', '', '', '', '', '', '', '', '', '', 'no_cache ')"
"('', '', '', '', '', '', '', '', '', '', 'obfuscate ')"
"('', '', '', '', '', '', '', '', '', '', 'obfuscate, no_cache')"
"('', '', '', '', '', '', '', '', '', '', 'objectsid ')"
"('', '', '', '', '', '', '', '', '', '', 'oldpassword, args')"
"('', '', '', '', '', '', '', '', '', '', 'recordaddress, zonename')"
"('', '', '', '', '', '', '', '', '', '', 'recordname, recordaddress')"
"('', '', '', '', '', '', '', '', '', '', 'recordname, zonename')"
"('', '', '', '', '', '', '', '', '', '', 'resolveip, resolvesids')"
"('', '', '', '', '', '', '', '', '', '', 'rights ')"
"('', '', '', '', '', '', '', '', '', '', 'rights.lower() ')"
"('', '', '', '', '', '', '', '', '', '', 'searchbase if hasattr(args, \'searchbase\') and args.searchbase else f""CN')"
"('', '', '', '', '', '', '', '', '', '', 'select) or (hasattr(self.args, ""properties"") and self.args.properties and not self.args.properties ')"
"('', '', '', '', '', '', '', '', '', '', 'server and pv_args.server.casefold() !')"
"('', '', '', '', '', '', '', '', '', '', 'targetidentity, args')"
"('', '', '', '', '', '', '', '', '', '', 'targetidentity, link_enabled')"
"('', '', '', '', '', '', '', '', '', '', 'targetidentity, pv_args.principalidentity, args')"
"('', '', '', '', '', '', '', '', '', '', 'template, pv_args.principalidentity, args')"
"('', '', '', '', '', '', '', '', '', '', 'to_dict() if request.method ')"
"('', '', '', '', '', '', '', '', '', '', 'username, pv_args.userpass, args')"
"('', '', '', '', '', '', '', '', '', '', 'value ')"
"('', '', '', '', '', '', '', '', '', '', 'web_host, port')"
"('', '', '', '', '', '', 'args', "" 'admincount'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'allowdelegation'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'append'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'basedn'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'bitlocker'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'check_web_enrollment'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'disabled'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'disallowdelegation'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'enabled'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'excludedcs'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'gmsapassword'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'identity'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'laps'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'ldapfilter'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'lockout'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'no_cache'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'objectsid'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'passnotrequired'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'password_expired'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'pre2k'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'preauthnotrequired'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'printers'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'properties'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'rbcd'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'resolve_sids'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'rights'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'searchbase'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'set'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'shadowcred'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'spn'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'trustedtoauth'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'unconstrained'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'value'"", '', '', '')"
"('', '', '', '', '', '', 'args', "" 'vulnerable'"", '', '', '')"
"('', '', '', '', '', '', 'args', ""'clear'"", '', '', '')"
"('', '', '', '', 'and', 'admincount', '', '', '', '', '')"
"('', '', '', '', 'and', 'allowdelegation', '', '', '', '', '')"
"('', '', '', '', 'and', 'basedn', '', '', '', '', '')"
"('', '', '', '', 'and', 'bitlocker', '', '', '', '', '')"
"('', '', '', '', 'and', 'disabled', '', '', '', '', '')"
"('', '', '', '', 'and', 'disallowdelegation', '', '', '', '', '')"
"('', '', '', '', 'and', 'enabled', '', '', '', '', '')"
"('', '', '', '', 'and', 'excludedcs', '', '', '', '', '')"
"('', '', '', '', 'and', 'gmsapassword', '', '', '', '', '')"
"('', '', '', '', 'and', 'hashes is None and args.no_pass is False and args.auth_aes_key is None', '', '', '', '', '')"
"('', '', '', '', 'and', 'identity', '', '', '', '', '')"
"('', '', '', '', 'and', 'laps', '', '', '', '', '')"
"('', '', '', '', 'and', 'ldap_address is not None', '', '', '', '', '')"
"('', '', '', '', 'and', 'ldapfilter', '', '', '', '', '')"
"('', '', '', '', 'and', 'lockout', '', '', '', '', '')"
"('', '', '', '', 'and', 'passnotrequired', '', '', '', '', '')"
"('', '', '', '', 'and', 'password_expired', '', '', '', '', '')"
"('', '', '', '', 'and', 'pre2k', '', '', '', '', '')"
"('', '', '', '', 'and', 'preauthnotrequired', '', '', '', '', '')"
"('', '', '', '', 'and', 'printers', '', '', '', '', '')"
"('', '', '', '', 'and', 'properties', '', '', '', '', '')"
"('', '', '', '', 'and', 'rbcd', '', '', '', '', '')"
"('', '', '', '', 'and', 'rights', '', '', '', '', '')"
"('', '', '', '', 'and', 'shadowcred', '', '', '', '', '')"
"('', '', '', '', 'and', 'spn', '', '', '', '', '')"
"('', '', '', '', 'and', 'trustedtoauth', '', '', '', '', '')"
"('', '', '', '', 'and', 'unconstrained', '', '', '', '', '')"
"('', '', '', '', 'if', 'admincount', '', '', '', '', '')"
"('', '', '', '', 'if', 'append', '', '', '', '', '')"
"('', '', '', '', 'if', 'auth_aes_key is not None', '', '', '', '', '')"
"('', '', '', '', 'if', 'check_datalib', '', '', '', '', '')"
"('', '', '', '', 'if', 'clear', '', '', '', '', '')"
"('', '', '', '', 'if', 'dc_ip', '', '', '', '', '')"
"('', '', '', '', 'if', 'debug', '', '', '', '', '')"
"('', '', '', '', 'if', 'duplicate', '', '', '', '', '')"
"('', '', '', '', 'if', 'gplink', '', '', '', '', '')"
"('', '', '', '', 'if', 'hashes is not None', '', '', '', '', '')"
"('', '', '', '', 'if', 'identity', '', '', '', '', '')"
"('', '', '', '', 'if', 'isrunning and not state == scmr.SERVICE_RUNNING', '', '', '', '', '')"
"('', '', '', '', 'if', 'isstopped and not state == scmr.SERVICE_STOPPED', '', '', '', '', '')"
"('', '', '', '', 'if', 'ldapfilter', '', '', '', '', '')"
"('', '', '', '', 'if', 'linkto is not None', '', '', '', '', '')"
"('', '', '', '', 'if', 'memberidentity', '', '', '', '', '')"
"('', '', '', '', 'if', 'name and args.name.lower() not in name.lower()', '', '', '', '', '')"
"('', '', '', '', 'if', 'name in list(binding_params.keys())', '', '', '', '', '')"
"('', '', '', '', 'if', 'name', '', '', '', '', '')"
"('', '', '', '', 'if', 'opsec', '', '', '', '', '')"
"('', '', '', '', 'if', 'pfx is not None', '', '', '', '', '')"
"('', '', '', '', 'if', 'protectedfromaccidentaldeletion', '', '', '', '', '')"
"('', '', '', '', 'if', 'query', '', '', '', '', '')"
"('', '', '', '', 'if', 'resolvesids', '', '', '', '', '')"
"('', '', '', '', 'if', 'server and args.server.casefold() != self.domain.casefold()', '', '', '', '', '')"
"('', '', '', '', 'if', 'server', '', '', '', '', '')"
"('', '', '', '', 'if', 'set', '', '', '', '', '')"
"('', '', '', '', 'if', 'stack_trace', '', '', '', '', '')"
"('', '', '', '', 'if', 'use_kerberos and (args.relay)', '', '', '', '', '')"
"('', '', '', '', 'in', 'hashes[0] and len(args.hashes) == 32', '', '', '', '', '')"
"('', '', '', '', 'not', 'duplicate', '', '', '', '', '')"
"('', '', '', '', 'not', 'no_admin_check', '', '', '', '', '')"
