"(""{% include 'base/searchbar.html' %} -->\n"", '\n')"
"('Results Header -->\n', '\n')"
"('Results Panel (keeping original ID) -->\n', '\n')"
"('Results Panel -->\n', '\n')"
"('Right Panel - Details -->\n', '\n')"
"('Right Panel -->\n', '\n')"
"('Right Panel: DNS Record Details -->\n', '\n')"
"('Right Side Cards (3/5 width) -->\n', '\n')"
"('Rows will be dynamically generated -->\n', '\n')"
"('Rows will be populated by JavaScript -->\n', '\n')"
"('Search Bar -->\n', '\n')"
"('Search Base -->\n', '\n')"
"('Search Button -->\n', '\n')"
"('Search Header -->\n', '\n')"
"('Search Operations Panel -->\n', '\n')"
"('Search overlay -->\n', '\n')"
"('Secondary Information Grid -->\n', '\n')"
"('Sessions will be dynamically populated -->\n', '\n')"
"('Settings Panel -->\n', '\n')"
"('Settings Tab -->\n', '\n')"
"('Settings content will be populated here -->\n', '\n')"
"('Tab Content -->\n', '\n')"
"('Tab Navigation (keeping original structure) -->\n', '\n')"
"('Tab Panels (keeping original IDs and structure) -->\n', '\n')"
"('Table -->\n', '\n')"
"('Table Section -->\n', '\n')"
"('Table remains the same -->\n', '\n')"
"('Tabs -->\n', '\n')"
"('Technical Details -->\n', '\n')"
"('Template details will be shown here -->\n', '\n')"
"('This allows screen readers to skip the sidebar and go directly to the main content. -->\n', '\n')"
"('Tree View (keeping original ID and structure) -->\n', '\n')"
"('Tree View Content (keeping original ID) -->\n', '\n')"
"('Tree View Content -->\n', '\n')"
"('Tree view content will be dynamically populated -->\n', '\n')"
"('Trusts content will be dynamically populated -->\n', '\n')"
"('User Configuration -->\n', '\n')"
"('Utils Panel -->\n', '\n')"
"('Vertical Divider -->\n', '\n')"
"('Vulnerability Section - Only show if vulnerabilities exist and array is not empty -->\n', '\n')"
"('Will be populated dynamically -->\n', '\n')"
"('Zone Names Section -->\n', '\n')"
"('Zone names will be dynamically populated -->\n', '\n')"
"('dark overlay for when the sidebar is open on smaller screens  -->\n', '\n')"
"('logo  -->\n', '\n')"
"('main content - removed p-4  -->\n', '\n')"
"('menu -->\n', '\n')"
"('search  -->\n', '\n')"
"('sidebar links  -->\n', '\n')"
"('toggle button for small screen  -->\n', '\n')"
