"('A.', '', '')"
"('PROPIDL.', '', '')"
"('PRSHT.', '', '')"
"('Q.', '', '')"
"('QOS.', '', '')"
"('README.', '', '')"
"('REALTIMEAPISET.', '', '')"
"('REASON.', '', '')"
"('RHCOMMCTRL.', '', '')"
"('RHDDE.', '', '')"
"('RHWINNT.', '', '')"
"('RHWINUSER.', '', '')"
"('RPC.', '', '')"
"('RPCASYNC.', '', '')"
"('RPCDCE.', '', '')"
"('RPCDCEP.', '', '')"
"('RPCNDR.', '', '')"
"('RPCNSI.', '', '')"
"('RPCNSIP.', '', '')"
"('RPCNTERR.', '', '')"
"('RPCSAL.', '', '')"
"('ReadMe.', '', '')"
"('SAL.', '', '')"
"('SCARDERR.', '', '')"
"('SCHANNEL.', '', '')"
"('SDKDDKVER.', '', '')"
"('SECEXT.', '', '')"
"('SECURITY.', '', '')"
"('SECURITYAPPCONTAINER.', '', '')"
"('SECURITYBASEAPI.', '', '')"
"('SERVPROV.', '', '')"
"('SETJMP.', '', '')"
"('SETJMPEX.', '', '')"
"('SHARE.', '', '')"
"('SHELLAPI.', '', '')"
"('SMMINTRIN.', '', '')"
"('SOURCEANNOTATIONS.', '', '')"
"('SPECSTRINGS.', '', '')"
"('SSPI.', '', '')"
"('STAT.', '', '')"
"('STDAFX.', '', '')"
"('STDARG.', '', '')"
"('STDDEF.', '', '')"
"('STDINT.', '', '')"
"('STDIO.', '', '')"
"('STDLIB.', '', '')"
"('STRALIGN.', '', '')"
"('STRING.', '', '')"
"('STRINGAPISET.', '', '')"
"('SYNCHAPI.', '', '')"
"('SYSINFOAPI.', '', '')"
"('SYSTEMTOPOLOGYAPI.', '', '')"
"('Secur32.', '', '')"
"('TARGETVER.', '', '')"
"('TCHAR.', '', '')"
"('THREADPOOLAPISET.', '', '')"
"('THREADPOOLLEGACYAPISET.', '', '')"
"('TIME.', '', '')"
"('TIMEAPI.', '', '')"
"('TIMEZONEAPI.', '', '')"
"('TMMINTRIN.', '', '')"
"('TVOUT.', '', '')"
"('TYPES.', '', '')"
"('U.', '', '')"
"('UNKNWN.', '', '')"
"('UNKNWNBASE.', '', '')"
"('URLMON.', '', '')"
"('USERENV.', '', '')"
"('UTILAPISET.', '', '')"
"('User.', '', '')"
"('VADEFS.', '', '')"
"('VCRUNTIME.', '', '')"
"('VERRSRC.', '', '')"
"('WBEMCLI.', '', '')"
"('WCHAR.', '', '')"
"('WINAPIFAMILY.', '', '')"
"('WINBASE.', '', '')"
"('WINCON.', '', '')"
"('WINCRYPT.', '', '')"
"('WINDEF.', '', '')"
"('WINDOWS.', '', '')"
"('WINEFS.', '', '')"
"('WINERROR.', '', '')"
"('WINGDI.', '', '')"
"('WINIOCTL.', '', '')"
"('WINNETWK.', '', '')"
"('WINNLS.', '', '')"
"('WINNT.', '', '')"
"('WINPERF.', '', '')"
"('WINREG.', '', '')"
"('WINRESRC.', '', '')"
"('WINSAFER.', '', '')"
"('WINSCARD.', '', '')"
"('WINSMCRD.', '', '')"
"('WINSOCK.', '', '')"
"('WINSPOOL.', '', '')"
"('WINSVC.', '', '')"
"('WINUSER.', '', '')"
"('WINVER.', '', '')"
"('WMMINTRIN.', '', '')"
"('WNNC.', '', '')"
"('WSPIAPI.', '', '')"
"('WTYPES.', '', '')"
"('WTYPESBASE.', '', '')"
"('XATOMIC.', '', '')"
"('XHt.', '', '')"
"('XKEYCHECK.', '', '')"
"('XLOCINFO.', '', '')"
"('XMMINTRIN.', '', '')"
"('XTGMATH.', '', '')"
"('XTHRCOMMON.', '', '')"
"('XTHREADS.', '', '')"
"('XTIMEC.', '', '')"
"('YMATH.', '', '')"
"('YVALS.', '', '')"
"('authroot.', '', '')"
"('authrootseq.', '', '')"
"('authrootstl.', '', '')"
"('brecVal.', '', '')"
"('c.', '', '')"
"('cmd.', '', '')"
"('commctrl.', '', '')"
"('commdlg.', '', '')"
"('condition.', '', '')"
"('dde.', '', '')"
"('disallowedcert.', '', '')"
"('disallowedcertstl.', '', '')"
"('f.', '', '')"
"('github.', '', '')"
"('header.', '', '')"
"('hello.', '', '')"
"('image-20210610201152538.', '', '-20210610201152538')"
"('image-20210701131739157.', '', '-20210701131739157')"
"('j.', '', '')"
"('jXV.', '', '')"
"('kernel32.', '', '')"
"('microsoft.', '', '')"
"('msvcp140.', '', '')"
"('msvcp140d.', '', '')"
"('n2.', '', '')"
"('ntdll.', '', '')"
"('ole32.', '', '')"
"('pi.', '', '')"
"('pos.', '', '')"
"('prsht.', '', '')"
"('queue.', '', '')"
"('sa.', '', '')"
"('secClientBuffer.', '', '')"
"('secServerBuffer.', '', '')"
"('secur32.', '', '')"
"('si.', '', '')"
"('stdafx.', '', '')"
"('t.', '', '')"
"('tp.', '', '')"
"('u.', '', '')"
"('uEt.', '', '')"
"('user.', '', '')"
"('userenv.', '', '')"
"('vnd.', '', '')"
"('werfault.', '', '')"
"('winbase.', '', '')"
"('winnt.', '', '')"
"('winuser.', '', '')"
"('x.', '', '')"
"('x64.', '', '')"
"('x86.', '', '')"
