"('0', '4', '0', '186')"
"('127', '0', '0', '1')"
"('2', '23', '133', '2')"
"('2', '23', '133', '8')"
"('2', '5', '29', '1')"
"('2', '5', '29', '10')"
"('2', '5', '29', '14')"
"('2', '5', '29', '15')"
"('2', '5', '29', '16')"
"('2', '5', '29', '17')"
"('2', '5', '29', '18')"
"('2', '5', '29', '19')"
"('2', '5', '29', '2')"
"('2', '5', '29', '20')"
"('2', '5', '29', '21')"
"('2', '5', '29', '23')"
"('2', '5', '29', '27')"
"('2', '5', '29', '28')"
"('2', '5', '29', '3')"
"('2', '5', '29', '30')"
"('2', '5', '29', '31')"
"('2', '5', '29', '32')"
"('2', '5', '29', '33')"
"('2', '5', '29', '35')"
"('2', '5', '29', '36')"
"('2', '5', '29', '37')"
"('2', '5', '29', '4')"
"('2', '5', '29', '46')"
"('2', '5', '29', '5')"
"('2', '5', '29', '54')"
"('2', '5', '29', '7')"
"('2', '5', '29', '8')"
"('2', '5', '29', '9')"
"('2', '5', '4', '10')"
"('2', '5', '4', '11')"
"('2', '5', '4', '12')"
"('2', '5', '4', '13')"
"('2', '5', '4', '14')"
"('2', '5', '4', '15')"
"('2', '5', '4', '16')"
"('2', '5', '4', '17')"
"('2', '5', '4', '18')"
"('2', '5', '4', '19')"
"('2', '5', '4', '20')"
"('2', '5', '4', '21')"
"('2', '5', '4', '22')"
"('2', '5', '4', '23')"
"('2', '5', '4', '24')"
"('2', '5', '4', '25')"
"('2', '5', '4', '26')"
"('2', '5', '4', '27')"
"('2', '5', '4', '28')"
"('2', '5', '4', '29')"
"('2', '5', '4', '3')"
"('2', '5', '4', '30')"
"('2', '5', '4', '31')"
"('2', '5', '4', '32')"
"('2', '5', '4', '33')"
"('2', '5', '4', '34')"
"('2', '5', '4', '35')"
"('2', '5', '4', '36')"
"('2', '5', '4', '37')"
"('2', '5', '4', '38')"
"('2', '5', '4', '39')"
"('2', '5', '4', '4')"
"('2', '5', '4', '40')"
"('2', '5', '4', '42')"
"('2', '5', '4', '43')"
"('2', '5', '4', '46')"
"('2', '5', '4', '5')"
"('2', '5', '4', '52')"
"('2', '5', '4', '6')"
"('2', '5', '4', '7')"
"('2', '5', '4', '8')"
"('2', '5', '4', '9')"
"('2', '5', '8', '1')"
"('2', '5', '8', '2')"
"('2', '5', '8', '3')"
"('33', '1', '6', '11')"
"('33', '1', '6', '13')"
"('33', '1', '6', '9')"
"('33', '1', '7', '1')"
"('33', '1', '8', '1')"
"('33', '1', '9', '2')"
"('33', '1', '9', '3')"
"('33', '1', '9', '4')"
"('33', '1', '9', '5')"
"('33', '1', '9', '6')"
"('33', '1', '9', '7')"
"('40', '1', '101', '2')"
"('40', '1', '101', '3')"
"('40', '63', '0', '2')"
"('49', '1', '1', '1')"
"('49', '1', '1', '10')"
"('49', '1', '1', '11')"
"('49', '1', '1', '12')"
"('49', '1', '1', '13')"
"('49', '1', '1', '2')"
"('49', '1', '1', '3')"
"('49', '1', '1', '4')"
"('49', '1', '1', '5')"
"('49', '1', '1', '6')"
"('49', '1', '1', '7')"
"('49', '1', '1', '8')"
"('49', '1', '1', '9')"
"('49', '1', '12', '1')"
"('49', '1', '3', '1')"
"('49', '1', '7', '1')"
"('49', '1', '7', '2')"
"('49', '1', '7', '3')"
"('49', '1', '7', '4')"
"('49', '1', '7', '5')"
"('49', '1', '7', '6')"
"('49', '1', '9', '1')"
"('49', '1', '9', '14')"
"('49', '1', '9', '15')"
"('49', '1', '9', '16')"
"('49', '1', '9', '2')"
"('49', '1', '9', '20')"
"('49', '1', '9', '21')"
"('49', '1', '9', '3')"
"('49', '1', '9', '4')"
"('49', '1', '9', '5')"
"('49', '1', '9', '6')"
"('49', '1', '9', '7')"
"('49', '1', '9', '8')"
"('49', '1', '9', '9')"
"('5', '2', '3', '5')"
"('5', '5', '7', '1')"
"('5', '5', '7', '12')"
"('5', '5', '7', '2')"
"('5', '5', '7', '20')"
"('5', '5', '7', '3')"
"('5', '5', '7', '48')"
"('5', '5', '7', '6')"
"('5', '5', '7', '7')"
"('5', '5', '8', '2')"
