"('', '', '', '', '', '', ' 0\n        $computersList', '', '0', 'computersList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' DCs\n    $osList', '', 'DCs', 'osList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Found $policy', '', 'Found', 'policy', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Found $policysilo', '', 'Found', 'policysilo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' GC\n    $SitesWithNoGC', '', 'GC', 'SitesWithNoGC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' NTLM\n        $permissionindex', '', 'NTLM', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Nessus. \n    $certutil_output', '', 'Nessus.', 'certutil_output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' OperatingSystem\n    $totalcount', '', 'OperatingSystem', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                $obj', '', 'PSObject', 'obj', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n            $obj', '', 'PSObject', 'obj', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PasswordLastSet\n    $totalcount', '', 'PasswordLastSet', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SamAccountName\n    $countUsers', '', 'SamAccountName', 'countUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SamAccountName\n    $newGroups', '', 'SamAccountName', 'newGroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SilentlyContinue\n            $QueryResult', '', 'SilentlyContinue', 'QueryResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SilentlyContinue\n            $base_groups', '', 'SilentlyContinue', 'base_groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SilentlyContinue\n            $serviceName', '', 'SilentlyContinue', 'serviceName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Stop\n        $response', '', 'Stop', 'response', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' TemplatePropCommonName\n                $template', '', 'TemplatePropCommonName', 'template', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' UTF8 $outputdir', '', 'UTF8', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [single]$WinVersion', '', 'single', 'WinVersion', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [string]$pluginexample', '', 'string', 'pluginexample', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [string]$pluginid', '', 'string', 'pluginid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [string]$pluginname', '', 'string', 'pluginname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [xml]$GPOreport', '', 'xml', 'GPOreport', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' accounts\n    $count', '', 'accounts', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' accounts\n    $disabledaccounts', '', 'accounts', 'disabledaccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' accounts\n    $lockedAccounts', '', 'accounts', 'lockedAccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' add $MachineAccountQuota', '', 'add', 'MachineAccountQuota', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' adjust $AdministratorTranslation', '', 'adjust', 'AdministratorTranslation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' against\n    $dangerousAces', '', 'against', 'dangerousAces', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' algorithm\n        $permissionindex', '', 'algorithm', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' all_groups\n    $high_value_users', '', 'all_groups', 'high_value_users', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' anonymously\n        $ldapConnection', '', 'anonymously', 'ldapConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' are $count', '', 'are', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' bind\n        $anonymousCredential', '', 'bind', 'anonymousCredential', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' by $env', '', 'by', 'env', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' certutil\n        $serverName', '', 'certutil', 'serverName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' configured\n    $serverAuthOid', '', 'configured', 'serverAuthOid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' connection\n        $ldapConnection', '', 'connection', 'ldapConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' date\n    $dcList', '', 'date', 'dcList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' days\n    $DateCutOff', '', 'days', 'DateCutOff', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' days\n    $count', '', 'days', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n        $permissionindex', '', 'domain', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n    $MachineAccountQuota', '', 'domain', 'MachineAccountQuota', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' driver\n    $permissionindex', '', 'driver', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' duplicates\n    $ESC1', '', 'duplicates', 'ESC1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' e.g. $scriptname', '', 'e.g.', 'scriptname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' enabled\n    $computerName', '', 'enabled', 'computerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' exclusions\n        $permissionindex', '', 'exclusions', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' exists\n    $dcList', '', 'exists', 'dcList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' expire\n    $count', '', 'expire', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' for $DC', '', 'for', 'DC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' for $finegrainedpolicy', '', 'for', 'finegrainedpolicy', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' forest\n    $DomainLevel', '', 'forest', 'DomainLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' forest\n    $Forest', '', 'forest', 'Forest', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' found $count', '', 'found', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' from $ntpSource', '', 'from', 'ntpSource', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' fu $outputdirntds', '', 'fu', 'outputdirntds', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' go\n    $newComputers', '', 'go', 'newComputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' group\n    $count', '', 'group', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' groups\n    $count', '', 'groups', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' groups\n    $groups', '', 'groups', 'groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' identifed $count', '', 'identifed', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' identified $count', '', 'identified', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ADcomputers', '', 'in', 'ADcomputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ASREP', '', 'in', 'ASREP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AdministratorTranslation', '', 'in', 'AdministratorTranslation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllGPOs', '', 'in', 'AllGPOs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $AllowedJoin', '', 'in', 'AllowedJoin', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $DenyNTLM', '', 'in', 'DenyNTLM', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $DomainAdminsMembers', '', 'in', 'DomainAdminsMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ESC1', '', 'in', 'ESC1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ESC2', '', 'in', 'ESC2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ESC3', '', 'in', 'ESC3', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ESC4', '', 'in', 'ESC4', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $EnterpriseMembers', '', 'in', 'EnterpriseMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $Forest', '', 'in', 'Forest', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $HardenNTLM', '', 'in', 'HardenNTLM', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $IPAddresses', '', 'in', 'IPAddresses', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $NTLMAuthExceptions', '', 'in', 'NTLMAuthExceptions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $QueryResult', '', 'in', 'QueryResult', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SPNs', '', 'in', 'SPNs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $SchemaMembers', '', 'in', 'SchemaMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $XMLFiles', '', 'in', 'XMLFiles', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $accountsoldpasswords', '', 'in', 'accountsoldpasswords', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $base_groups', '', 'in', 'base_groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $certutil_lines', '', 'in', 'certutil_lines', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $computers', '', 'in', 'computers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $computersList', '', 'in', 'computersList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $dangerousRules', '', 'in', 'dangerousRules', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $dcList', '', 'in', 'dcList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $default_groups', '', 'in', 'default_groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $disabledaccounts', '', 'in', 'disabledaccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $domaincontrollers', '', 'in', 'domaincontrollers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $groups', '', 'in', 'groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $high_value_users', '', 'in', 'high_value_users', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $inactiveaccounts', '', 'in', 'inactiveaccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $insecurezones', '', 'in', 'insecurezones', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $lockedAccounts', '', 'in', 'lockedAccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $newComputers', '', 'in', 'newComputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $newGroups', '', 'in', 'newGroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $newUsers', '', 'in', 'newUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $nonexpiringpasswords', '', 'in', 'nonexpiringpasswords', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $objects', '', 'in', 'objects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $oldboxes', '', 'in', 'oldboxes', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ousgpos', '', 'in', 'ousgpos', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $privusersunique', '', 'in', 'privusersunique', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $protectedaccounts', '', 'in', 'protectedaccounts', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $services', '', 'in', 'services', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $spn_groups', '', 'in', 'spn_groups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $template_unparsed', '', 'in', 'template_unparsed', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $users', '', 'in', 'users', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' level\n        $ProtectedUsersSID', '', 'level', 'ProtectedUsersSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' list\n                $user', '', 'list', 'user', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' logon\n    $permissionindex', '', 'logon', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' machines\n    $count', '', 'machines', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' members\n    $SchemaMembers', '', 'members', 'SchemaMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on $DC', '', 'on', 'DC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' on $computerName', '', 'on', 'computerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' options\n    $ExcessiveDCInteractiveLogon', '', 'options', 'ExcessiveDCInteractiveLogon', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' restrictions\n        $permissionindex', '', 'restrictions', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' script\n        $count', '', 'script', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' see $outputdir', '', 'see', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' server $Server', '', 'server', 'Server', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' sessions\n    $Server', '', 'sessions', 'Server', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' settings\n    $AllowedJoin', '', 'settings', 'AllowedJoin', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' shutdown\n    $permissionindex', '', 'shutdown', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' since $datelastchanged', '', 'since', 'datelastchanged', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' since $expiration', '', 'since', 'expiration', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' since $krbtgtPasswordDate', '', 'since', 'krbtgtPasswordDate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' since $userlastused', '', 'since', 'userlastused', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' source\n    $dcList', '', 'source', 'dcList', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' the $pluginname', '', 'the', 'pluginname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' them\n    $count', '', 'them', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' through $count', '', 'through', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' time $endtime', '', 'time', 'endtime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' time $starttime', '', 'time', 'starttime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' time\n    $permissionindex', '', 'time', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' timeout\n        $ldapConnection', '', 'timeout', 'ldapConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $AdministratorSAMAccountName', '', 'to', 'AdministratorSAMAccountName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $DomainLevel', '', 'to', 'DomainLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $ForestLevel', '', 'to', 'ForestLevel', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $ldapSigning', '', 'to', 'ldapSigning', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $ldapsBinding', '', 'to', 'ldapsBinding', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' to $outputdir', '', 'to', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' use $Administrators', '', 'use', 'Administrators', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' used $AdministratorLastLogonDate', '', 'used', 'AdministratorLastLogonDate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' used.\n    $AdministratorSID', '', 'used.', 'AdministratorSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' users\n    $users', '', 'users', 'users', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' version\n    $script', '', 'version', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' were $totalcount', '', 'were', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' with $pluginname', '', 'with', 'pluginname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'PARAM ([string]$String)', '[string]$String', '', '', '', '', '', '')"
"('', '', '', '', '', '', '', '', '', '', 'Param (\n    [switch]$installdeps = $false,\n    [switch]$hostdetails = $false,\n    [switch]$domainaudit = $false,\n    [switch]$trusts = $false,\n    [switch]$accounts = $false,\n    [switch]$passwordpolicy = $false,\n    [switch]$ntds = $false,\n    [switch]$oldboxes = $false,\n    [switch]$gpo = $false,\n    [switch]$ouperms = $false,\n    [switch]$laps = $false,\n    [switch]$authpolsilos = $false,\n    [switch]$insecurednszone = $false,\n    [switch]$recentchanges = $false,\n    [switch]$adcs = $false,\n    [switch]$spn = $false,\n    [switch]$asrep = $false,\n    [switch]$acl = $false,\n    [switch]$ldapsecurity = $false,\n    [switch]$all = $false,\n    [string[]]$exclude = @()', '[switch]$installdeps = $false,\n    [switch]$hostdetails = $false,\n    [switch]$domainaudit = $false,\n    [switch]$trusts = $false,\n    [switch]$accounts = $false,\n    [switch]$passwordpolicy = $false,\n    [switch]$ntds = $false,\n    [switch]$oldboxes = $false,\n    [switch]$gpo = $false,\n    [switch]$ouperms = $false,\n    [switch]$laps = $false,\n    [switch]$authpolsilos = $false,\n    [switch]$insecurednszone = $false,\n    [switch]$recentchanges = $false,\n    [switch]$adcs = $false,\n    [switch]$spn = $false,\n    [switch]$asrep = $false,\n    [switch]$acl = $false,\n    [switch]$ldapsecurity = $false,\n    [switch]$all = $false,\n    [string[]]$exclude = @(', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.ComputersContainer\n    $newUsers', '', '.ComputersContainer', 'newUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Count\n            $netlogonShare', '', '.Count', 'netlogonShare', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Count\n        $count', '', '.Count', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Date\n    $newUsers', '', '.Date', 'newUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.DisplayName\n                $obj', '', '.DisplayName', 'obj', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.DisplayName\n            $obj', '', '.DisplayName', 'obj', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.HostName\n    $Port', '', '.HostName', 'Port', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Members\n        $totalcount', '', '.Members', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Name\n        $totalcount', '', '.Name', 'totalcount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.ProductName\n    $script', '', '.ProductName', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.SamAccountName\n        $count', '', '.SamAccountName', 'count', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.SamAccountName\n    $AdministratorName', '', '.SamAccountName', 'AdministratorName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.SamAccountName\n    $script', '', '.SamAccountName', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.Value\n    $script', '', '.Value', 'script', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '.count\n    $totalcountGroups', '', '.count', 'totalcountGroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADAudit_$pluginid', '', 'ADAudit_', 'pluginid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADComputer $_', '', 'ADComputer', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroup $DomainAdmins', '', 'ADGroup', 'DomainAdmins', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroup $EnterpriseAdmins', '', 'ADGroup', 'EnterpriseAdmins', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroup $ProtectedUsers', '', 'ADGroup', 'ProtectedUsers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroup $SchemaAdmins', '', 'ADGroup', 'SchemaAdmins', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroupMember $Administrators', '', 'ADGroupMember', 'Administrators', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroupMember $DomainAdmins', '', 'ADGroupMember', 'DomainAdmins', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroupMember $EnterpriseAdmins', '', 'ADGroupMember', 'EnterpriseAdmins', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroupMember\n    $DomainAdminsMembers', '', 'ADGroupMember', 'DomainAdminsMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADGroupMember\n    $EnterpriseMembers', '', 'ADGroupMember', 'EnterpriseMembers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ADObject $members', '', 'ADObject', 'members', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Append\n        $computerResults', '', 'Append', 'computerResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Append\n        $groupResults', '', 'Append', 'groupResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Append\n        $userResults', '', 'Append', 'userResults', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Backup\n    $permissionindex', '', 'Backup', 'permissionindex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ComputerName $DC', '', 'ComputerName', 'DC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Content $outputdir', '', 'Content', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Date\n$scriptname', '', 'Date', 'scriptname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Destination $outputdir', '', 'Destination', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Distinguishedname.$Filename', '', 'Distinguishedname.', 'Filename', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ESC1e\n    $ESC1', '', 'ESC1e', 'ESC1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ESC1f\n    $ESC1', '', 'ESC1f', 'ESC1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'File $outputdir', '', 'File', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Guid $GPO', '', 'Guid', 'GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $DomainAdminsSID', '', 'Identity', 'DomainAdminsSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $DomainControllersSID', '', 'Identity', 'DomainControllersSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $DomainUsersSID', '', 'Identity', 'DomainUsersSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $EnterpriseAdminsSID', '', 'Identity', 'EnterpriseAdminsSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $ProtectedUsersSID', '', 'Identity', 'ProtectedUsersSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $SchemaAdminsSID', '', 'Identity', 'SchemaAdminsSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Identity $group', '', 'Identity', 'group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Leaf\n            $Distinguishedname', '', 'Leaf', 'Distinguishedname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $File', '', 'Path', 'File', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $outputdir', '', 'Path', 'outputdir', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $web_enrollmeent_path', '', 'Path', 'web_enrollmeent_path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Recursive\n    $privilegedusers', '', 'Recursive', 'privilegedusers', '', '', '', '', '', '', '', '')"
