                            'grant_type'            = 'client_credentials'
"        <member name=""P:Microsoft.IdentityModel.Tokens.SigningCredentials.Algorithm"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.SigningCredentials.CryptoProviderFactory"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.SigningCredentials.Digest"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.SigningCredentials.Key"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.SigningCredentials.Kid"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.X509EncryptingCredentials.Certificate"">"
"        <member name=""P:Microsoft.IdentityModel.Tokens.X509SigningCredentials.Certificate"">"
"        <member name=""P:Microsoft.Rest.Azure.IAzureClient.Credentials"">"
"        <member name=""P:Microsoft.Rest.BasicAuthenticationCredentials.Password"">"
"        <member name=""P:Microsoft.Rest.BasicAuthenticationCredentials.UserName"">"
"        <member name=""P:Microsoft.Rest.CertificateCredentials.ManagementCertificate"">"
"        <member name=""P:Microsoft.Rest.ClientRuntime.Azure.Properties.Resources.CertificateCloudCredentials_InitializeServiceClient_NoWebRequestHandler"">"
"        <member name=""P:Microsoft.Rest.TokenCredentials.CallerId"">"
"        <member name=""P:Microsoft.Rest.TokenCredentials.TenantId"">"
"        <member name=""P:Microsoft.Rest.TokenCredentials.TokenProvider"">"
"        <member name=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.EncryptingCredentials"">"
"        <member name=""P:System.IdentityModel.Tokens.Jwt.JwtHeader.SigningCredentials"">"
"        <member name=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.EncryptingCredentials"">"
"        <member name=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.SigningCredentials"">"
"        <member name=""T:Microsoft.IdentityModel.Tokens.EncryptingCredentials"">"
"        <member name=""T:Microsoft.IdentityModel.Tokens.SigningCredentials"">"
"        <member name=""T:Microsoft.IdentityModel.Tokens.X509EncryptingCredentials"">"
"        <member name=""T:Microsoft.IdentityModel.Tokens.X509SigningCredentials"">"
"        <member name=""T:Microsoft.Rest.BasicAuthenticationCredentials"">"
"        <member name=""T:Microsoft.Rest.CertificateCredentials"">"
"        <member name=""T:Microsoft.Rest.ServiceClientCredentials"">"
"        <member name=""T:Microsoft.Rest.TokenCredentials"">"
"        <remarks>If there is a <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.SigningCredentials""/> associated with this instance, a value will be returned.  Null otherwise.</remarks>"
"        Gets or sets the <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.SigningCredentials""/> used to create a security token."
"      <para>What happens?</para>This error happens when the authorization flow, which collects user credentials, gets redirected "
"     <member name=""P:Microsoft.Rest.ClientRuntime.Azure.Properties.Resources.ConfigurationHelper_GetCredentials_NotFound"">"
"     Gets or sets the <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.EncryptingCredentials""/> used to create a encrypted security token."
" - they're considered different accounts, even though the user logs into each account with the same credentials. "
" <see cref=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.SigningCredentials)""/> for details pertaining to the Header Parameter(s).</param>"
" Integrated Windows Authentication, ensure <see cref=""P:System.Net.Http.HttpClientHandler.UseDefaultCredentials""/> is set to true."
" by default based on the <see cref=""P:Microsoft.IdentityModel.Tokens.SecurityTokenDescriptor.SigningCredentials""/>,"
"<exception cref=""T:System.ArgumentNullException""><paramref name=""input""/> or <paramref name=""signingCredentials""/> is null.</exception>"
"PS > .\SharpGraphView.exe invoke-search -search ""credentials"" -entity driveItem -token .\token.txt"
"Tokens.JwtTokenUtilities.CreateEncodedSignature(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials)"">"
"Tokens.JwtTokenUtilities.CreateEncodedSignature(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials,System.Boolean)"">"
"ailedException"">if encryption fails using the <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Enc""/> (algorithm), <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Key""/> pair.<"
"em.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials)"">"
"em.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials,Microsoft.IdentityModel.Tokens.EncryptingCredentials)"">"
"em.Nullable{System.DateTime},System.Nullable{System.DateTime},Microsoft.IdentityModel.Tokens.SigningCredentials,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System."
"ember name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.SigningCredentials)"">"
"ember name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.SigningCredentials,System.Collections.Generic.IDictionary{System.String,System.String})"">"
"ember name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.SigningCredentials,System.Collections.Generic.IDictionary{System.String,System.String},System.String)"">"
"ember name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.SigningCredentials,System.Collections.Generic.IDictionary{System.String,System.String},System.String,System.Collection"
"en.InnerToken""/> is set and <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.EncryptingCredentials""/> is not set.</exception>"
"er name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.EncryptingCredentials)"">"
"er name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System.String,System.String})"">"
"er name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System.String,System.String},System.String)"">"
"er name=""M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System.String,System.String},System.String,System.Collection"
"ion cref=""T:System.ArgumentException"">if both <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.CryptoProviderFactory""/> and <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Key"""
"l.JsonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials)"">"
"l.JsonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials,Microsoft.IdentityModel.Tokens.EncryptingCredentials)"">"
"l.JsonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System."
"l.JsonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.String)"">"
"l.JsonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.String,System.Collections.Generic.IDict"
"l.JsonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.SigningCredentials,System.Collections.Generic.IDictionary{System.String,System.Object})"">"
"ncryptionFailedException"">both <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.SigningCredentials""/> and <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.InnerToken""/> are set.</except"
"onWebTokens.JsonWebTokenHandler.EncryptToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials)"">"
"onWebTokens.JsonWebTokenHandler.EncryptToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System.String,System.Object})"">"
"onWebTokens.JsonWebTokenHandler.EncryptToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.String)"">"
"onWebTokens.JsonWebTokenHandler.EncryptToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.String,System.Collections.Generic.IDictionary{System.String,System.Object})"">"
"oviderFactory being used does not support the <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Enc""/> (algorithm), <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Key""/> pair.<"
"rToken""/> and <see cref=""P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.InnerToken""/>.EncryptingCredentials are set.</exception>"
"sonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials)"">"
"sonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.Collections.Generic.IDictionary{System.String,System.Object})"">"
"sonWebTokens.JsonWebTokenHandler.CreateToken(System.String,Microsoft.IdentityModel.Tokens.EncryptingCredentials,System.String)"">"
"to create a token encryption provider for the <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Enc""/> (algorithm), <see cref=""P:Microsoft.IdentityModel.Tokens.EncryptingCredentials.Key""/> pair.<"
ocalized string similar to You must specify a token provider or raw access token before using token credentials..
