"{	s"""
"{ ""alg"", ""RS256"" "
"{Microsoft.Identity.Client.Extensibility.AppTokenProviderParameters,System.Threading.Tasks.Task{Microsoft.Identity.Client.Extensibility.AppTokenProviderResult"
"{Microsoft.Identity.Client.Extensibility.OnBeforeTokenRequestData,System.Threading.Tasks.Task"
"{Microsoft.Identity.Client.TokenCacheNotificationArgs,System.Threading.Tasks.Task"
"{Newtonsoft.Json.Linq.JObject,Newtonsoft.Json.Linq.JObject"
"{Registry:Software\Microsoft\.NETFramework,v4.7.2,AssemblyFoldersEx"
"{String, Null, True, False, Number"
"{System.Byte[],System.Int32,``0"
"{System.Byte[],System.Int32,``1,``0"
"{System.Byte[],System.Int32,``1,``2,``3,``0"
"{System.Collections.Generic.Dictionary{System.String,System.String"
"{System.Collections.Generic.KeyValuePair{System.String,System.Object"
"{System.Diagnostics.Activity,System.Object"
"{System.Func{`0,System.Boolean"
"{System.Func{``0,System.Boolean"
"{System.Int32,System.Exception"
"{System.Object,System.String"
"{System.String,System.Boolean"
"{System.String,System.Collections.Generic.IEnumerable{System.String"
"{System.String,System.Collections.Generic.List{System.String"
"{System.String,System.DateTime"
"{System.String,System.Double"
"{System.String,System.Guid"
"{System.String,System.Int64"
"{System.String,System.Object"
"{System.String,System.Object,System.Object,System.Boolean"
"{System.String,System.String"
"{System.Threading.CancellationToken,System.Threading.Tasks.Task{System.String"
"{System.Uri,Microsoft.Identity.Client.Platforms.Shared.Desktop.OsBrowser.MessageAndHttpCode"
"{\""00000000480FA373\"":\""ob7b8h79td9gs6hfqoh2r37m\"",\""4b0db8c2-9f26-4417-8bde-3f0e3656f8e0\"":\""ob7b8h79td9gs6hfqoh2r37m\"""
"{`0,System.Int32"
"{`0,`0,System.Boolean"
"{`0,`1"
"{``0,``1"
"{exp, iat, nbf"
"{kid ?? ""N/A"""
"{x5t ?? ""N/A"""
"{{ 'Authorization' = """"Bearer $($AppKeyVaultToken)"""" "
"{{$_.id -like """"*$($keyName)*"""""
"{~yyT]RD+7fL30"""
{	
{ /
{!
{$.Gf =
{$x
{$x&^
{'
{(&Y
{(int)responseJwt.StatusCode
{)
{*
{*S;^2
{+l_kq
{-
{-`
{.
{.V \
{/
{/`
{/vZ.
{0
{0/UmKF?
{1
{173E7A61-1974-4097-AFD2-5588779BCA4F
{2
{3
{3R
{3T
{3W
{3_.rcg
{3m*?45gj
{4
{4@
{4O`:
{4k<ZG6t_UB`
{54ma;N6
{6<]	
{6= 
{7l
{7ny
{7tj&n
{8!=
{825E2088-EC7C-4AB0-852A-4F1FEF178E37
{95/
{9C6.Js#!g38&<[5W+/s
{9`
{:)
{:C1 9940	
{;
{<
{<_
{=ZM!qd;A
{>'
{?)W1_bi
{?:
{A
{AccessToken
{B
{C
{CandidateAssemblyFiles
{ClientId
{Config.accessToken
{Config.domain
{Config.id
{Config.key
{Config.query
{Config.tenant
{D tf^
{DateTime.Now
{DkIB(%y
{E
{Eo9f)
{Es=jJ[RW( X1
{FAE04EC0-301F-11D3-BF4B-00C04F79EFBC
{FM[zMap~C
{HintPathFromItem
{J
{JWE
{KG
{Lg
{M
{Microsoft.Identity.Client.AuthorityType
{Microsoft.Identity.Client.LogLevel
{Microsoft.Identity.Client.TenantProfile
{Microsoft.Identity.Json.Linq.JObject
{Microsoft.Identity.Json.Linq.JToken
{Microsoft.IdentityModel.Tokens.SecurityKey
{Microsoft.Rest.TransientFaultHandling.RetryStrategy
{MsalCacheHelper.UserRootDirectory
{N
{Newtonsoft.Json.Linq.JObject
{Newtonsoft.Json.Linq.JToken
{Newtonsoft.Json.Serialization.JsonProperty
{O
{O_Z
{Osx=F
{P)R@-U
{Q//nk;
{R;
{RW
{RawFileName
{ResourceIdUri
{ResourceIdUri/.default
{S#
{S+(r
{SX
{Sv#
{System#Collections#Generic#KeyValuePair{System#String@System#Object
{System#Security#Principal#IdentityReference
{System#Text#Json#JsonElement
{System#Text#Json#JsonProperty
{System.Boolean
{System.Byte
{System.Char
{System.Collections.Generic.IEnumerable{System.Diagnostics.Metrics.Measurement{``0
{System.DateTime
{System.DateTimeOffset
{System.Decimal
{System.Diagnostics.ActivityLink
{System.Diagnostics.Metrics.Measurement{``0
{System.Double
{System.Guid
{System.Int16
{System.Int32
{System.Int64
{System.IntPtr
{System.Linq.Expressions.Expression
{System.Object
{System.SByte
{System.Security.Claims.Claim
{System.Single
{System.String
{System.Threading.Tasks.Task
{System.Threading.Tasks.Task{Microsoft.Identity.Client.AuthenticationResult
{System.Threading.Tasks.Task{``0
{System.TimeSpan
{System.Type
{System.UInt16
{System.UInt32
{System.UInt64
{System.Windows.Forms.IWin32Window
{T
{TResult
{TargetFrameworkDirectory
{Tenant
{UY
{V
{VW
{Vlx.
{WsKGW
{Y Wue
{[
{[4]
{[uW
{\
{\[
{]
{]G>
{]rclFbgMGRa>$_
{^G
{^b2ui
{_
{`
{`0
{`9B(M\
{``0
{a
{apr
{authUrl
{b7<
{ba\
{bkrFX
{c-
{certId
{char
{clientId
{cm>;$
{cqAx6
{d
{djgS)5EWL2G
{drive-id
{e
{entity
{errorContent
{ex.Message
{f;
{fJ
{fZ{|J
{filePath
{g
{g.q
{group-id
{groupId
{i
{i8!{[
{id
{item-id
{k(A
{k/
{kN
{kid
{km]
{kvURI
{kvp.Key
{kvp.Value
{l*+
{l+_U/
{message
{nv6Qw
{o
{o`/6
{policy
{port
{property
{property.Key
{property.Name
{property.Value
{q
{q3
{qW*
{qZG[k'9R
{q_f^
{r]^
{response.ReasonPhrase
{response.StatusCode
{responseJwt.StatusCode
{role.displayName
{role.roleTemplateId
{rr
{searchString
{searchTerms
{site-id
{siteId
{ss
{t1v[m
{tenant
{tenantId
{tenantName
{u
{user-id
{userAgent
{userId
{v:jQj
{wqxd
{xL
{y4@oKp0F)%0
{zG'
{{'Content-Type' = 'application/x-www-form-urlencoded'
{|LJ7
{~
