"('HTTP://', 'HT', '', ':80', '', ':80')"
"('http://', 'ht', '', '/andrew/split/base62.js', '/', 'andrew/split/base62.js')"
"('http://', 'ht', '', '/annotations', '/', 'annotations')"
"('http://', 'ht', '', '/antoor', '/', 'antoor')"
"('http://', 'ht', '', '/api', '/', 'api')"
"('http://', 'ht', '', '/api/buffer.html#buffer_buffer', '/', 'api/buffer.html#buffer_buffer')"
"('http://', 'ht', '', '/api/fs.html', '/', 'api/fs.html')"
"('http://', 'ht', '', '/api/http.html#http_class_http_clientrequest', '/', 'api/http.html#http_class_http_clientrequest')"
"('http://', 'ht', '', '/api/tls.html#tls_tls_connect_options_callback', '/', 'api/tls.html#tls_tls_connect_options_callback')"
"('http://', 'ht', '', '/api/util.html#util_util_inherits_constructor_superconstructor', '/', 'api/util.html#util_util_inherits_constructor_superconstructor')"
"('http://', 'ht', '', '/app/js', '/', 'app/js')"
"('http://', 'ht', '', '/archives/grammatical-patterns-xregexp-build', '/', 'archives/grammatical-patterns-xregexp-build')"
"('http://', 'ht', '', '/ariya/esprima', '/', 'ariya/esprima')"
"('http://', 'ht', '', '/ariya/esprima.git', '/', 'ariya/esprima.git')"
"('http://', 'ht', '', '/ariya/esprima/raw/master/LICENSE.BSD', '/', 'ariya/esprima/raw/master/LICENSE.BSD')"
"('http://', 'ht', '', '/ariyahidayat', '/', 'ariyahidayat')"
"('http://', 'ht', '', '/articles/2009/uri_regexp/URI_regex.html', '/', 'articles/2009/uri_regexp/URI_regex.html')"
"('http://', 'ht', '', '/articles/equiv', '/', 'articles/equiv')"
"('http://', 'ht', '', '/articles/lazy-function-definition-pattern', '/', 'articles/lazy-function-definition-pattern')"
"('http://', 'ht', '', '/articles/research/what-is-cp951', '/', 'articles/research/what-is-cp951')"
"('http://', 'ht', '', '/articles/working_with_pem_files', '/', 'articles/working_with_pem_files')"
"('http://', 'ht', '', '/asn1/download/asn1-0.2.4.tgz', '/', 'asn1/download/asn1-0.2.4.tgz')"
"('http://', 'ht', '', '/async/global.html', '/', 'async/global.html')"
"('http://', 'ht', '', '/asynckit/download/asynckit-0.4.0.tgz', '/', 'asynckit/download/asynckit-0.4.0.tgz')"
"('http://', 'ht', '', '/attr', '/', 'attr')"
"('http://', 'ht', '', '/auth.html', '/', 'auth.html')"
"('http://', 'ht', '', '/b/ie/archive/2010/09/07/transitioning-existing-code-to-the-es5-getter-setter-apis.aspx', '/', 'b/ie/archive/2010/09/07/transitioning-existing-code-to-the-es5-getter-setter-apis.aspx')"
"('http://', 'ht', '', '/badge.svg', '/', 'badge.svg')"
"('http://', 'ht', '', '/badges/stability-badges', '/', 'badges/stability-badges')"
"('http://', 'ht', '', '/bar.js', '/', 'bar.js')"
"('http://', 'ht', '', '/baz.js', '/', 'baz.js')"
"('http://', 'ht', '', '/benjamn/ast-types', '/', 'benjamn/ast-types')"
"('http://', 'ht', '', '/benjamn/private', '/', 'benjamn/private')"
"('http://', 'ht', '', '/benjamn/recast', '/', 'benjamn/recast')"
"('http://', 'ht', '', '/blog/2008/01/09/getting-setting-and-removing-tabindex-values-with-javascript', '/', 'blog/2008/01/09/getting-setting-and-removing-tabindex-values-with-javascript')"
"('http://', 'ht', '', '/blog/2015/09/12/dark-corners-of-unicode', '/', 'blog/2015/09/12/dark-corners-of-unicode')"
"('http://', 'ht', '', '/blog/javascript-micro-templating', '/', 'blog/javascript-micro-templating')"
"('http://', 'ht', '', '/bower', '/', 'bower')"
"('http://', 'ht', '', '/brianhaveri/Underscore.php', '/', 'brianhaveri/Underscore.php')"
"('http://', 'ht', '', '/brix/crypto-js', '/', 'brix/crypto-js')"
"('http://', 'ht', '', '/brix/crypto-js.git', '/', 'brix/crypto-js.git')"
"('http://', 'ht', '', '/broofa', '/', 'broofa')"
"('http://', 'ht', '', '/buffer-from/download/buffer-from-1.1.1.tgz', '/', 'buffer-from/download/buffer-from-1.1.1.tgz')"
"('http://', 'ht', '', '/callback', '/', 'callback')"
"('http://', 'ht', '', '/caolan/async', '/', 'caolan/async')"
"('http://', 'ht', '', '/ccc', '/', 'ccc')"
"('http://', 'ht', '', '/cft', '/', 'cft')"
"('http://', 'ht', '', '/cgit/wget.git/tree/src/init.c?id=636a5f9a1c508aa39e35a3a8e9e54520a284d93d#n383', '/', 'cgit/wget.git/tree/src/init.c?id=636a5f9a1c508aa39e35a3a8e9e54520a284d93d#n383')"
"('http://', 'ht', '', '/cgit/wget.git/tree/src/retr.c?id=93c1517c4071c4288ba5a4b038e7634e4c6b5482#n1278', '/', 'cgit/wget.git/tree/src/retr.c?id=93c1517c4071c4288ba5a4b038e7634e4c6b5482#n1278')"
"('http://', 'ht', '', '/charts.html?package=object-keys', '/', 'charts.html?package=object-keys')"
"('http://', 'ht', '', '/charts.html?package=qs', '/', 'charts.html?package=qs')"
"('http://', 'ht', '', '/cheeriojs/cheerio', '/', 'cheeriojs/cheerio')"
"('http://', 'ht', '', '/codecov/c/github/bestiejs/punycode.js.svg', '/', 'codecov/c/github/bestiejs/punycode.js.svg')"
"('http://', 'ht', '', '/combined-stream/download/combined-stream-1.0.6.tgz', '/', 'combined-stream/download/combined-stream-1.0.6.tgz')"
"('http://', 'ht', '', '/concat-stream/download/concat-stream-1.6.2.tgz', '/', 'concat-stream/download/concat-stream-1.6.2.tgz')"
"('http://', 'ht', '', '/core-1.9/classes/Object.html#M000191', '/', 'core-1.9/classes/Object.html#M000191')"
"('http://', 'ht', '', '/core/1.0/#anchor22', '/', 'core/1.0/#anchor22')"
"('http://', 'ht', '', '/core/1.0/#consumer_req_param', '/', 'core/1.0/#consumer_req_param')"
"('http://', 'ht', '', '/core/classes/Enumerable.html', '/', 'core/classes/Enumerable.html')"
"('http://', 'ht', '', '/coveralls/cheeriojs/cheerio.svg?branch=master&style=flat', '/', 'coveralls/cheeriojs/cheerio.svg?branch=master&style=flat')"
"('http://', 'ht', '', '/coveralls/fb55/entities.svg', '/', 'coveralls/fb55/entities.svg')"
"('http://', 'ht', '', '/coveralls/fb55/htmlparser2.svg?style=flat', '/', 'coveralls/fb55/htmlparser2.svg?style=flat')"
"('http://', 'ht', '', '/coveralls/fb55/node-entities.svg', '/', 'coveralls/fb55/node-entities.svg')"
"('http://', 'ht', '', '/crypt/md5', '/', 'crypt/md5')"
"('http://', 'ht', '', '/css', '/', 'css')"
"('http://', 'ht', '', '/csswg/css-style-attr', '/', 'csswg/css-style-attr')"
"('http://', 'ht', '', '/csswg/cssom', '/', 'csswg/cssom')"
"('http://', 'ht', '', '/csswg/cssom/#css-font-face-rule', '/', 'csswg/cssom/#css-font-face-rule')"
"('http://', 'ht', '', '/csswg/cssom/#css-import-rule', '/', 'csswg/cssom/#css-import-rule')"
"('http://', 'ht', '', '/csswg/cssom/#cssimportrule', '/', 'csswg/cssom/#cssimportrule')"
"('http://', 'ht', '', '/csswg/cssom/#cssmediarule', '/', 'csswg/cssom/#cssmediarule')"
"('http://', 'ht', '', '/csswg/cssom/#cssstylerule', '/', 'csswg/cssom/#cssstylerule')"
"('http://', 'ht', '', '/csswg/cssom/#extensions-to-the-document-interface', '/', 'csswg/cssom/#extensions-to-the-document-interface')"
"('http://', 'ht', '', '/csswg/cssom/#requirements-on-user-agents-implementing0', '/', 'csswg/cssom/#requirements-on-user-agents-implementing0')"
"('http://', 'ht', '', '/csswg/cssom/#resolved-values', '/', 'csswg/cssom/#resolved-values')"
"('http://', 'ht', '', '/csswg/cssom/#stylesheetlist', '/', 'csswg/cssom/#stylesheetlist')"
"('http://', 'ht', '', '/csswg/cssom/#the-cssrule-interface', '/', 'csswg/cssom/#the-cssrule-interface')"
"('http://', 'ht', '', '/csswg/cssom/#the-linkstyle-interface', '/', 'csswg/cssom/#the-linkstyle-interface')"
"('http://', 'ht', '', '/csswg/cssom/#the-medialist-interface', '/', 'csswg/cssom/#the-medialist-interface')"
"('http://', 'ht', '', '/csswg/cssom/#the-stylesheet-interface', '/', 'csswg/cssom/#the-stylesheet-interface')"
"('http://', 'ht', '', '/dankogai/js-base64', '/', 'dankogai/js-base64')"
"('http://', 'ht', '', '/data', '/', 'data')"
"('http://', 'ht', '', '/david/dev/oozcitak/xmlbuilder-js.svg?style=flat-square', '/', 'david/dev/oozcitak/xmlbuilder-js.svg?style=flat-square')"
"('http://', 'ht', '', '/dc/elements/1.1', '/', 'dc/elements/1.1')"
"('http://', 'ht', '', '/dc/terms', '/', 'dc/terms')"
"('http://', 'ht', '', '/debug/download/debug-2.6.9.tgz', '/', 'debug/download/debug-2.6.9.tgz')"
"('http://', 'ht', '', '/deep-is/download/deep-is-0.1.3.tgz', '/', 'deep-is/download/deep-is-0.1.3.tgz')"
"('http://', 'ht', '', '/delayed-stream/download/delayed-stream-1.0.0.tgz', '/', 'delayed-stream/download/delayed-stream-1.0.0.tgz')"
"('http://', 'ht', '', '/demo/autocomplete.html', '/', 'demo/autocomplete.html')"
"('http://', 'ht', '', '/demo/functiontrace.html', '/', 'demo/functiontrace.html')"
"('http://', 'ht', '', '/deps/dep3', '/', 'deps/dep3')"
"('http://', 'ht', '', '/developers/design-documents/secure-web-proxy', '/', 'developers/design-documents/secure-web-proxy')"
"('http://', 'ht', '', '/dhtml/boxsizing/boxsizing.html', '/', 'dhtml/boxsizing/boxsizing.html')"
"('http://', 'ht', '', '/dist/Net-Netmask', '/', 'dist/Net-Netmask')"
"('http://', 'ht', '', '/djb.html', '/', 'djb.html')"
"('http://', 'ht', '', '/dmitryBaranovskiy', '/', 'dmitryBaranovskiy')"
"('http://', 'ht', '', '/doc', '/', 'doc')"
"('http://', 'ht', '', '/doc/#booleantrap', '/', 'doc/#booleantrap')"
"('http://', 'ht', '', '/doc/#nestedternary', '/', 'doc/#nestedternary')"
"('http://', 'ht', '', '/doc/file_manager/previewfile.png', '/', 'doc/file_manager/previewfile.png')"
"('http://', 'ht', '', '/doc/getting_started/get_antsword_1.jpg', '/', 'doc/getting_started/get_antsword_1.jpg')"
"('http://', 'ht', '', '/doc/index.html#ast', '/', 'doc/index.html#ast')"
"('http://', 'ht', '', '/doc/latest', '/', 'doc/latest')"
"('http://', 'ht', '', '/doc/options/#nonbsp', '/', 'doc/options/#nonbsp')"
"('http://', 'ht', '', '/doc/plugin_store/main_page_2.jpg', '/', 'doc/plugin_store/main_page_2.jpg')"
"('http://', 'ht', '', '/doc/plugins/load_plugin_1.jpg', '/', 'doc/plugins/load_plugin_1.jpg')"
"('http://', 'ht', '', '/doc/plugins/load_plugin_4.jpg', '/', 'doc/plugins/load_plugin_4.jpg')"
"('http://', 'ht', '', '/doc/settings/encoder_edit_1.png', '/', 'doc/settings/encoder_edit_1.png')"
"('http://', 'ht', '', '/docs#groupBy', '/', 'docs#groupBy')"
"('http://', 'ht', '', '/docs#transform', '/', 'docs#transform')"
"('http://', 'ht', '', '/docs/#prefixed', '/', 'docs/#prefixed')"
"('http://', 'ht', '', '/docs/api.html#text', '/', 'docs/api.html#text')"
"('http://', 'ht', '', '/docs/api/reflect.html', '/', 'docs/api/reflect.html')"
"('http://', 'ht', '', '/docs/api/session/#cookiesgetfilter-callback', '/', 'docs/api/session/#cookiesgetfilter-callback')"
"('http://', 'ht', '', '/docs/big5', '/', 'docs/big5')"
"('http://', 'ht', '', '/docs/errors.html#mismatch', '/', 'docs/errors.html#mismatch')"
"('http://', 'ht', '', '/docs/gs.html', '/', 'docs/gs.html')"
"('http://', 'ht', '', '/docs/latest/api/fs.html', '/', 'docs/latest/api/fs.html')"
"('http://', 'ht', '', '/docs/latest/api/stream.html#stream_class_stream_transform', '/', 'docs/latest/api/stream.html#stream_class_stream_transform')"
"('http://', 'ht', '', '/docs/optimization.html', '/', 'docs/optimization.html')"
"('http://', 'ht', '', '/docs/papers/gb18030.html', '/', 'docs/papers/gb18030.html')"
"('http://', 'ht', '', '/docs/plugins/pullquote', '/', 'docs/plugins/pullquote')"
"('http://', 'ht', '', '/docs/products/skinBuilder/index.shtml#d9cd0fa633', '/', 'docs/products/skinBuilder/index.shtml#d9cd0fa633')"
"('http://', 'ht', '', '/docs/v0.8.16/api/process.html#process_process_nexttick_callback', '/', 'docs/v0.8.16/api/process.html#process_process_nexttick_callback')"
"('http://', 'ht', '', '/documentation.html', '/', 'documentation.html')"
"('http://', 'ht', '', '/documentcloud', '/', 'documentcloud')"
"('http://', 'ht', '', '/documentcloud/underscore', '/', 'documentcloud/underscore')"
"('http://', 'ht', '', '/documentcloud/underscore/issues', '/', 'documentcloud/underscore/issues')"
"('http://', 'ht', '', '/doku.php?id=harmony:const', '/', 'doku.php?id=harmony:const')"
"('http://', 'ht', '', '/doku.php?id=harmony:destructuring', '/', 'doku.php?id=harmony:destructuring')"
"('http://', 'ht', '', '/doku.php?id=harmony:egal', '/', 'doku.php?id=harmony:egal')"
"('http://', 'ht', '', '/doku.php?id=harmony:generators', '/', 'doku.php?id=harmony:generators')"
"('http://', 'ht', '', '/doku.php?id=harmony:iterators', '/', 'doku.php?id=harmony:iterators')"
"('http://', 'ht', '', '/doku.php?id=harmony:let', '/', 'doku.php?id=harmony:let')"
"('http://', 'ht', '', '/doku.php?id=harmony:modules', '/', 'doku.php?id=harmony:modules')"
"('http://', 'ht', '', '/doku.php?id=harmony:object_literals#object_literal_property_value_shorthand', '/', 'doku.php?id=harmony:object_literals#object_literal_property_value_shorthand')"
"('http://', 'ht', '', '/doku.php?id=harmony:rest_parameters', '/', 'doku.php?id=harmony:rest_parameters')"
"('http://', 'ht', '', '/doku.php?id=proposals:iterators_and_generators&s=each', '/', 'doku.php?id=proposals:iterators_and_generators&s=each')"
"('http://', 'ht', '', '/doku.php?id=strawman:maximally_minimal_classes', '/', 'doku.php?id=strawman:maximally_minimal_classes')"
"('http://', 'ht', '', '/dominictarr/event-stream', '/', 'dominictarr/event-stream')"
"('http://', 'ht', '', '/dominictarr/through', '/', 'dominictarr/through')"
"('http://', 'ht', '', '/doodle.png', '/', 'doodle.png')"
"('http://', 'ht', '', '/download', '/', 'download')"
"('http://', 'ht', '', '/downloads/firefox/useragentswitcher.xml', '/', 'downloads/firefox/useragentswitcher.xml')"
"('http://', 'ht', '', '/dperini/nwmatcher/issues', '/', 'dperini/nwmatcher/issues')"
"('http://', 'ht', '', '/draft-04/schema', '/', 'draft-04/schema')"
"('http://', 'ht', '', '/draft-06/schema', '/', 'draft-06/schema')"
"('http://', 'ht', '', '/draft-07/schema', '/', 'draft-07/schema')"
"('http://', 'ht', '', '/eby/rid/2685010755.html', '/', 'eby/rid/2685010755.html')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-ecmascript-function-objects-call-thisargument-argumentslist', '/', 'ecma-262/7.0/#sec-ecmascript-function-objects-call-thisargument-argumentslist')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-object.keys', '/', 'ecma-262/7.0/#sec-object.keys')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-object.prototype.tostring', '/', 'ecma-262/7.0/#sec-object.prototype.tostring')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-patterns', '/', 'ecma-262/7.0/#sec-patterns')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-properties-of-the-map-prototype-object', '/', 'ecma-262/7.0/#sec-properties-of-the-map-prototype-object')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-samevaluezero', '/', 'ecma-262/7.0/#sec-samevaluezero')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-template-literal-lexical-components', '/', 'ecma-262/7.0/#sec-template-literal-lexical-components')"
"('http://', 'ht', '', '/ecma-262/7.0/#sec-tolength', '/', 'ecma-262/7.0/#sec-tolength')"
"('http://', 'ht', '', '/ecmascript-asyncawait', '/', 'ecmascript-asyncawait')"
"('http://', 'ht', '', '/emptying-a-node', '/', 'emptying-a-node')"
"('http://', 'ht', '', '/en-us/library/ie/dww52sbt', '/', 'en-us/library/ie/dww52sbt')"
"('http://', 'ht', '', '/en-us/library/ie/hh465388.aspx#attribute_section', '/', 'en-us/library/ie/hh465388.aspx#attribute_section')"
"('http://', 'ht', '', '/en-us/library/ms536429%28VS.85%29.aspx', '/', 'en-us/library/ms536429%28VS.85%29.aspx')"
"('http://', 'ht', '', '/en-us/library/ms537634', '/', 'en-us/library/ms537634')"
"('http://', 'ht', '', '/en/docs/Canvas_tutorial:Drawing_shapes', '/', 'en/docs/Canvas_tutorial:Drawing_shapes')"
"('http://', 'ht', '', '/errors', '/', 'errors')"
"('http://', 'ht', '', '/escodegen/download/escodegen-1.11.0.tgz', '/', 'escodegen/download/escodegen-1.11.0.tgz')"
"('http://', 'ht', '', '/esprima', '/', 'esprima')"
"('http://', 'ht', '', '/esprima/download/esprima-3.1.3.tgz', '/', 'esprima/download/esprima-3.1.3.tgz')"
"('http://', 'ht', '', '/estools/escodegen', '/', 'estools/escodegen')"
"('http://', 'ht', '', '/estools/escodegen.git', '/', 'estools/escodegen.git')"
"('http://', 'ht', '', '/estools/estraverse.git', '/', 'estools/estraverse.git')"
"('http://', 'ht', '', '/estools/esutils', '/', 'estools/esutils')"
"('http://', 'ht', '', '/estools/esutils.git', '/', 'estools/esutils.git')"
"('http://', 'ht', '', '/estools/esutils/raw/master/LICENSE.BSD', '/', 'estools/esutils/raw/master/LICENSE.BSD')"
"('http://', 'ht', '', '/estraverse/download/estraverse-4.2.0.tgz', '/', 'estraverse/download/estraverse-4.2.0.tgz')"
"('http://', 'ht', '', '/esutils/download/esutils-2.0.2.tgz', '/', 'esutils/download/esutils-2.0.2.tgz')"
"('http://', 'ht', '', '/evanvosberg', '/', 'evanvosberg')"
"('http://', 'ht', '', '/examples.php', '/', 'examples.php')"
"('http://', 'ht', '', '/extract-nodename', '/', 'extract-nodename')"
"('http://', 'ht', '', '/facebook/esprima.git', '/', 'facebook/esprima.git')"
"('http://', 'ht', '', '/facebook/esprima/raw/master/LICENSE.BSD', '/', 'facebook/esprima/raw/master/LICENSE.BSD')"
"('http://', 'ht', '', '/fast-levenshtein/download/fast-levenshtein-2.0.6.tgz', '/', 'fast-levenshtein/download/fast-levenshtein-2.0.6.tgz')"
"('http://', 'ht', '', '/fb55/DomHandler', '/', 'fb55/DomHandler')"
"('http://', 'ht', '', '/fb55/css-select', '/', 'fb55/css-select')"
"('http://', 'ht', '', '/fb55/css-what', '/', 'fb55/css-what')"
"('http://', 'ht', '', '/fb55/entities', '/', 'fb55/entities')"
"('http://', 'ht', '', '/fb55/htmlparser2', '/', 'fb55/htmlparser2')"
"('http://', 'ht', '', '/fb55/htmlparser2/issues', '/', 'fb55/htmlparser2/issues')"
"('http://', 'ht', '', '/fb55/node-entities', '/', 'fb55/node-entities')"
"('http://', 'ht', '', '/feed', '/', 'feed')"
"('http://', 'ht', '', '/felixge/node-gently', '/', 'felixge/node-gently')"
"('http://', 'ht', '', '/flatdoc', '/', 'flatdoc')"
"('http://', 'ht', '', '/foo/bar', '/', 'foo/bar')"
"('http://', 'ht', '', '/form-data/download/form-data-2.3.2.tgz', '/', 'form-data/download/form-data-2.3.2.tgz')"
"('http://', 'ht', '', '/format', '/', 'format')"
"('http://', 'ht', '', '/fromcodepoint', '/', 'fromcodepoint')"
"('http://', 'ht', '', '/fs-minipass', '/', 'fs-minipass')"
"('http://', 'ht', '', '/function-library', '/', 'function-library')"
"('http://', 'ht', '', '/functions', '/', 'functions')"
"('http://', 'ht', '', '/garycourt/uri-js', '/', 'garycourt/uri-js')"
"('http://', 'ht', '', '/general/latest/gr/rande.html', '/', 'general/latest/gr/rande.html')"
"('http://', 'ht', '', '/general/latest/gr/signature-version-4.html', '/', 'general/latest/gr/signature-version-4.html')"
"('http://', 'ht', '', '/getall-vs-sizzle/2', '/', 'getall-vs-sizzle/2')"
"('http://', 'ht', '', '/git/acorn', '/', 'git/acorn')"
"('http://', 'ht', '', '/github-btn.html?mozilla=mozilla&amp', '/', 'github-btn.html?mozilla=mozilla&amp')"
"('http://', 'ht', '', '/grayrest', '/', 'grayrest')"
"('http://', 'ht', '', '/group/esprima', '/', 'group/esprima')"
"('http://', 'ht', '', '/group/jsdom', '/', 'group/jsdom')"
"('http://', 'ht', '', '/groups/ST/toolkit/documents/dss/NISTReCur.pdf', '/', 'groups/ST/toolkit/documents/dss/NISTReCur.pdf')"
"('http://', 'ht', '', '/h0FVyzU.png', '/', 'h0FVyzU.png')"
"('http://', 'ht', '', '/headlines/y2003/30may_solareclipse.htm', '/', 'headlines/y2003/30may_solareclipse.htm')"
"('http://', 'ht', '', '/hello', '/', 'hello')"
"('http://', 'ht', '', '/hiddentao/fast-levenshtein', '/', 'hiddentao/fast-levenshtein')"
"('http://', 'ht', '', '/history', '/', 'history')"
"('http://', 'ht', '', '/home-48.html', '/', 'home-48.html')"
"('http://', 'ht', '', '/home-48.html?form=local', '/', 'home-48.html?form=local')"
"('http://', 'ht', '', '/home-58.html', '/', 'home-58.html')"
"('http://', 'ht', '', '/html/draft-hoffman-file-uri-03', '/', 'html/draft-hoffman-file-uri-03')"
"('http://', 'ht', '', '/html/draft-luff-relative-json-pointer-00', '/', 'html/draft-luff-relative-json-pointer-00')"
