"('0-9.', '', '-9')"
"('Array.', '', '')"
"('ArrayBuffer.', '', '')"
"('ArrayPattern.', '', '')"
"('ArrayProto.', '', '')"
"('ArraySet.', '', '')"
"('Assembly.', '', '')"
"('AssertByteCountStream.', '', '')"
"('Assertion.', '', '')"
"('AssertionError.', '', '')"
"('AssignmentPattern.', '', '')"
"('Async.', '', '')"
"('AsyncFunction.', '', '')"
"('AsyncGeneratorFunction.', '', '')"
"('AsyncResource.', '', '')"
"('AsyncSquaringLibrary.', '', '')"
"('At.', '', '')"
"('Attr-impl.', '', '-impl')"
"('Attr.', '', '')"
"('Attributes.', '', '')"
"('AutoFocusUtils.', '', '')"
"('B.', '', '')"
"('BC8.', '', '')"
"('BGP.', '', '')"
"('BIG5.', '', '')"
"('BIgA.', '', '')"
"('BN-ZlBN.', '', '-ZlBN')"
"('BX.', '', '')"
"('BaI.', '', '')"
"('Backbone.', '', '')"
"('Bar.', '', '')"
"('Barnesandnoble.', '', '')"
"('Base.', '', '')"
"('Base62.', '', '')"
"('Base64.', '', '')"
"('Base64VLQ.', '', '')"
"('BaseBind.', '', '')"
"('BaseFuncs.', '', '')"
"('BaseHandler.', '', '')"
"('Basic.', '', '')"
"('BasicSourceMapConsumer.', '', '')"
"('Bb.', '', '')"
"('Bc.', '', '')"
"('Be.', '', '')"
"('BellSouth.', '', '')"
"('Benchmark.', '', '')"
"('Ber.', '', '')"
"('Big5.', '', '')"
"('Big5DistributionAnalysis.', '', '')"
"('Big5Prober.', '', '')"
"('BigInteger.', '', '')"
"('BinaryExpression.', '', '')"
"('BlO.', '', '')"
"('Block.', '', '')"
"('BlockCipher.', '', '')"
"('BlockCipherMode.', '', '')"
"('BlockStatement.', '', '')"
"('Blowfish.', '', '')"
"('Bluebird.', '', '')"
"('Bn.', '', '')"
"('Booking.', '', '')"
"('BracketMatch.', '', '')"
"('BrowserWindow.', '', '')"
"('Buffer.', '', '')"
"('BufferByteLength.', '', '')"
"('BufferToString.', '', '')"
"('BufferWrite.', '', '')"
"('BufferedBlockAlgorithm.', '', '')"
"('Bvy.', '', '')"
"('C-g.', '', '-g')"
"('C.', '', '')"
"('CA.', '', '')"
"('CBC.', '', '')"
"('CDN77.', '', '')"
"('CDNS.', '', '')"
"('CFB.', '', '')"
"('CGj.', '', '')"
"('CHANGELOG.', '', '')"
"('CHILD.', '', '')"
"('CJ.', '', '')"
"('CKd.', '', '')"
"('COERCION.', '', '')"
"('COLLEGE.', '', '')"
"('COLORS.', '', '')"
"('CONF.', '', '')"
"('CONTRIBUTING.', '', '')"
"('COPYING.', '', '')"
"('CP950.', '', '')"
"('CSSDocumentRule.', '', '')"
"('CSSFontFaceRule.', '', '')"
"('CSSHostRule.', '', '')"
"('CSSImportRule.', '', '')"
"('CSSKeyframeRule.', '', '')"
"('CSSKeyframesRule.', '', '')"
"('CSSLint.', '', '')"
"('CSSMediaRule.', '', '')"
"('CSSOM.', '', '')"
"('CSSProperty.', '', '')"
"('CSSPropertyOperations.', '', '')"
"('CSSRule.', '', '')"
"('CSSStyleDeclaration.', '', '')"
"('CSSStyleRule.', '', '')"
"('CSSStyleSheet.', '', '')"
"('CSSSupportsRule.', '', '')"
"('CSSValue.', '', '')"
"('CSSValueExpression.', '', '')"
"('CSSselect.', '', '')"
"('CTR.', '', '')"
"('CTRGladman.', '', '')"
"('CUSTOM.', '', '')"
"('CW.', '', '')"
"('CXU.', '', '')"
"('CZ88.', '', '')"
"('Cababilities.', '', '')"
"('CallExpression.', '', '')"
"('CallSite.', '', '')"
"('CallbackQueue.', '', '')"
"('Canvas.', '', '')"
"('CascadeType.', '', '')"
"('CatchClause.', '', '')"
"('Cb.', '', '')"
"('Cbs.', '', '')"
"('Cc.', '', '')"
"('Ce.', '', '')"
"('Certificate.', '', '')"
"('Cf.', '', '')"
"('ChangeIP.', '', '')"
"('Changelog.', '', '')"
"('CharDistributionAnalysis.', '', '')"
"('CharSetGroupProber.', '', '')"
"('CharSetProber.', '', '')"
"('Character.', '', '')"
"('CharacterData.', '', '')"
"('Cheerio.', '', '')"
"('Child.', '', '')"
"('Cipher.', '', '')"
"('CipherParams.', '', '')"
"('Circle.', '', '')"
"('Class.', '', '')"
"('ClassBody.', '', '')"
"('ClassDeclaration.', '', '')"
"('ClassPropertyType.', '', '')"
"('ClientError.', '', '')"
"('ClosedElem.', '', '')"
"('Clx.', '', '')"
"('Cn.', '', '')"
"('Co.', '', '')"
"('CodeGenerator.', '', '')"
"('CoffeeScript.', '', '')"
"('CollectingHandler.', '', '')"
"('Collections.', '', '')"
"('Combinator.', '', '')"
"('CombinedStream.', '', '')"
"('CommandManager.', '', '')"
"('Comment.', '', '')"
"('Comparator.', '', '')"
"('Component.', '', '')"
"('ComponentTree.', '', '')"
"('ConcatStream.', '', '')"
"('ConditionalExpression.', '', '')"
"('Config.', '', '')"
"('Conn.', '', '')"
"('Console.', '', '')"
"('Constants.', '', '')"
"('Constructor.', '', '')"
"('Context.', '', '')"
"('Contextify.', '', '')"
"('Contributing.', '', '')"
"('ControlFlow.', '', '')"
"('Controller.', '', '')"
"('Convert.', '', '')"
"('Cookie.', '', '')"
"('CookieAccessInfo.', '', '')"
"('CookieJar.', '', '')"
"('CoreStreams.', '', '')"
"('Cp.', '', '')"
"('CryptoJS.', '', '')"
"('Ct.', '', '')"
"('Ctor.', '', '')"
"('Cursor.', '', '')"
"('CustomEvent-impl.', '', '-impl')"
"('CustomEvent.', '', '')"
"('CustomScroll.', '', '')"
"('D.', '', '')"
"('DB.', '', '')"
"('DBCSCodec.', '', '')"
"('DES.', '', '')"
"('DI.', '', '')"
"('DKY.', '', '')"
"('DMM.', '', '')"
"('DNS.', '', '')"
"('DOM3-Core.', '', '-Core')"
"('DOMAttributeNames.', '', '')"
"('DOMAttributeNamespaces.', '', '')"
"('DOMChildrenOperations.', '', '')"
"('DOMConfiguration.', '', '')"
"('DOMError.', '', '')"
"('DOMImplementation.', '', '')"
"('DOMImplementationLS.', '', '')"
"('DOMLazyTree.', '', '')"
"('DOMMutationMethods.', '', '')"
"('DOMNamespaces.', '', '')"
"('DOMParent.', '', '')"
"('DOMProperty.', '', '')"
"('DOMPropertyNames.', '', '')"
"('DOMPropertyOperations.', '', '')"
"('DOMStringList.', '', '')"
"('DOMTokenList.', '', '')"
"('DOMWindow.', '', '')"
"('DOMelem.', '', '')"
"('DRIVERS.', '', '')"
"('DSL.', '', '')"
"('DZG.', '', '')"
"('Danger.', '', '')"
"('Dangereous.', '', '')"
"('Data.', '', '')"
"('DataDriver.', '', '')"
"('DataStore.', '', '')"
"('DataView.', '', '')"
"('Datastore.', '', '')"
"('Date.', '', '')"
"('Dates.', '', '')"
"('Dc.', '', '')"
"('De.', '', '')"
"('Declaration.', '', '')"
"('DeclareFunction.', '', '')"
"('Decodes.', '', '')"
"('Decryptor.', '', '')"
"('Def.', '', '')"
"('Default.', '', '')"
"('DefaultDriverOrder.', '', '')"
"('DelayedStream.', '', '')"
"('DestroyableTransform.', '', '')"
"('Di.', '', '')"
"('Diagnostics.', '', '')"
"('DiffieHellman.', '', '')"
"('Dir.', '', '')"
"('Directnic.', '', '')"
"('Directory.', '', '')"
"('DisabledInputUtils.', '', '')"
"('Dn.', '', '')"
"('Doctype.', '', '')"
"('Document.', '', '')"
"('DocumentFragment.', '', '')"
"('DocumentPosition.', '', '')"
"('DocumentType.', '', '')"
"('Dom.', '', '')"
"('DomHandler.', '', '')"
"('DomUtils.', '', '')"
"('Dot.', '', '')"
"('Downcoder.', '', '')"
"('Dp.', '', '')"
"('DragControl.', '', '')"
"('DriverManager.', '', '')"
"('DriverType.', '', '')"
"('Dt.', '', '')"
"('Duplex.', '', '')"
"('E.', '', '')"
"('ECB.', '', '')"
"('ECMAScript.', '', '')"
"('EE.', '', '')"
"('EI.', '', '')"
"('EM.', '', '')"
"('ENCODES.', '', '')"
"('EPs.', '', '')"
"('ER.', '', '')"
"('ERRORS.', '', '')"
"('ES.', '', '')"
"('EUCJPContextAnalysis.', '', '')"
"('EUCJPDistributionAnalysis.', '', '')"
"('EUCJPProber.', '', '')"
"('EUCKRDistributionAnalysis.', '', '')"
"('EUCKRProber.', '', '')"
"('EUCTWDistributionAnalysis.', '', '')"
"('EUCTWProber.', '', '')"
"('EVENTS.', '', '')"
"('EXTS.', '', '')"
"('EaKruhcHklPFAe7.', '', '')"
"('Eb.', '', '')"
"('Ec.', '', '')"
"('Ecma-262.', '', '-262')"
"('EdT.', '', '')"
"('Ef.', '', '')"
"('El.', '', '')"
"('Element.', '', '')"
"('ElementType.', '', '')"
"('Emitter.', '', '')"
"('Empty.', '', '')"
"('EmptyComponent.', '', '')"
"('En.', '', '')"
"('Encoding.', '', '')"
"('Encryptor.', '', '')"
"('Enumerable.', '', '')"
"('Environment.', '', '')"
"('EnvironmentVariables.', '', '')"
"('Err.', '', '')"
"('Error.', '', '')"
"('ErrorEvent-impl.', '', '-impl')"
"('ErrorEvent.', '', '')"
"('Es0qu.', '', '')"
"('EscCharSetProber.', '', '')"
"('Et.', '', '')"
"('Ethr.', '', '')"
"('Evaluator.', '', '')"
"('Event-impl.', '', '-impl')"
"('Event.', '', '')"
"('EventConstants.', '', '')"
"('EventConstructor.', '', '')"
"('EventEmitter.', '', '')"
"('EventInit.', '', '')"
"('EventListener.', '', '')"
"('EventModifierInit.', '', '')"
"('EventPluginHub.', '', '')"
"('EventPluginOrder.', '', '')"
"('EventPluginRegistry.', '', '')"
"('EventPluginUtils.', '', '')"
"('EventPropagators.', '', '')"
"('EventTarget-impl.', '', '-impl')"
"('EventTarget.', '', '')"
"('Events.', '', '')"
"('EvpKDF.', '', '')"
"('ExecutionEnvironment.', '', '')"
"('Expr.', '', '')"
"('Express.', '', '')"
"('Expression.', '', '')"
"('ExpressionStatement.', '', '')"
"('F.', '', '')"
"('FAQ.', '', '')"
"('FAULTYDRIVERS.', '', '')"
"('FH.', '', '')"
"('FO.', '', '')"
"('FPp.', '', '')"
"('FS.', '', '')"
"('FTP.', '', '')"
"('FUNDING.', '', '')"
"('FaJ.', '', '')"
"('Factory.', '', '')"
"('FallbackCompositionState.', '', '')"
"('FastPath.', '', '')"
"('Fc.', '', '')"
"('FdSlicer.', '', '')"
"('FeedHandler.', '', '')"
"('Field.', '', '')"
"('Fields.', '', '')"
"('File.', '', '')"
"('FileMode.', '', '')"
"('FileReader.', '', '')"
"('FileReaderEventTarget.', '', '')"
"('Filename.', '', '')"
"('Fingerprint.', '', '')"
"('Flags.', '', '')"
"('Flatdoc.', '', '')"
"('FnExprTokens.', '', '')"
"('Folding.', '', '')"
"('Foo.', '', '')"
"('ForEachBookKeeping.', '', '')"
"('ForInStatement.', '', '')"
"('ForOfStatement.', '', '')"
"('ForStatement.', '', '')"
"('ForeignContent.', '', '')"
"('ForeverAgent.', '', '')"
"('FormData.', '', '')"
"('FormattingElementList.', '', '')"
"('Formidable.', '', '')"
"('Fp.', '', '')"
"('Fs.', '', '')"
"('Func.', '', '')"
"('FuncProto.', '', '')"
"('Function.', '', '')"
"('FunctionDeclaration.', '', '')"
"('FunctionExpression.', '', '')"
"('FunctionTypeParam.', '', '')"
"('G.', '', '')"
"('GB2312DistributionAnalysis.', '', '')"
"('GB2312Prober.', '', '')"
"('GENTLY.', '', '')"
"('GETParams.', '', '')"
"('GLib.', '', '')"
"('GPL-LICENSE.', '', '-LICENSE')"
"('GT.', '', '')"
"('Ga.', '', '')"
"('Gb.', '', '')"
"('Gc.', '', '')"
"('GcS.', '', '')"
"('Gee.', '', '')"
"('Gemfile.', '', '')"
"('Gemnet.', '', '')"
"('GeneratorFunction.', '', '')"
"('GetIntrinsic.', '', '')"
"('Gn.', '', '')"
"('Gruntfile.', '', '')"
"('H.', '', '')"
"('H0.', '', '')"
"('H1.', '', '')"
"('H2.', '', '')"
"('H3.', '', '')"
"('H4.', '', '')"
"('H5.', '', '')"
"('H6.', '', '')"
"('H7.', '', '')"
"('HARError.', '', '')"
"('HE.', '', '')"
"('HISTORY.', '', '')"
"('HMAC.', '', '')"
"('HP.', '', '')"
"('HRZ7.', '', '')"
"('HTML.', '', '')"
"('HTMLAnchorElement.', '', '')"
"('HTMLElement.', '', '')"
"('HTMLInputElement.', '', '')"
"('HTMLLinkElement.', '', '')"
"('HTMLMediaElement.', '', '')"
"('HTMLStyleElement.', '', '')"
"('HTMLTemplateElement-impl.', '', '-impl')"
"('HTMLTemplateElement.', '', '')"
"('HZ.', '', '')"
"('Ha.', '', '')"
"('Hapostrophe.', '', '')"
"('Hash.', '', '')"
"('HashChangeEvent-impl.', '', '-impl')"
"('HashChangeEvent.', '', '')"
"('Hasher.', '', '')"
"('Hashtable.', '', '')"
"('Hb.', '', '')"
"('Hc.', '', '')"
"('He.', '', '')"
"('HebrewProber.', '', '')"
"('Hex.', '', '')"
"('Hi.', '', '')"
"('Highlighters.', '', '')"
"('History.', '', '')"
"('HlssC5.', '', '')"
"('Hn.', '', '')"
"('Hook.', '', '')"
"('HpbjN6sERhYoiUX.', '', '')"
"('Hs7Z.', '', '')"
"('HttpSignatureError.', '', '')"
"('I-FFI.', '', '-FFI')"
"('I.', '', '')"
"('IA.', '', '')"
"('IB.', '', '')"
"('IDENTIFIER.', '', '')"
"('IDsA.', '', '')"
"('IMc.', '', '')"
"('IO.', '', '')"
"('IPV4ADDRESS.', '', '')"
"('IPV6ADDRESS.', '', '')"
"('IZHdK.', '', '')"
"('Ia.', '', '')"
"('IconvLiteDecoderStream.', '', '')"
"('IconvLiteEncoderStream.', '', '')"
"('Identifier.', '', '')"
"('Identity.', '', '')"
"('Ie.', '', '')"
"('IfStatement.', '', '')"
"('Il.', '', '')"
"('Impl.', '', '')"
"('ImportDefaultSpecifier.', '', '')"
"('ImportNamespaceSpecifier.', '', '')"
"('ImportSpecifier.', '', '')"
"('In.', '', '')"
"('IncomingForm.', '', '')"
"('IncomingMessage.', '', '')"
"('IndexedSourceMapConsumer.', '', '')"
"('Indonesia.', '', '')"
"('Injected.', '', '')"
"('InlineLexer.', '', '')"
"('Int32.', '', '')"
"('Integer.', '', '')"
"('Interface.', '', '')"
"('InterfaceDeclaration.', '', '')"
"('InternalDecoder.', '', '')"
"('Intl.', '', '')"
"('IqA6.', '', '')"
"('IqAF.', '', '')"
"('IqnsdD.', '', '')"
"('It.', '', '')"
"('J.', '', '')"
"('JCK.', '', '')"
"('JJ1.', '', '')"
"('JK.', '', '')"
"('JKK.', '', '')"
"('JSON.', '', '')"
"('JSONCov.', '', '')"
"('JSONParseTreeHandler.', '', '')"
"('JSONSchema.', '', '')"
"('JSONiqParser.', '', '')"
"('JSONiqTokenizer.', '', '')"
"('JST.', '', '')"
"('JSXElement.', '', '')"
"('JSXNode.', '', '')"
"('JSXParser.', '', '')"
"('JSXSyntax.', '', '')"
"('JSXToken.', '', '')"
"('JT.', '', '')"
"('JV.', '', '')"
"('Ja.', '', '')"
"('JavaScriptWorker.', '', '')"
"('Jb.', '', '')"
"('Jc.', '', '')"
"('Jet.', '', '')"
"('Jn.', '', '')"
"('Json.', '', '')"
"('Jt.', '', '')"
"('K-XL8K.', '', '-XL8K')"
"('K.', '', '')"
"('KAT.', '', '')"
"('KEYUSEBITS.', '', '')"
"('KEYWORDS.', '', '')"
"('KHV.', '', '')"
"('KJ.', '', '')"
"('KJc.', '', '')"
"('KK.', '', '')"
"('KM.', '', '')"
"('KMJ-KUJ.', '', '-KUJ')"
"('KMK.', '', '')"
"('KWLp.', '', '')"
"('KZ.', '', '')"
"('Kb.', '', '')"
"('Key.', '', '')"
"('KeyEscapeUtils.', '', '')"
"('KeyboardEvent-impl.', '', '-impl')"
"('KeyboardEvent.', '', '')"
"('KgKa.', '', '')"
"('Ki.', '', '')"
"('Kl.', '', '')"
"('Klass.', '', '')"
"('Kt.', '', '')"
"('L.', '', '')"
"('LDW.', '', '')"
"('LFqK.', '', '')"
"('LICENSE-MIT.', '', '-MIT')"
"('LICENSE.', '', '')"
"('LK-LFLK.', '', '-LFLK')"
"('LK-LK.', '', '-LK')"
"('LK.', '', '')"
"('LKg.', '', '')"
"('LN.', '', '')"
"('LRK.', '', '')"
"('LSException.', '', '')"
"('LSInput.', '', '')"
"('LSLoadEvent.', '', '')"
"('LSOutput.', '', '')"
"('LSParser.', '', '')"
"('LSParserFilter.', '', '')"
"('LSProgressEvent.', '', '')"
"('LSSerializer.', '', '')"
"('LSSerializerFilter.', '', '')"
"('LT.', '', '')"
"('LTX.', '', '')"
"('LX.', '', '')"
"('Landing.', '', '')"
"('Last.', '', '')"
"('Latin1.', '', '')"
"('Latin1Prober.', '', '')"
"('LazyWrapper.', '', '')"
"('LbT.', '', '')"
"('Leu.', '', '')"
"('Lexer.', '', '')"
"('LibraryMethods.', '', '')"
"('Lines.', '', '')"
"('LinkedValueUtils.', '', '')"
"('List.', '', '')"
"('ListCache.', '', '')"
"('Literal.', '', '')"
"('Ll.', '', '')"
"('LocalBuffer.', '', '')"
"('LocalError.', '', '')"
"('LocalForage.', '', '')"
"('LocalWeakMap.', '', '')"
"('Location.', '', '')"
"('LocationInfoMixin.', '', '')"
"('LocationMarker.', '', '')"
"('LodashWrapper.', '', '')"
"('Logger.', '', '')"
"('LogicalExpression.', '', '')"
"('LooseParser.', '', '')"
"('Lp.', '', '')"
"('Lt.', '', '')"
"('LzdY7.', '', '')"
"('M-DY5M.', '', '-DY5M')"
"('M.', '', '')"
"('M.', '', '-X')"
"('M5.', '', '')"
"('MBCSGroupProber.', '', '')"
"('METHODS.', '', '')"
"('MIT-LICENSE.', '', '-LICENSE')"
"('MLM.', '', '')"
"('MM.', '', '')"
"('MO.', '', '')"
"('MODE.', '', '')"
"('MOY.', '', '')"
"('MSApp.', '', '')"
"('MSXML2.', '', '')"
"('MW.', '', '')"
"('MX.', '', '')"
"('MXa.', '', '')"
"('MY.', '', '')"
"('Mail.', '', '')"
"('Makefile.', '', '')"
"('Map.', '', '')"
"('MapBookKeeping.', '', '')"
"('MapCache.', '', '')"
"('MapTypeId.', '', '')"
"('Mapostrophe.', '', '')"
"('Mapping.', '', '')"
"('Marshal.', '', '')"
"('Mashal.', '', '')"
"('MatcherList.', '', '')"
"('Math.', '', '')"
"('Mb.', '', '')"
"('Mchost.', '', '')"
"('MediaFeature.', '', '')"
"('MediaList.', '', '')"
"('MediaQuery.', '', '')"
"('Medici.', '', '')"
"('MemberExpression.', '', '')"
"('MemoryCookieStore.', '', '')"
"('Menu.', '', '')"
"('MessageDigest.', '', '')"
"('MessageEvent-impl.', '', '-impl')"
"('MessageEvent.', '', '')"
"('Messages.', '', '')"
"('Meteor.', '', '')"
"('MethodDefinition.', '', '')"
"('MgY.', '', '')"
"('Microsoft.', '', '')"
"('Mime.', '', '')"
"('Min.', '', '')"
"('Minipass.', '', '')"
"('Mirror.', '', '')"
"('MissingRefError.', '', '')"
"('Mocha.', '', '')"
"('Mode.', '', '')"
"('Moderation-Policy.', '', '-Policy')"
"('Modernizr.', '', '')"
"('Module.', '', '')"
"('MouseEvent-impl.', '', '-impl')"
"('MouseEvent.', '', '')"
"('Mp.', '', '')"
"('MpPYFM.', '', '')"
"('Mr.', '', '')"
"('Msxml2.', '', '')"
"('Mt.', '', '')"
"('MultiByteCharSetProber.', '', '')"
"('MultipartParser.', '', '')"
"('Must.', '', '')"
"('Mustache.', '', '')"
"('MutationEvent-impl.', '', '-impl')"
"('MutationEvent.', '', '')"
"('MyType.', '', '')"
"('N.', '', '')"
"('NBI-NBI.', '', '-NBI')"
"('NISTReCur.', '', '')"
"('NO.', '', '')"
"('NPp.', '', '')"
"('NPs.', '', '')"
"('NS.', '', '')"
"('NS1.', '', '')"
"('NW.', '', '')"
"('NZ.', '', '')"
