"('KEY ', 'KEY', '=', 'unknown_key')"
"('Key', 'Key', ':', 'cmd-shift-enter')"
"('Key', 'Key', ':', 'cmd-shift-j')"
"('Key', 'Key', ':', 'cmd-shift-l')"
"('Key', 'Key', ':', 'cmd-shift-space')"
"('Key', 'Key', ':', 'cmd-shift-v')"
"('Key', 'Key', ':', 'ctrl-alt-down')"
"('Key', 'Key', ':', 'ctrl-alt-up')"
"('Key', 'Key', ':', 'ctrl-cmd-down')"
"('Key', 'Key', ':', 'ctrl-cmd-g')"
"('Key', 'Key', ':', 'ctrl-cmd-up')"
"('Key', 'Key', ':', 'ctrl-left')"
"('Key', 'Key', ':', 'ctrl-right')"
"('Key', 'Key', ':', 'ctrl-shift--')"
"('Key', 'Key', ':', 'ctrl-shift-f6')"
"('Key', 'Key', ':', 'ctrl-shift-k')"
"('Key', 'Key', ':', 'ctrl-shift-left')"
"('Key', 'Key', ':', 'ctrl-shift-m')"
"('Key', 'Key', ':', 'ctrl-shift-right')"
"('Key', 'Key', ':', 'ctrl-shift-w')"
"('Key', 'Key', ':', 'needAKey')"
"('Key', 'Key', ':', 'shift-alt-cmd-g')"
"('Key', 'Key', ':', 'shift-cmd-g')"
"('Key,i', 'Key', '=', 'uninitialized')"
"('KeyPress', 'Key', ':', 'keypress')"
"('TOKEN ', 'TOKEN', '=', 'NULL_CHARACTER_TOKEN')"
"('TOKEN ', 'TOKEN', '=', 'WHITESPACE_CHARACTER_TOKEN')"
"('Token', 'Token', ':', 'invisible')"
"('Token', 'Token', ':', 'punctuation')"
"('Token', 'Token', ':', 'variable')"
"('Token.type ', 'Token', '=', 'Punctuator')"
"('TokenIterator,i', 'Token', '=', 'abstract')"
"('TokenIterator,i', 'Token', '=', 'accesskey')"
"('Tokenizer.CHARACTER_TOKEN ', 'Token', '=', 'CHARACTER_TOKEN')"
"('Tokenizer.COMMENT_TOKEN ', 'Token', '=', 'COMMENT_TOKEN')"
"('Tokenizer.DOCTYPE_TOKEN ', 'Token', '=', 'DOCTYPE_TOKEN')"
"('Tokenizer.END_TAG_TOKEN ', 'Token', '=', 'END_TAG_TOKEN')"
"('Tokenizer.EOF_TOKEN ', 'Token', '=', 'EOF_TOKEN')"
"('Tokenizer.START_TAG_TOKEN ', 'Token', '=', 'START_TAG_TOKEN')"
"('key ', 'key', '=', 'STORE_KEY')"
"('key ', 'key', '=', 'SlowBuffer')"
"('key ', 'key', '=', '__proto__')"
"('key ', 'key', '=', 'allocUnsafe')"
"('key ', 'key', '=', 'allocUnsafeSlow')"
"('key ', 'key', '=', 'arguments')"
"('key ', 'key', '=', 'byteLength')"
"('key ', 'key', '=', 'byteOffset')"
"('key ', 'key', '=', 'cancelable')"
"('key ', 'key', '=', 'charCode')"
"('key ', 'key', '=', 'client_max_window_bits')"
"('key ', 'key', '=', 'client_no_context_takeover')"
"('key ', 'key', '=', 'constructor')"
"('key ', 'key', '=', 'filename')"
"('key ', 'key', '=', 'function')"
"('key ', 'key', '=', 'isComposing')"
"('key ', 'key', '=', 'lastEventId')"
"('key ', 'key', '=', 'leadingComments')"
"('key ', 'key', '=', 'lengthComputable')"
"('key ', 'key', '=', 'location')"
"('key ', 'key', '=', 'modifierAltGraph')"
"('key ', 'key', '=', 'modifierCapsLock')"
"('key ', 'key', '=', 'modifierFn')"
"('key ', 'key', '=', 'modifierFnLock')"
"('key ', 'key', '=', 'modifierHyper')"
"('key ', 'key', '=', 'modifierNumLock')"
"('key ', 'key', '=', 'modifierOS')"
"('key ', 'key', '=', 'modifierScrollLock')"
"('key ', 'key', '=', 'modifierSuper')"
"('key ', 'key', '=', 'modifierSymbol')"
"('key ', 'key', '=', 'modifierSymbolLock')"
"('key ', 'key', '=', 'promises')"
"('key ', 'key', '=', 'prototype')"
"('key ', 'key', '=', 'relatedTarget')"
"('key ', 'key', '=', 'removeListener')"
"('key ', 'key', '=', 'server_max_window_bits')"
"('key ', 'key', '=', 'server_no_context_takeover')"
"('key ', 'key', '=', 'set-cookie')"
"('key ', 'key', '=', 'set-cookie2')"
"('key ', 'key', '=', 'shiftKey')"
"('key ', 'key', '=', 'tag_contains')"
"('key ', 'key', '=', 'tag_name')"
"('key ', 'key', '=', 'tag_type')"
"('key ', 'key', '=', 'trailingComments')"
"('key ', 'key', '=', 'undefined')"
"('key', 'key', ':', '_getBuffer')"
"('key', 'key', ':', '_getString')"
"('key', 'key', ':', 'addImplicitBracesAndParens')"
"('key', 'key', ':', 'addInitializerExpression')"
"('key', 'key', ':', 'addInitializerMethod')"
"('key', 'key', ':', 'addLocationDataToGeneratedTokens')"
"('key', 'key', ':', 'addParensToChainedDoIife')"
"('key', 'key', ':', 'addProperties')"
"('key', 'key', ':', 'asReference')"
"('key', 'key', ':', 'assignedVariables')"
"('key', 'key', ':', 'atCSXTag')"
"('key', 'key', ':', 'bareLiteral')"
"('key', 'key', ':', 'bodyNode')"
"('key', 'key', ':', 'cacheReference')"
"('key', 'key', ':', 'cacheToCodeFragments')"
"('key', 'key', ':', 'checkAssignability')"
"('key', 'key', ':', 'checkScope')"
"('key', 'key', ':', 'checkSource')"
"('key', 'key', ':', 'closeIndentation')"
"('key', 'key', ':', 'closeOpenCalls')"
"('key', 'key', ':', 'closeOpenIndexes')"
"('key', 'key', ':', 'commentToken')"
"('key', 'key', ':', 'compileArray')"
"('key', 'key', ':', 'compileCSX')"
"('key', 'key', ':', 'compileCSXAttributes')"
"('key', 'key', ':', 'compileChain')"
"('key', 'key', ':', 'compileClassDeclaration')"
"('key', 'key', ':', 'compileClosure')"
"('key', 'key', ':', 'compileCommentFragments')"
"('key', 'key', ':', 'compileComments')"
"('key', 'key', ':', 'compileConditional')"
"('key', 'key', ':', 'compileContinuation')"
"('key', 'key', ':', 'compileDestructuring')"
"('key', 'key', ':', 'compileExistence')"
"('key', 'key', ':', 'compileExpression')"
"('key', 'key', ':', 'compileFloorDivision')"
"('key', 'key', ':', 'compileLoopTest')"
"('key', 'key', ':', 'compileModulo')"
"('key', 'key', ':', 'compileNode')"
"('key', 'key', ':', 'compileNodeWithoutComments')"
"('key', 'key', ':', 'compileObjectDestruct')"
"('key', 'key', ':', 'compileOrTest')"
"('key', 'key', ':', 'compilePower')"
"('key', 'key', ':', 'compileRoot')"
"('key', 'key', ':', 'compileSpecialMath')"
"('key', 'key', ':', 'compileSplice')"
"('key', 'key', ':', 'compileSpread')"
"('key', 'key', ':', 'compileStatement')"
"('key', 'key', ':', 'compileToFragments')"
"('key', 'key', ':', 'compileToFragmentsWithoutComments')"
"('key', 'key', ':', 'compileUnary')"
"('key', 'key', ':', 'compileVariables')"
"('key', 'key', ':', 'compileWithDeclarations')"
"('key', 'key', ':', 'compileWithoutComments')"
"('key', 'key', ':', 'contains')"
"('key', 'key', ':', 'csxToken')"
"('key', 'key', ':', 'declaredVariables')"
"('key', 'key', ':', 'detectEnd')"
"('key', 'key', ':', 'determineName')"
"('key', 'key', ':', 'eachChild')"
"('key', 'key', ':', 'eachName')"
"('key', 'key', ':', 'eachParamName')"
"('key', 'key', ':', 'eachSuperCall')"
"('key', 'key', ':', 'elseBodyNode')"
"('key', 'key', ':', 'encodeBase64')"
"('key', 'key', ':', 'encodeVlq')"
"('key', 'key', ':', 'enforceValidCSXAttributes')"
"('key', 'key', ':', 'ensureBlock')"
"('key', 'key', ':', 'expandCtorSuper')"
"('key', 'key', ':', 'findTagsBackwards')"
"('key', 'key', ':', 'fixOutdentLocationData')"
"('key', 'key', ':', 'formatHeregex')"
"('key', 'key', ':', 'formatRegex')"
"('key', 'key', ':', 'formatString')"
"('key', 'key', ':', 'freeVariable')"
"('key', 'key', ':', 'generate')"
"('key', 'key', ':', 'generateDo')"
"('key', 'key', ':', 'getLineAndColumnFromChunk')"
"('key', 'key', ':', 'hasDeclarations')"
"('key', 'key', ':', 'hasElision')"
"('key', 'key', ':', 'hasProperties')"
"('key', 'key', ':', 'hasSplat')"
"('key', 'key', ':', 'identifierToken')"
"('key', 'key', ':', 'indentation')"
"('key', 'key', ':', 'indexOfTag')"
"('key', 'key', ':', 'isAssignable')"
"('key', 'key', ':', 'isAtomic')"
"('key', 'key', ':', 'isBoolean')"
"('key', 'key', ':', 'isChainable')"
"('key', 'key', ':', 'isElision')"
"('key', 'key', ':', 'isNestedTag')"
"('key', 'key', ':', 'isNotCallable')"
"('key', 'key', ':', 'isNumber')"
"('key', 'key', ':', 'isObject')"
"('key', 'key', ':', 'isSplice')"
"('key', 'key', ':', 'isStatement')"
"('key', 'key', ':', 'isString')"
"('key', 'key', ':', 'isUndefined')"
"('key', 'key', ':', 'joinFragmentArrays')"
"('key', 'key', ':', 'lastNode')"
"('key', 'key', ':', 'lineToken')"
"('key', 'key', ':', 'literalToken')"
"('key', 'key', ':', 'looksObjectish')"
"('key', 'key', ':', 'looksStatic')"
"('key', 'key', ':', 'makeCode')"
"('key', 'key', ':', 'makeDefaultConstructor')"
"('key', 'key', ':', 'makeDelimitedLiteral')"
"('key', 'key', ':', 'makeReturn')"
"('key', 'key', ':', 'makeScope')"
"('key', 'key', ':', 'makeToken')"
"('key', 'key', ':', 'matchWithInterpolations')"
"('key', 'key', ':', 'mergeInterpolationTokens')"
"('key', 'key', ':', 'namedMethod')"
"('key', 'key', ':', 'newInstance')"
"('key', 'key', ':', 'newlineToken')"
"('key', 'key', ':', 'normalizeLines')"
"('key', 'key', ':', 'numberToken')"
"('key', 'key', ':', 'outdentToken')"
"('key', 'key', ':', 'parameter')"
"('key', 'key', ':', 'proxyBoundMethods')"
"('key', 'key', ':', 'regexToken')"
"('key', 'key', ':', 'removeLeadingNewlines')"
"('key', 'key', ':', 'renameParam')"
"('key', 'key', ':', 'replaceInContext')"
"('key', 'key', ':', 'replaceUnicodeCodePointEscapes')"
"('key', 'key', ':', 'rescueStowawayComments')"
"('key', 'key', ':', 'scanTokens')"
"('key', 'key', ':', 'setContext')"
"('key', 'key', ':', 'shouldCache')"
"('key', 'key', ':', 'sourceLocation')"
"('key', 'key', ':', 'stringToken')"
"('key', 'key', ':', 'suppressNewlines')"
"('key', 'key', ':', 'suppressSemicolons')"
"('key', 'key', ':', 'tagParameters')"
"('key', 'key', ':', 'tagPostfixConditionals')"
"('key', 'key', ':', 'temporary')"
"('key', 'key', ':', 'toString')"
"('key', 'key', ':', 'tokenize')"
"('key', 'key', ':', 'traverseChildren')"
"('key', 'key', ':', 'unfinished')"
"('key', 'key', ':', 'unfoldSoak')"
"('key', 'key', ':', 'unicodeCodePointToUnicodeEscapes')"
"('key', 'key', ':', 'unwrapAll')"
"('key', 'key', ':', 'updateLocationDataIfMissing')"
"('key', 'key', ':', 'validInitializerMethod')"
"('key', 'key', ':', 'validateEscapes')"
"('key', 'key', ':', 'walkBody')"
"('key', 'key', ':', 'whitespaceToken')"
"('key', 'key', ':', 'wrapInBraces')"
"('key', 'key', ':', 'wrapInParentheses')"
"('key.curve ', 'key', '=', 'nistp256')"
"('key.curve ', 'key', '=', 'nistp384')"
"('key.name ', 'key', '=', 'constructor')"
"('key.type ', 'key', '=', 'Identifier')"
"('key.type ', 'key', '=', 'PrivateIdentifier')"
"('key.type ', 'key', '=', 'curve25519')"
"('key.value ', 'key', '=', 'constructor')"
"('keyId', 'key', '=', 'hmac-key-1')"
"('keyId', 'key', '=', 'rsa-key-1')"
"('keyPoints', 'key', ':', 'keyPoints')"
"('keySplines', 'key', ':', 'keySplines')"
"('keyTimes', 'key', ':', 'keyTimes')"
"('keybindings', 'key', ':', 'Keyboard')"
"('keydown', 'key', ':', '_doOnInputKeyDown')"
"('keydown', 'key', '=', 'function')"
"('keygen', 'key', ':', 'startTagInput')"
"('keygen', 'key', ':', 'startTagVoidFormatting')"
"('keymap', 'key', ':', 'enableKeyboardSupport')"
"('keypoints', 'key', ':', 'keyPoints')"
"('keypress', 'key', ':', '_doOnInputKeyPress')"
"('keypress', 'key', '=', 'function')"
"('keys ', 'key', '=', 'function')"
"('keysplines', 'key', ':', 'keySplines')"
"('keytimes', 'key', ':', 'keyTimes')"
"('keyup', 'key', ':', '_doOnInputKeyUp')"
"('keyword ', 'key', '=', 'function')"
"('keyword ', 'key', '=', 'maxItems')"
"('keyword ', 'key', '=', 'maxLength')"
"('keyword ', 'key', '=', 'maxProperties')"
"('keyword', 'key', ':', 'additionalItems')"
"('keyword', 'key', ':', 'additionalProperties')"
"('keyword', 'key', ':', 'contains')"
"('keyword', 'key', ':', 'dependencies')"
"('keyword', 'key', ':', 'identifier')"
"('keyword', 'key', ':', 'multipleOf')"
"('keyword', 'key', ':', 'propertyNames')"
"('keyword', 'key', ':', 'required')"
"('keyword', 'key', ':', 'uniqueItems')"
"('keyword', 'key', '=', 'maxItems')"
"('keyword', 'key', '=', 'maxLength')"
"('keyword', 'key', '=', 'maxProperties')"
"('keywords', 'key', ':', 'javascript')"
"('password ', 'password', '=', 'password')"
"('password', 'password', ':', 'Password')"
"('password', 'password', ':', 'abcdef12345124')"
"('password', 'password', ':', 'password')"
"('password', 'password', ':', 'secret123')"
"('token ', 'token', '=', 'function')"
"('token', 'token', ':', 'constant')"
"('token', 'token', ':', 'empty_line')"
"('token', 'token', ':', 'identifier')"
"('token', 'token', ':', 'invisible')"
"('token', 'token', ':', 'log-comment')"
"('token', 'token', ':', 'optionalTitle')"
"('token', 'token', ':', 'otherBlock')"
"('token', 'token', ':', 'pageBreak')"
"('token', 'token', ':', 'punctuation')"
"('token', 'token', ':', 'singleLineTitle')"
"('token', 'token', ':', 'statementEnd')"
"('token', 'token', ':', 'tableBlock')"
"('token', 'token', ':', 'titleUnderline')"
"('token', 'token', ':', 'variable')"
"('token', 'token', '=', 'function')"
"('token.name ', 'token', '=', 'contains')"
"('token.type ', 'token', '=', 'Punctuator')"
"('token.value ', 'token', '=', 'constructor')"
"('token.value ', 'token', '=', 'function')"
"('tokens', 'token', '=', 'undefined')"
"('tokens.next.id', 'token', '=', 'function')"
"('tokens.next.id', 'token', '=', 'undefined')"
"('tokens.next.value', 'token', '=', '__iterator__')"
"('tokens.next.value', 'token', '=', '__proto__')"
