"('', '', '', '', '', '', ' System.Drawing.Bitmap $Width', '', 'System.Drawing.Bitmap', 'Width', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Parent $DestinationPath', '', 'Parent', 'DestinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PassThru\n\n    $null', '', 'PassThru', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $InstallPath', '', 'Path', 'InstallPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $OutputPath', '', 'Path', 'OutputPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Path', '', 'Path', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $path', '', 'Path', 'path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $stdoutPath', '', 'Path', 'stdoutPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RedirectStandardOutput $stdoutPath', '', 'RedirectStandardOutput', 'stdoutPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Screen.Height\n        $Left', '', 'Screen.Height', 'Left', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Screen.Left\n        $Top', '', 'Screen.Left', 'Top', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Screen.Top\n\n        $bitmap', '', 'Screen.Top', 'bitmap', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Screen.Width\n        $Height', '', 'Screen.Width', 'Height', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Source $AnyDeskURL', '', 'Source', 'AnyDeskURL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Value $program', '', 'Value', 'program', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'VirtualScreen\n        $Width', '', 'VirtualScreen', 'Width', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Wait\n\n            $stdoutPath', '', 'Wait', 'stdoutPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[int]$DurationInSeconds', '', 'int', 'DurationInSeconds', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '[string]$Path', '', 'string', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                return $path', '', 'return', 'path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n                return $shiftKeyMapping', '', 'return', 'shiftKeyMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n            return $nonPrintableKeys', '', 'return', 'nonPrintableKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]$DestinationPath', '', 'string', 'DestinationPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        [string]$InstallPath', '', 'string', 'InstallPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n        return $principal', '', 'return', 'principal', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n        [string]$AnyDeskURL', '', 'string', 'AnyDeskURL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', '\n\n        return $null', '', 'return', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'and $keyCode', '', 'and', 'keyCode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'keyCode $keyCode', '', 'keyCode', 'keyCode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'lt $endTime', '', 'lt', 'endTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $isPressed', '', 'not', 'isPressed', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'not $previousState', '', 'not', 'previousState', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $keyCode', '', 'or', 'keyCode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'or $modifiers', '', 'or', 'modifiers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'password $Password', '', 'password', 'Password', '', '', '', '', '', '', '', '')"
"('[Parameter(Mandatory = $true)][string]$OutputPath', 'string', 'OutputPath', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('[Parameter(Mandatory = $true)]\n        [string]$Password', 'string', 'Password', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
